,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_precision_score,split1_test_precision_score,split2_test_precision_score,split3_test_precision_score,split4_test_precision_score,mean_test_precision_score,std_test_precision_score,rank_test_precision_score,split0_train_precision_score,split1_train_precision_score,split2_train_precision_score,split3_train_precision_score,split4_train_precision_score,mean_train_precision_score,std_train_precision_score,split0_test_fbeta_score,split1_test_fbeta_score,split2_test_fbeta_score,split3_test_fbeta_score,split4_test_fbeta_score,mean_test_fbeta_score,std_test_fbeta_score,rank_test_fbeta_score,split0_train_fbeta_score,split1_train_fbeta_score,split2_train_fbeta_score,split3_train_fbeta_score,split4_train_fbeta_score,mean_train_fbeta_score,std_train_fbeta_score,split0_test_recall_score,split1_test_recall_score,split2_test_recall_score,split3_test_recall_score,split4_test_recall_score,mean_test_recall_score,std_test_recall_score,rank_test_recall_score,split0_train_recall_score,split1_train_recall_score,split2_train_recall_score,split3_train_recall_score,split4_train_recall_score,mean_train_recall_score,std_train_recall_score,split0_test_accuracy_score,split1_test_accuracy_score,split2_test_accuracy_score,split3_test_accuracy_score,split4_test_accuracy_score,mean_test_accuracy_score,std_test_accuracy_score,rank_test_accuracy_score,split0_train_accuracy_score,split1_train_accuracy_score,split2_train_accuracy_score,split3_train_accuracy_score,split4_train_accuracy_score,mean_train_accuracy_score,std_train_accuracy_score
39,0.6171456336975097,0.007008994089607739,0.06123619079589844,0.0004885777024277244,False,entropy,6,sqrt,500,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 500}",0.5044543429844098,0.533026113671275,0.5292517006802722,0.5286506469500925,0.5234270414993306,0.523761969157076,0.010126769487847688,34,0.5423119469026548,0.5701720841300191,0.5583722481654436,0.5870483341154388,0.5566677429770746,0.5629144712581262,0.014961508584849436,0.6786907917483002,0.5866822733775524,0.6301557632398754,0.51353591160221,0.6296296296296295,0.6077388739195136,0.05537774876551636,28,0.732662738899267,0.6295021272449741,0.6732667141045077,0.5634354212860311,0.684984259910144,0.6567702522889848,0.05706623226416027,0.8017699115044248,0.6141592920353982,0.6884955752212389,0.5070921985815603,0.6920353982300885,0.6607104751145421,0.0973823543788063,28,0.868083222664896,0.6600265604249668,0.7410358565737052,0.5535398230088495,0.7631695440460381,0.7171710013436912,0.10535705523708586,0.5053285968028419,0.5364120781527532,0.5364120781527532,0.5262222222222223,0.5288888888888889,0.5266527728438919,0.011405210676329814,43,0.5661928031985785,0.579742336739227,0.5759662372278987,0.5805018876304686,0.5762824783477681,0.5757371486287882,0.0051027182037409425
40,0.2469398021697998,0.002645369773028778,0.026129865646362306,0.00039939979996689035,False,entropy,6,log2,200,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 200}",0.5108323831242874,0.5397301349325337,0.5281980742778541,0.5180505415162455,0.5233644859813084,0.5240351239664459,0.009739002748499754,31,0.5452501405283867,0.5697630688228658,0.5644067796610169,0.5855354659248957,0.5591955887122932,0.5648302087298918,0.013178376909944537,0.6777609682299546,0.6036373016896684,0.6245464781683974,0.5116566099835437,0.6306150228932063,0.609643276192954,0.05466150023882726,19,0.7296820299163848,0.6359996124907159,0.6736485014472006,0.5667978458989228,0.686158650460766,0.658457328042798,0.05473007002515119,0.7929203539823009,0.6371681415929203,0.679646017699115,0.5088652482269503,0.6938053097345133,0.66248101424716,0.09222669382972558,25,0.8587870739265162,0.6706507304116865,0.7370517928286853,0.5588495575221238,0.7631695440460381,0.71770173974701,0.09979441926246421,0.5150976909413855,0.5452930728241563,0.5346358792184724,0.5164444444444445,0.5288888888888889,0.5280719952634696,0.011347686203030498,22,0.5697467792092403,0.5806308307418925,0.5826299422478898,0.5800577392849212,0.5793915167666001,0.5784913616501088,0.0045041473677658
41,0.6803799152374268,0.1015990585198868,0.0672123908996582,0.007069747798652887,False,entropy,6,log2,500,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 500}",0.5044543429844098,0.533026113671275,0.5292517006802722,0.5286506469500925,0.5234270414993306,0.523761969157076,0.010126769487847688,34,0.5423119469026548,0.5701720841300191,0.5583722481654436,0.5870483341154388,0.5566677429770746,0.5629144712581262,0.014961508584849436,0.6786907917483002,0.5866822733775524,0.6301557632398754,0.51353591160221,0.6296296296296295,0.6077388739195136,0.05537774876551636,28,0.732662738899267,0.6295021272449741,0.6732667141045077,0.5634354212860311,0.684984259910144,0.6567702522889848,0.05706623226416027,0.8017699115044248,0.6141592920353982,0.6884955752212389,0.5070921985815603,0.6920353982300885,0.6607104751145421,0.0973823543788063,28,0.868083222664896,0.6600265604249668,0.7410358565737052,0.5535398230088495,0.7631695440460381,0.7171710013436912,0.10535705523708586,0.5053285968028419,0.5364120781527532,0.5364120781527532,0.5262222222222223,0.5288888888888889,0.5266527728438919,0.011405210676329814,43,0.5661928031985785,0.579742336739227,0.5759662372278987,0.5805018876304686,0.5762824783477681,0.5757371486287882,0.0051027182037409425
42,0.26289591789245603,0.002239438122973611,0.02772517204284668,0.0007463410111955736,False,entropy,7,auto,200,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 7, 'max_features': 'auto', 'n_estimators': 200}",0.5087719298245614,0.5347432024169184,0.5258152173913043,0.5200729927007299,0.5283783783783784,0.5235563441423785,0.008765990697798164,46,0.5551113649343232,0.5825498307634449,0.5729308005427408,0.5969529085872576,0.5683760683760684,0.575184194640767,0.014017677147065569,0.6649029982363315,0.5951118582697531,0.626603562087433,0.5097688497523392,0.6318210068365445,0.6056416550364803,0.05279988298989738,31,0.7359562014036518,0.6502728711208707,0.6835289356535815,0.5795407529995863,0.6916212806547893,0.6681840083664959,0.05206971909719092,0.7699115044247787,0.6265486725663717,0.6849557522123894,0.5053191489361702,0.6920353982300885,0.6557540952739597,0.08795977895760554,31,0.8605577689243028,0.685701637892873,0.747675962815405,0.5721238938053097,0.7653829127932713,0.7262884352462324,0.09531846875988272,0.5115452930728241,0.5390763765541741,0.5319715808170515,0.5182222222222223,0.5351111111111111,0.5271853167554766,0.01050781849269499,28,0.583962683251888,0.5957352287872056,0.5937361172812083,0.5913835220963802,0.5907172995780591,0.5911069701989482,0.003990046417439957
43,0.6542501449584961,0.0035688001003440764,0.06362872123718262,0.0014658245885810137,False,entropy,7,auto,500,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 7, 'max_features': 'auto', 'n_estimators': 500}",0.5117096018735363,0.5301204819277109,0.5304101838755304,0.5212569316081331,0.5250338294993234,0.5237062057568469,0.0068958871046749075,43,0.5595375722543353,0.584739263803681,0.5732130464954892,0.597861459786146,0.5656862745098039,0.576207523369891,0.013705724327236487,0.6682743206681567,0.5911380958532488,0.616074813597877,0.506353591160221,0.6272851635368736,0.6018251969632754,0.05384382816638914,37,0.7365309765590705,0.6444429997074409,0.6740952321165133,0.5775981205085684,0.6908906696140739,0.6647115997011335,0.05278445520001841,0.7734513274336283,0.6230088495575221,0.6637168141592921,0.5,0.6867256637168142,0.6493805309734514,0.08944692180738273,40,0.8570163789287295,0.6750774679061532,0.7312970340858788,0.5690265486725664,0.7662682602921647,0.7197371379770985,0.09576276353318802,0.5159857904085258,0.5337477797513321,0.5364120781527532,0.5191111111111111,0.5306666666666666,0.5271846852180777,0.008135613423064562,31,0.5897378942692136,0.5964015992892048,0.5919591292758773,0.5916055962691539,0.5876082611592272,0.5914624960525353,0.0029151754985534788
44,0.26130023002624514,0.002676690305600733,0.027523374557495116,0.0004901552142564203,False,entropy,7,sqrt,200,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 200}",0.5087719298245614,0.5347432024169184,0.5258152173913043,0.5200729927007299,0.5283783783783784,0.5235563441423785,0.008765990697798164,46,0.5551113649343232,0.5825498307634449,0.5729308005427408,0.5969529085872576,0.5683760683760684,0.575184194640767,0.014017677147065569,0.6649029982363315,0.5951118582697531,0.626603562087433,0.5097688497523392,0.6318210068365445,0.6056416550364803,0.05279988298989738,31,0.7359562014036518,0.6502728711208707,0.6835289356535815,0.5795407529995863,0.6916212806547893,0.6681840083664959,0.05206971909719092,0.7699115044247787,0.6265486725663717,0.6849557522123894,0.5053191489361702,0.6920353982300885,0.6557540952739597,0.08795977895760554,31,0.8605577689243028,0.685701637892873,0.747675962815405,0.5721238938053097,0.7653829127932713,0.7262884352462324,0.09531846875988272,0.5115452930728241,0.5390763765541741,0.5319715808170515,0.5182222222222223,0.5351111111111111,0.5271853167554766,0.01050781849269499,28,0.583962683251888,0.5957352287872056,0.5937361172812083,0.5913835220963802,0.5907172995780591,0.5911069701989482,0.003990046417439957
45,0.6582814216613769,0.007943391958934495,0.0642268180847168,0.001018777574223189,False,entropy,7,sqrt,500,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 7, 'max_features': 'sqrt', 'n_estimators': 500}",0.5117096018735363,0.5301204819277109,0.5304101838755304,0.5212569316081331,0.5250338294993234,0.5237062057568469,0.0068958871046749075,43,0.5595375722543353,0.584739263803681,0.5732130464954892,0.597861459786146,0.5656862745098039,0.576207523369891,0.013705724327236487,0.6682743206681567,0.5911380958532488,0.616074813597877,0.506353591160221,0.6272851635368736,0.6018251969632754,0.05384382816638914,37,0.7365309765590705,0.6444429997074409,0.6740952321165133,0.5775981205085684,0.6908906696140739,0.6647115997011335,0.05278445520001841,0.7734513274336283,0.6230088495575221,0.6637168141592921,0.5,0.6867256637168142,0.6493805309734514,0.08944692180738273,40,0.8570163789287295,0.6750774679061532,0.7312970340858788,0.5690265486725664,0.7662682602921647,0.7197371379770985,0.09576276353318802,0.5159857904085258,0.5337477797513321,0.5364120781527532,0.5191111111111111,0.5306666666666666,0.5271846852180777,0.008135613423064562,31,0.5897378942692136,0.5964015992892048,0.5919591292758773,0.5916055962691539,0.5876082611592272,0.5914624960525353,0.0029151754985534788
46,0.26209173202514646,0.001930771668076696,0.027333593368530272,0.0008109345903765315,False,entropy,7,log2,200,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 200}",0.5087719298245614,0.5347432024169184,0.5258152173913043,0.5200729927007299,0.5283783783783784,0.5235563441423785,0.008765990697798164,46,0.5551113649343232,0.5825498307634449,0.5729308005427408,0.5969529085872576,0.5683760683760684,0.575184194640767,0.014017677147065569,0.6649029982363315,0.5951118582697531,0.626603562087433,0.5097688497523392,0.6318210068365445,0.6056416550364803,0.05279988298989738,31,0.7359562014036518,0.6502728711208707,0.6835289356535815,0.5795407529995863,0.6916212806547893,0.6681840083664959,0.05206971909719092,0.7699115044247787,0.6265486725663717,0.6849557522123894,0.5053191489361702,0.6920353982300885,0.6557540952739597,0.08795977895760554,31,0.8605577689243028,0.685701637892873,0.747675962815405,0.5721238938053097,0.7653829127932713,0.7262884352462324,0.09531846875988272,0.5115452930728241,0.5390763765541741,0.5319715808170515,0.5182222222222223,0.5351111111111111,0.5271853167554766,0.01050781849269499,28,0.583962683251888,0.5957352287872056,0.5937361172812083,0.5913835220963802,0.5907172995780591,0.5911069701989482,0.003990046417439957
47,0.6590373992919922,0.006949506575677274,0.06283078193664551,0.0006314306312384204,False,entropy,7,log2,500,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 7, 'max_features': 'log2', 'n_estimators': 500}",0.5117096018735363,0.5301204819277109,0.5304101838755304,0.5212569316081331,0.5250338294993234,0.5237062057568469,0.0068958871046749075,43,0.5595375722543353,0.584739263803681,0.5732130464954892,0.597861459786146,0.5656862745098039,0.576207523369891,0.013705724327236487,0.6682743206681567,0.5911380958532488,0.616074813597877,0.506353591160221,0.6272851635368736,0.6018251969632754,0.05384382816638914,37,0.7365309765590705,0.6444429997074409,0.6740952321165133,0.5775981205085684,0.6908906696140739,0.6647115997011335,0.05278445520001841,0.7734513274336283,0.6230088495575221,0.6637168141592921,0.5,0.6867256637168142,0.6493805309734514,0.08944692180738273,40,0.8570163789287295,0.6750774679061532,0.7312970340858788,0.5690265486725664,0.7662682602921647,0.7197371379770985,0.09576276353318802,0.5159857904085258,0.5337477797513321,0.5364120781527532,0.5191111111111111,0.5306666666666666,0.5271846852180777,0.008135613423064562,31,0.5897378942692136,0.5964015992892048,0.5919591292758773,0.5916055962691539,0.5876082611592272,0.5914624960525353,0.0029151754985534788
48,0.24792885780334473,0.0034900700515660904,0.024741363525390626,0.0011747640955401728,True,gini,4,auto,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 200}",0.5129068462401796,0.5306427503736921,0.5241379310344828,0.5325443786982249,0.520336605890603,0.5241137024474365,0.007121312243444423,28,0.5357342266890005,0.5607978519370924,0.5477707006369427,0.5649606299212598,0.5452054794520548,0.55089377772727,0.010657291889247175,0.6869002196785755,0.59463986599665,0.6186599874765185,0.49408783783783783,0.6076603250598462,0.6003896472098856,0.061973997609462254,46,0.71978418304048,0.6179004519002569,0.6584012646065152,0.5242377406210482,0.6465277560838462,0.6333702792504292,0.06390032666378492,0.8088495575221238,0.6283185840707964,0.672566371681416,0.4787234042553192,0.6566371681415929,0.6490190171342497,0.10543947976583115,43,0.8494909251881363,0.6471890216910138,0.7233289065958388,0.5079646017699115,0.7047366091190792,0.6865420128727959,0.1110632401636745,0.5186500888099467,0.5346358792184724,0.5293072824156305,0.528,0.5235555555555556,0.5268297611999211,0.0054050071554431365,40,0.5550866281652599,0.5686361617059085,0.5615282096845846,0.556739951143682,0.5569620253164557,0.5597905952031781,0.004913204524866677
