,Date,Value,Val_ex_cash,model
0,2020-10-19,100000.0,99591.79750783386,RF Reg_target_120_rebal_60_2018-01-01
1,2020-10-20,100455.51476690645,100047.31227474031,RF Reg_target_120_rebal_60_2018-01-01
2,2020-10-21,100794.58653019284,100386.3840380267,RF Reg_target_120_rebal_60_2018-01-01
3,2020-10-22,102987.39405573726,102579.19156357112,RF Reg_target_120_rebal_60_2018-01-01
4,2020-10-23,105464.91417206542,105056.71167989928,RF Reg_target_120_rebal_60_2018-01-01
5,2020-10-26,103165.12450612849,102756.92201396235,RF Reg_target_120_rebal_60_2018-01-01
6,2020-10-27,101451.05427272055,101042.85178055441,RF Reg_target_120_rebal_60_2018-01-01
7,2020-10-28,98075.74480999763,97667.5423178315,RF Reg_target_120_rebal_60_2018-01-01
8,2020-10-29,98409.60126066647,98001.39876850034,RF Reg_target_120_rebal_60_2018-01-01
9,2020-10-30,98823.60607624686,98415.40358408072,RF Reg_target_120_rebal_60_2018-01-01
10,2020-11-02,100919.13315381613,100510.93066165,RF Reg_target_120_rebal_60_2018-01-01
11,2020-11-03,103076.17530864442,102667.97281647829,RF Reg_target_120_rebal_60_2018-01-01
12,2020-11-04,103002.97436393547,102594.77187176934,RF Reg_target_120_rebal_60_2018-01-01
13,2020-11-05,103701.3239628977,103293.12147073157,RF Reg_target_120_rebal_60_2018-01-01
14,2020-11-06,103130.76228765164,102722.5597954855,RF Reg_target_120_rebal_60_2018-01-01
15,2020-11-09,111669.02499960095,111260.82250743482,RF Reg_target_120_rebal_60_2018-01-01
16,2020-11-10,111049.33886013716,110641.13636797102,RF Reg_target_120_rebal_60_2018-01-01
17,2020-11-11,111063.44079099089,110655.23829882476,RF Reg_target_120_rebal_60_2018-01-01
18,2020-11-12,108781.22136051027,108373.01886834414,RF Reg_target_120_rebal_60_2018-01-01
19,2020-11-13,110646.40036847693,110238.19787631079,RF Reg_target_120_rebal_60_2018-01-01
20,2020-11-16,115428.55453267958,115020.35204051345,RF Reg_target_120_rebal_60_2018-01-01
21,2020-11-17,115138.63048163668,114730.42798947054,RF Reg_target_120_rebal_60_2018-01-01
22,2020-11-18,115894.7368103088,115486.53431814266,RF Reg_target_120_rebal_60_2018-01-01
23,2020-11-19,114548.2626956762,114140.06020351006,RF Reg_target_120_rebal_60_2018-01-01
24,2020-11-20,115023.02197713155,114614.81948496541,RF Reg_target_120_rebal_60_2018-01-01
25,2020-11-23,116637.39185741058,116229.18936524444,RF Reg_target_120_rebal_60_2018-01-01
26,2020-11-24,119894.94710499642,119486.74461283028,RF Reg_target_120_rebal_60_2018-01-01
27,2020-11-25,118569.8347419272,118161.63224976107,RF Reg_target_120_rebal_60_2018-01-01
28,2020-11-27,117933.60936902327,117525.40687685713,RF Reg_target_120_rebal_60_2018-01-01
29,2020-11-30,115187.15689709905,114778.95440493291,RF Reg_target_120_rebal_60_2018-01-01
30,2020-12-01,115683.96791390565,115275.76542173952,RF Reg_target_120_rebal_60_2018-01-01
31,2020-12-02,115728.08570518123,115319.8832130151,RF Reg_target_120_rebal_60_2018-01-01
32,2020-12-03,117348.70394774884,116940.50145558271,RF Reg_target_120_rebal_60_2018-01-01
33,2020-12-04,119688.03519145392,119279.83269928778,RF Reg_target_120_rebal_60_2018-01-01
34,2020-12-07,120272.53995958077,119864.33746741463,RF Reg_target_120_rebal_60_2018-01-01
35,2020-12-08,120507.49290640502,120099.29041423889,RF Reg_target_120_rebal_60_2018-01-01
36,2020-12-09,121103.82747275828,120695.62498059214,RF Reg_target_120_rebal_60_2018-01-01
37,2020-12-10,119467.41209141715,119059.20959925101,RF Reg_target_120_rebal_60_2018-01-01
38,2020-12-11,118221.44830995657,117813.24581779043,RF Reg_target_120_rebal_60_2018-01-01
39,2020-12-14,117523.65303063056,117115.45053846443,RF Reg_target_120_rebal_60_2018-01-01
40,2020-12-15,117933.14368853632,117524.94119637019,RF Reg_target_120_rebal_60_2018-01-01
41,2020-12-16,119471.81537694618,119063.61288478004,RF Reg_target_120_rebal_60_2018-01-01
42,2020-12-17,119749.56889375928,119341.36640159314,RF Reg_target_120_rebal_60_2018-01-01
43,2020-12-18,118672.54704061088,118264.34454844474,RF Reg_target_120_rebal_60_2018-01-01
44,2020-12-21,116169.5714799184,115761.36898775227,RF Reg_target_120_rebal_60_2018-01-01
45,2020-12-22,116453.02178706457,116044.81929489844,RF Reg_target_120_rebal_60_2018-01-01
46,2020-12-23,117299.56595126653,116891.3634591004,RF Reg_target_120_rebal_60_2018-01-01
47,2020-12-24,117263.86509256685,116855.66260040071,RF Reg_target_120_rebal_60_2018-01-01
48,2020-12-28,117866.16711830627,117457.96462614014,RF Reg_target_120_rebal_60_2018-01-01
49,2020-12-29,117753.43782325245,117345.23533108631,RF Reg_target_120_rebal_60_2018-01-01
50,2020-12-30,117856.49772057499,117448.29522840885,RF Reg_target_120_rebal_60_2018-01-01
51,2020-12-31,118159.2045841653,117751.00209199917,RF Reg_target_120_rebal_60_2018-01-01
52,2021-01-04,117504.99902779207,117096.79653562594,RF Reg_target_120_rebal_60_2018-01-01
53,2021-01-05,117083.52052495792,116675.31803279178,RF Reg_target_120_rebal_60_2018-01-01
54,2021-01-06,119440.72512287166,119032.52263070553,RF Reg_target_120_rebal_60_2018-01-01
55,2021-01-07,119791.62111191975,119383.41861975362,RF Reg_target_120_rebal_60_2018-01-01
56,2021-01-08,119167.30556441369,118759.10307224756,RF Reg_target_120_rebal_60_2018-01-01
57,2021-01-11,119025.17006720365,118616.96757503752,RF Reg_target_120_rebal_60_2018-01-01
58,2021-01-12,120746.95828346504,120338.7557912989,RF Reg_target_120_rebal_60_2018-01-01
59,2021-01-13,122484.13034312046,122075.92785095432,RF Reg_target_120_rebal_60_2018-01-01
60,2021-01-14,124752.45497494061,124622.48390312839,RF Reg_target_120_rebal_60_2018-01-01
61,2021-01-15,124128.50010560155,123998.52903378932,RF Reg_target_120_rebal_60_2018-01-01
62,2021-01-19,124258.35300055161,124128.38192873939,RF Reg_target_120_rebal_60_2018-01-01
63,2021-01-20,124765.06350070117,124635.09242888895,RF Reg_target_120_rebal_60_2018-01-01
64,2021-01-21,124484.42144652054,124354.45037470832,RF Reg_target_120_rebal_60_2018-01-01
65,2021-01-22,123602.2091311472,123472.23805933498,RF Reg_target_120_rebal_60_2018-01-01
66,2021-01-25,123756.20021804192,123626.2291462297,RF Reg_target_120_rebal_60_2018-01-01
67,2021-01-26,124006.38796328321,123876.41689147099,RF Reg_target_120_rebal_60_2018-01-01
68,2021-01-27,120877.6943213179,120747.72324950568,RF Reg_target_120_rebal_60_2018-01-01
69,2021-01-28,121720.42808243343,121590.4570106212,RF Reg_target_120_rebal_60_2018-01-01
70,2021-01-29,120822.14654878447,120692.17547697225,RF Reg_target_120_rebal_60_2018-01-01
71,2021-02-01,121038.73086526389,120908.75979345167,RF Reg_target_120_rebal_60_2018-01-01
72,2021-02-02,123048.0765005048,122918.10542869258,RF Reg_target_120_rebal_60_2018-01-01
73,2021-02-03,123181.9639532573,123051.99288144508,RF Reg_target_120_rebal_60_2018-01-01
74,2021-02-04,125308.80298112745,125178.83190931522,RF Reg_target_120_rebal_60_2018-01-01
75,2021-02-05,126253.53947198026,126123.56840016803,RF Reg_target_120_rebal_60_2018-01-01
76,2021-02-08,126826.31363753566,126696.34256572343,RF Reg_target_120_rebal_60_2018-01-01
77,2021-02-09,126596.50358779808,126466.53251598586,RF Reg_target_120_rebal_60_2018-01-01
78,2021-02-10,127566.3970776501,127436.42600583787,RF Reg_target_120_rebal_60_2018-01-01
79,2021-02-11,127706.85766057772,127576.8865887655,RF Reg_target_120_rebal_60_2018-01-01
80,2021-02-12,128100.34502967658,127970.37395786436,RF Reg_target_120_rebal_60_2018-01-01
81,2021-02-16,128709.72530450161,128579.75423268939,RF Reg_target_120_rebal_60_2018-01-01
82,2021-02-17,128152.50130231211,128022.53023049989,RF Reg_target_120_rebal_60_2018-01-01
