,Date,Value,Val_ex_cash,model
0,2020-10-19,100000.0,99861.70773214943,RF Reg_target_7_rebal_7_2018-01-01
1,2020-10-20,100250.45732832867,100112.1650604781,RF Reg_target_7_rebal_7_2018-01-01
2,2020-10-21,100741.78386822008,100603.49160036951,RF Reg_target_7_rebal_7_2018-01-01
3,2020-10-22,103243.15888909271,103104.86662124214,RF Reg_target_7_rebal_7_2018-01-01
4,2020-10-23,105805.34625540393,105667.05398755336,RF Reg_target_7_rebal_7_2018-01-01
5,2020-10-26,103483.75735403711,103345.46508618654,RF Reg_target_7_rebal_7_2018-01-01
6,2020-10-27,101532.12564118393,101393.83337333336,RF Reg_target_7_rebal_7_2018-01-01
7,2020-10-28,97863.38976428311,97776.9741224383,RF Reg_target_7_rebal_7_2018-01-01
8,2020-10-29,98316.50685786345,98230.09121601864,RF Reg_target_7_rebal_7_2018-01-01
9,2020-10-30,98854.55831576696,98768.14267392215,RF Reg_target_7_rebal_7_2018-01-01
10,2020-11-02,101053.37696241599,100966.96132057118,RF Reg_target_7_rebal_7_2018-01-01
11,2020-11-03,102975.8723322028,102889.45669035798,RF Reg_target_7_rebal_7_2018-01-01
12,2020-11-04,103604.38270490474,103517.96706305993,RF Reg_target_7_rebal_7_2018-01-01
13,2020-11-05,104182.82111275007,104096.40547090526,RF Reg_target_7_rebal_7_2018-01-01
14,2020-11-06,103317.88422443632,103286.508181815,RF Reg_target_7_rebal_7_2018-01-01
15,2020-11-09,112028.89282614893,111997.51678352762,RF Reg_target_7_rebal_7_2018-01-01
16,2020-11-10,110415.55913185999,110384.18308923868,RF Reg_target_7_rebal_7_2018-01-01
17,2020-11-11,110281.31659872356,110249.94055610224,RF Reg_target_7_rebal_7_2018-01-01
18,2020-11-12,108172.09763880071,108140.7215961794,RF Reg_target_7_rebal_7_2018-01-01
19,2020-11-13,110042.60548831265,110011.22944569134,RF Reg_target_7_rebal_7_2018-01-01
20,2020-11-16,115264.92922627788,115233.55318365656,RF Reg_target_7_rebal_7_2018-01-01
21,2020-11-17,115337.86847660274,115306.49243398143,RF Reg_target_7_rebal_7_2018-01-01
22,2020-11-18,116091.61251645001,116060.2364738287,RF Reg_target_7_rebal_7_2018-01-01
23,2020-11-19,114873.29281141986,114841.91676879855,RF Reg_target_7_rebal_7_2018-01-01
24,2020-11-20,115476.12654735518,115444.75050473386,RF Reg_target_7_rebal_7_2018-01-01
25,2020-11-23,116823.61052797057,116792.23448534925,RF Reg_target_7_rebal_7_2018-01-01
26,2020-11-24,119899.89905826155,119868.52301564024,RF Reg_target_7_rebal_7_2018-01-01
27,2020-11-25,118616.03092717931,118584.654884558,RF Reg_target_7_rebal_7_2018-01-01
28,2020-11-27,117973.76981992763,117942.39377730632,RF Reg_target_7_rebal_7_2018-01-01
29,2020-11-30,114708.0724798557,114676.6964372344,RF Reg_target_7_rebal_7_2018-01-01
