loss,accuracy,binary_crossentropy,precision,recall,binary_accuracy,val_loss,val_accuracy,val_binary_crossentropy,val_precision,val_recall,val_binary_accuracy
0.228446409,0.902936935,0.228446409,0.902936935,0.902936935,0.902936935,0.329940408,0.874690592,0.329940408,0.874690592,0.874690592,0.874690592
0.22328712,0.904111683,0.22328712,0.904111683,0.904111683,0.904111683,0.314433783,0.868811905,0.314433783,0.868811905,0.868811905,0.868811905
0.218331829,0.906441987,0.218331829,0.906441987,0.906441987,0.906441987,0.327749461,0.866646051,0.327749461,0.866646051,0.866646051,0.866646051
0.210202023,0.909947038,0.210202023,0.909947038,0.909947038,0.909947038,0.330141038,0.868502498,0.330141038,0.868502498,0.868502498,0.868502498
0.201920375,0.913625419,0.201920375,0.913625419,0.913625419,0.913625419,0.350827217,0.874381185,0.350827217,0.874381185,0.874381185,0.874381185
0.200659037,0.914973497,0.200659037,0.914973497,0.914973497,0.914973497,0.329877406,0.868347764,0.329877406,0.868347764,0.868347764,0.868347764
0.193563446,0.91917187,0.193563446,0.91917187,0.91917187,0.91917187,0.371335775,0.86417079,0.371335775,0.86417079,0.86417079,0.86417079
0.190760285,0.918093383,0.190760285,0.918093383,0.918093383,0.918093383,0.404710591,0.863706708,0.404710591,0.863706708,0.863706708,0.863706708
0.181675911,0.923119903,0.181675911,0.923119903,0.923119903,0.923119903,0.375026375,0.866955459,0.375026375,0.866955459,0.866955459,0.866955459
0.177975819,0.92650938,0.177975819,0.92650938,0.92650938,0.92650938,0.358753383,0.868038356,0.358753383,0.868038356,0.868038356,0.868038356
0.175220966,0.926316798,0.175220966,0.926316798,0.926316798,0.926316798,0.385283768,0.866646051,0.385283768,0.866646051,0.866646051,0.866646051
0.174214199,0.926220536,0.174214199,0.926220536,0.926220536,0.926220536,0.425802559,0.864480197,0.425802559,0.864480197,0.864480197,0.864480197
0.169637531,0.929629266,0.169637531,0.929629266,0.929629266,0.929629266,0.394052535,0.866027236,0.394052535,0.866027236,0.866027236,0.866027236
0.165879831,0.929167092,0.165879831,0.929167092,0.929167092,0.929167092,0.402672112,0.863861382,0.402672112,0.863861382,0.863861382,0.863861382
0.158018395,0.933442473,0.158018395,0.933442473,0.933442473,0.933442473,0.417898238,0.862159669,0.417898238,0.862159669,0.862159669,0.862159669
0.157740146,0.933981717,0.157740146,0.933981717,0.933981717,0.933981717,0.431250215,0.86819309,0.431250215,0.86819309,0.86819309,0.86819309
0.160397887,0.932883978,0.160397887,0.932883978,0.932883978,0.932883978,0.464084774,0.866336644,0.464084774,0.866336644,0.866336644,0.866336644
0.152896047,0.936119378,0.152896047,0.936119378,0.936119378,0.936119378,0.484815955,0.861231446,0.484815955,0.861231446,0.861231446,0.861231446
0.152569115,0.936234951,0.152569115,0.936234951,0.936234951,0.936234951,0.435647428,0.865253687,0.435647428,0.865253687,0.865253687,0.865253687
0.147980735,0.937255681,0.147980735,0.937255681,0.937255681,0.937255681,0.434874475,0.863242567,0.434874475,0.863242567,0.863242567,0.863242567
0.146377534,0.938353419,0.146377534,0.938353419,0.938353419,0.938353419,0.459471196,0.863861382,0.459471196,0.863861382,0.863861382,0.863861382
0.145865738,0.937968194,0.145865738,0.937968194,0.937968194,0.937968194,0.430809349,0.863551974,0.430809349,0.863551974,0.863551974,0.863551974
0.144785509,0.939566672,0.144785509,0.939566672,0.939566672,0.939566672,0.433696628,0.866336644,0.433696628,0.866336644,0.866336644,0.866336644
0.140414849,0.941068828,0.140414849,0.941068828,0.941068828,0.941068828,0.507950783,0.866800725,0.507950783,0.866800725,0.866800725,0.866800725
0.138346732,0.941453993,0.138346732,0.941453993,0.941453993,0.941453993,0.470701963,0.864634871,0.470701963,0.864634871,0.864634871,0.864634871
0.138136297,0.94091481,0.138136297,0.94091481,0.94091481,0.94091481,0.431880414,0.866800725,0.431880414,0.866800725,0.866800725,0.866800725
0.138595104,0.942012489,0.138595104,0.942012489,0.942012489,0.942012489,0.501527667,0.867110133,0.501527667,0.867110133,0.867110133,0.867110133
0.136463016,0.942609549,0.136463016,0.942609549,0.942609549,0.942609549,0.482001692,0.867883682,0.482001692,0.867883682,0.867883682,0.867883682
0.135673404,0.94372654,0.135673404,0.94372654,0.94372654,0.94372654,0.520004869,0.862933159,0.520004869,0.862933159,0.862933159,0.862933159
0.130528212,0.944150209,0.130528212,0.944150209,0.944150209,0.944150209,0.506896019,0.866646051,0.506896019,0.866646051,0.866646051,0.866646051
0.132693648,0.94474721,0.132693648,0.94474721,0.94474721,0.94474721,0.53582412,0.866491318,0.53582412,0.866491318,0.866491318,0.866491318
0.13276343,0.944188714,0.13276343,0.944188714,0.944188714,0.944188714,0.484423697,0.86417079,0.484423697,0.86417079,0.86417079,0.86417079
0.128633812,0.945652366,0.128633812,0.945652366,0.945652366,0.945652366,0.533205211,0.868657172,0.533205211,0.868657172,0.868657172,0.868657172
0.132954583,0.943649471,0.132954583,0.943649471,0.943649471,0.943649471,0.513538241,0.867110133,0.513538241,0.867110133,0.867110133,0.867110133
0.125643969,0.946769357,0.125643969,0.946769357,0.946769357,0.946769357,0.477564871,0.862623751,0.477564871,0.862623751,0.862623751,0.862623751
0.125945583,0.948367834,0.125945583,0.948367834,0.948367834,0.948367834,0.569042444,0.866955459,0.569042444,0.866955459,0.866955459,0.866955459
0.126294091,0.947424173,0.126294091,0.947424173,0.947424173,0.947424173,0.508599937,0.863861382,0.508599937,0.863861382,0.863861382,0.863861382
0.12309435,0.947636008,0.12309435,0.947636008,0.947636008,0.947636008,0.576114476,0.871751249,0.576114476,0.871751249,0.871751249,0.871751249
0.12807034,0.946788609,0.12807034,0.946788609,0.946788609,0.946788609,0.537674785,0.866800725,0.537674785,0.866800725,0.866800725,0.866800725
0.122943066,0.948579669,0.122943066,0.948579669,0.948579669,0.948579669,0.585642993,0.869275987,0.585642993,0.869275987,0.869275987,0.869275987
0.122562408,0.948425591,0.122562408,0.948425591,0.948425591,0.948425591,0.577001154,0.865872502,0.577001154,0.865872502,0.865872502,0.865872502
0.121322781,0.949407816,0.121322781,0.949407816,0.949407816,0.949407816,0.498841614,0.866800725,0.498841614,0.866800725,0.866800725,0.866800725
0.122527145,0.948136747,0.122527145,0.948136747,0.948136747,0.948136747,0.502349436,0.863551974,0.502349436,0.863551974,0.863551974,0.863551974
0.124730721,0.948021173,0.124730721,0.948021173,0.948021173,0.948021173,0.596399963,0.866646051,0.596399963,0.866646051,0.866646051,0.866646051
0.122456357,0.950062573,0.122456357,0.950062573,0.950062573,0.950062573,0.521053612,0.862004936,0.521053612,0.862004936,0.862004936,0.862004936
0.123013951,0.948752999,0.123013951,0.948752999,0.948752999,0.948752999,0.615567088,0.867728949,0.615567088,0.867728949,0.867728949,0.867728949
0.119596235,0.950370729,0.119596235,0.950370729,0.950370729,0.950370729,0.603865802,0.865253687,0.603865802,0.865253687,0.865253687,0.865253687
0.120947361,0.950120389,0.120947361,0.950120389,0.950120389,0.950120389,0.545664072,0.868657172,0.545664072,0.868657172,0.868657172,0.868657172
0.116377868,0.95173806,0.116377868,0.95173806,0.95173806,0.95173806,0.602936208,0.869740129,0.602936208,0.869740129,0.869740129,0.869740129
0.115901247,0.951429963,0.115901247,0.951429963,0.951429963,0.951429963,0.509757638,0.864016116,0.509757638,0.864016116,0.864016116,0.864016116
0.120006852,0.94909966,0.120006852,0.94909966,0.94909966,0.94909966,0.603876114,0.868038356,0.603876114,0.868038356,0.868038356,0.868038356
0.119031616,0.94927299,0.119031616,0.94927299,0.94927299,0.94927299,0.533726692,0.86417079,0.533726692,0.86417079,0.86417079,0.86417079
0.114664085,0.952103972,0.114664085,0.952103972,0.952103972,0.952103972,0.568631113,0.863087893,0.568631113,0.863087893,0.863087893,0.863087893
0.117987059,0.950409234,0.117987059,0.950409234,0.950409234,0.950409234,0.590407729,0.86138612,0.590407729,0.86138612,0.86138612,0.86138612
0.118671559,0.950736642,0.118671559,0.950736642,0.950736642,0.950736642,0.555681169,0.867110133,0.555681169,0.867110133,0.867110133,0.867110133
0.11395245,0.952431381,0.11395245,0.952431381,0.952431381,0.952431381,0.692610025,0.872524738,0.692610025,0.872524738,0.872524738,0.872524738
0.111784652,0.952431381,0.111784652,0.952431381,0.952431381,0.952431381,0.728952229,0.864944279,0.728952229,0.864944279,0.864944279,0.864944279
0.117639147,0.951160312,0.117639147,0.951160312,0.951160312,0.951160312,0.587639511,0.867883682,0.587639511,0.867883682,0.867883682,0.867883682
0.112108782,0.95370245,0.112108782,0.95370245,0.95370245,0.95370245,0.668925166,0.869430721,0.668925166,0.869430721,0.869430721,0.869430721
0.108385429,0.954338014,0.108385429,0.954338014,0.954338014,0.954338014,0.755847037,0.8633973,0.755847037,0.8633973,0.8633973,0.8633973
0.118248761,0.950332224,0.118248761,0.950332224,0.950332224,0.950332224,0.640390396,0.871751249,0.640390396,0.871751249,0.871751249,0.871751249
0.113821238,0.95250845,0.113821238,0.95250845,0.95250845,0.95250845,0.628881454,0.871751249,0.628881454,0.871751249,0.871751249,0.871751249
0.117531419,0.95166105,0.117531419,0.95166105,0.95166105,0.95166105,0.59284699,0.865717828,0.59284699,0.865717828,0.865717828,0.865717828
0.113604836,0.953009129,0.113604836,0.953009129,0.953009129,0.953009129,0.599771857,0.868038356,0.599771857,0.868038356,0.868038356,0.868038356
0.111002706,0.953529119,0.111002706,0.953529119,0.953529119,0.953529119,0.640812695,0.869121313,0.640812695,0.869121313,0.869121313,0.869121313
0.110578291,0.951815128,0.110578291,0.951815128,0.951815128,0.951815128,0.58898294,0.865563095,0.58898294,0.865563095,0.865563095,0.865563095
0.11082869,0.954973519,0.11082869,0.954973519,0.954973519,0.954973519,0.659467995,0.868657172,0.659467995,0.868657172,0.868657172,0.868657172
0.110548824,0.953721702,0.110548824,0.953721702,0.953721702,0.953721702,0.732773006,0.869121313,0.732773006,0.869121313,0.869121313,0.869121313
0.110139392,0.953760207,0.110139392,0.953760207,0.953760207,0.953760207,0.575251937,0.871441841,0.575251937,0.871441841,0.871441841,0.871441841
0.116450623,0.952296555,0.116450623,0.952296555,0.952296555,0.952296555,0.654817104,0.864944279,0.654817104,0.864944279,0.864944279,0.864944279
0.113580361,0.953182459,0.113580361,0.953182459,0.953182459,0.953182459,0.620279133,0.867110133,0.620279133,0.867110133,0.867110133,0.867110133
0.111588009,0.954877198,0.111588009,0.954877198,0.954877198,0.954877198,0.506112814,0.868657172,0.506112814,0.868657172,0.868657172,0.868657172
0.11196176,0.954183936,0.11196176,0.954183936,0.954183936,0.954183936,0.664311469,0.868811905,0.664311469,0.868811905,0.868811905,0.868811905
0.113685079,0.952643216,0.113685079,0.952643216,0.952643216,0.952643216,0.685859203,0.870668292,0.685859203,0.870668292,0.870668292,0.870668292
0.10925255,0.954183936,0.10925255,0.954183936,0.954183936,0.954183936,0.663841903,0.866491318,0.663841903,0.866491318,0.866491318,0.866491318
0.11704243,0.952181041,0.11704243,0.952181041,0.952181041,0.952181041,0.682290852,0.868038356,0.682290852,0.868038356,0.868038356,0.868038356
0.108388454,0.954761684,0.108388454,0.954761684,0.954761684,0.954761684,0.59009856,0.867264867,0.59009856,0.867264867,0.867264867,0.867264867
0.113265358,0.95310545,0.113265358,0.95310545,0.95310545,0.95310545,0.665241718,0.872370064,0.665241718,0.872370064,0.872370064,0.872370064
0.108285017,0.955416441,0.108285017,0.955416441,0.955416441,0.955416441,0.666370809,0.86417079,0.666370809,0.86417079,0.86417079,0.86417079
0.113320269,0.952874362,0.113320269,0.952874362,0.952874362,0.952874362,0.774891853,0.868811905,0.774891853,0.868811905,0.868811905,0.868811905
0.114369355,0.952855051,0.114369355,0.952855051,0.952855051,0.952855051,0.560895503,0.867264867,0.560895503,0.867264867,0.867264867,0.867264867
0.110657074,0.953933537,0.110657074,0.953933537,0.953933537,0.953933537,0.78644985,0.865099013,0.78644985,0.865099013,0.865099013,0.865099013
0.104966767,0.955127597,0.104966767,0.955127597,0.955127597,0.955127597,0.69183749,0.86138612,0.69183749,0.86138612,0.86138612,0.86138612
