,key,Date,Ticker,Quantity,Basis,Purchase Price,Current Value,Last,% Gain,model
0,Positions_2019-10-01,2019-10-01,WMT,1509,173512.78111007405,114.98527575220282,175343.71191370106,116.1986162449974,0.0,MF_MLP
1,Positions_2019-10-01,2019-10-01,MA,552,148535.23461187354,269.08556994904626,165250.4651907386,299.3667847658308,0.0,MF_MLP
2,Positions_2019-10-01,2019-10-01,CVX,1149,123411.63294135683,107.40786156776052,128340.37012945587,111.6974500691522,0.0,MF_MLP
3,Positions_2019-10-01,2019-10-01,BA,289,108117.1947420379,374.1079402838682,95015.6531985383,328.77388650013256,0.0,MF_MLP
4,Positions_2019-10-01,2019-10-01,COST,242,66448.67571721209,274.58130461657885,68182.4379899791,281.7456115288392,0.0,MF_MLP
5,Positions_2019-10-01,2019-10-01,ABBV,797,54170.12076859418,67.96752919522481,65768.01024429357,82.51946078330435,0.0,MF_MLP
6,Positions_2019-10-01,2019-10-01,CHTR,117,47929.927642822266,409.6575012207031,57029.89471435547,487.43499755859375,0.0,MF_MLP
7,Positions_2019-10-01,2019-10-01,BKNG,22,43491.305053710945,1976.8775024414065,45504.854248046875,2068.4024658203125,0.0,MF_MLP
8,Positions_2019-10-01,2019-10-01,GILD,749,44327.86023221513,59.18272394154223,46052.02191722044,61.484675456903126,0.0,MF_MLP
9,Positions_2019-10-01,2019-10-01,SYK,205,43124.36671343983,210.36276445580404,42339.362453414666,206.53347538251057,0.0,MF_MLP
10,Positions_2019-10-01,2019-10-01,CVS,697,41497.59245836288,59.53743537785205,49506.68795061477,71.0282467010255,0.0,MF_MLP
11,Positions_2019-10-01,2019-10-01,ADP,248,38493.68636224693,155.21647726712473,40965.07556650664,165.18175631655902,0.0,MF_MLP
12,Positions_2019-10-01,2019-10-01,CL,481,33380.73464370206,69.39861672287331,31801.16263723895,66.11468323750302,0.0,MF_MLP
13,Positions_2019-10-01,2019-10-01,BSX,778,31635.425296783447,40.66250038146973,35274.52011871338,45.34000015258789,0.0,MF_MLP
0,Positions_2019-10-02,2019-10-01,WMT,1509,173512.78111007405,114.98527575220282,171002.75469561308,113.32190503354082,-1.4500000000000002,MF_MLP
1,Positions_2019-10-02,2019-10-01,MA,552,148535.23461187354,269.08556994904626,145523.82143891312,263.63011130237885,-2.03,MF_MLP
2,Positions_2019-10-02,2019-10-01,CVX,1149,123411.63294135683,107.40786156776052,119074.3137458131,103.63299716780948,-3.51,MF_MLP
3,Positions_2019-10-02,2019-10-01,BA,289,108117.1947420379,374.1079402838682,105393.05652628264,364.6818564923275,-2.52,MF_MLP
4,Positions_2019-10-02,2019-10-01,COST,242,66448.67571721209,274.58130461657885,66014.14194458742,272.7857105148241,-0.65,MF_MLP
5,Positions_2019-10-02,2019-10-01,ABBV,797,54170.12076859418,67.96752919522481,52625.46489377554,66.02944152293041,-2.85,MF_MLP
6,Positions_2019-10-02,2019-10-01,CHTR,117,47929.927642822266,409.6575012207031,47951.865142822266,409.8450012207031,0.05,MF_MLP
7,Positions_2019-10-02,2019-10-01,BKNG,22,43491.305053710945,1976.8775024414065,42951.424865722656,1952.3374938964844,-1.24,MF_MLP
8,Positions_2019-10-02,2019-10-01,GILD,749,44327.86023221513,59.18272394154223,43439.942406422546,57.99725287906882,-2.0,MF_MLP
