,key,cash,model
103,cash_2020-02-28,2267.511223127134,MF_MLP
104,cash_2020-03-02,2267.511223127134,MF_MLP
105,cash_2020-03-03,2267.511223127134,MF_MLP
106,cash_2020-03-04,2267.511223127134,MF_MLP
107,cash_2020-03-05,2267.511223127134,MF_MLP
108,cash_2020-03-06,2267.511223127134,MF_MLP
109,cash_2020-03-09,2267.511223127134,MF_MLP
110,cash_2020-03-10,2267.511223127134,MF_MLP
111,cash_2020-03-11,2267.511223127134,MF_MLP
112,cash_2020-03-12,2267.511223127134,MF_MLP
113,cash_2020-03-13,2267.511223127134,MF_MLP
114,cash_2020-03-16,2267.511223127134,MF_MLP
115,cash_2020-03-17,2267.511223127134,MF_MLP
116,cash_2020-03-18,2267.511223127134,MF_MLP
117,cash_2020-03-19,2267.511223127134,MF_MLP
118,cash_2020-03-20,2267.511223127134,MF_MLP
119,cash_2020-03-23,2267.511223127134,MF_MLP
120,cash_2020-03-24,2267.511223127134,MF_MLP
121,cash_2020-03-25,2267.511223127134,MF_MLP
122,cash_2020-03-26,2267.511223127134,MF_MLP
123,cash_2020-03-27,2267.511223127134,MF_MLP
124,cash_2020-03-30,2267.511223127134,MF_MLP
125,cash_2020-03-31,2267.511223127134,MF_MLP
126,cash_2020-04-01,847.0055227128323,MF_MLP
127,cash_2020-04-02,847.0055227128323,MF_MLP
128,cash_2020-04-03,847.0055227128323,MF_MLP
129,cash_2020-04-06,847.0055227128323,MF_MLP
130,cash_2020-04-07,847.0055227128323,MF_MLP
131,cash_2020-04-08,847.0055227128323,MF_MLP
132,cash_2020-04-09,847.0055227128323,MF_MLP
133,cash_2020-04-13,847.0055227128323,MF_MLP
134,cash_2020-04-14,847.0055227128323,MF_MLP
135,cash_2020-04-15,847.0055227128323,MF_MLP
136,cash_2020-04-16,847.0055227128323,MF_MLP
137,cash_2020-04-17,847.0055227128323,MF_MLP
138,cash_2020-04-20,847.0055227128323,MF_MLP
139,cash_2020-04-21,847.0055227128323,MF_MLP
140,cash_2020-04-22,847.0055227128323,MF_MLP
141,cash_2020-04-23,847.0055227128323,MF_MLP
142,cash_2020-04-24,847.0055227128323,MF_MLP
143,cash_2020-04-27,847.0055227128323,MF_MLP
144,cash_2020-04-28,847.0055227128323,MF_MLP
145,cash_2020-04-29,847.0055227128323,MF_MLP
146,cash_2020-04-30,847.0055227128323,MF_MLP
147,cash_2020-05-01,847.0055227128323,MF_MLP
148,cash_2020-05-04,847.0055227128323,MF_MLP
149,cash_2020-05-05,847.0055227128323,MF_MLP
150,cash_2020-05-06,847.0055227128323,MF_MLP
151,cash_2020-05-07,847.0055227128323,MF_MLP
152,cash_2020-05-08,847.0055227128323,MF_MLP
153,cash_2020-05-11,847.0055227128323,MF_MLP
154,cash_2020-05-12,847.0055227128323,MF_MLP
155,cash_2020-05-13,847.0055227128323,MF_MLP
156,cash_2020-05-14,847.0055227128323,MF_MLP
157,cash_2020-05-15,847.0055227128323,MF_MLP
158,cash_2020-05-18,847.0055227128323,MF_MLP
159,cash_2020-05-19,847.0055227128323,MF_MLP
160,cash_2020-05-20,847.0055227128323,MF_MLP
161,cash_2020-05-21,847.0055227128323,MF_MLP
162,cash_2020-05-22,847.0055227128323,MF_MLP
163,cash_2020-05-26,847.0055227128323,MF_MLP
164,cash_2020-05-27,847.0055227128323,MF_MLP
165,cash_2020-05-28,847.0055227128323,MF_MLP
166,cash_2020-05-29,847.0055227128323,MF_MLP
167,cash_2020-06-01,847.0055227128323,MF_MLP
168,cash_2020-06-02,847.0055227128323,MF_MLP
169,cash_2020-06-03,847.0055227128323,MF_MLP
170,cash_2020-06-04,847.0055227128323,MF_MLP
171,cash_2020-06-05,847.0055227128323,MF_MLP
172,cash_2020-06-08,847.0055227128323,MF_MLP
173,cash_2020-06-09,847.0055227128323,MF_MLP
174,cash_2020-06-10,847.0055227128323,MF_MLP
