,date,Instrument,eps_basic,eps_excl_basic,eps_dil,eps_growth,ebit,ebitda,rev,net_inc,tot_assets,oth_assets,cash,book_val,tang_book,debt,lt_cap,intang,ocf,capex,cfo_ps,fcfe,noa,ebit_bv,ebit_nonop,ebit_op,ebit_tot,ebit_mgn,net_debt,nd_ebitda,ni_op,ni_tot,ni_mgn,ocf_bv,ocf_op,ocf_tot,ocf_mgn,ocf_ce,fcf_bv,fcf_op,fcf_tot,fcf_mgn,fcf_ce,12m_volume,6m_volume,3m_volume,12m_avg_mkt_cap,3m_avg_mkt_cap,6m_avg_mkt_cap,e_p,b_p,ebit_ev,rev_ev,90 days,1_yr,fwd_ret,Unnamed: 0.1,roe,roa,roce,roic,d_e,1yr_ret,3m_ret,6m_ret,1yr_vol,6mth_vol,3mth_vol,quarter
2,2020-02-18,A,2.45166,2.45166,2.42259,-0.94943,952000000.0,1215000000.0,5236000000.0,764000000.0,9501000000.0,796000000.0,1226000000.0,4848000000.0,200000000.0,2861000000.0,7609000000.0,4648000000.0,-59000000.0,34000000.0,-0.188498402555911,-37000000.0,8705000000.0,0.1963696369636963,1.1959798994974875,0.1093624353819643,0.1001999789495842,0.1818181818181818,1635000000.0,1.345679012345679,0.0877656519241815,0.0804125881486159,0.1459129106187929,-0.0121699669966996,-0.0067777139574956,-0.0062098726449847,-0.0112681436210847,-0.0077539755552635,-0.0076320132013201,-0.004250430786904,-0.0038943269129565,-0.0070664629488158,-0.0048626626363516,531218.3253968254,502261.7301587302,533608.3968253968,24107.7932936508,26316.54031746032,24827.975714285712,0.0076782026192144,0.1889539405987394,0.0106258063962433,0.0497214457920768,0.0586724729307239,0.0885154982476066,xxx,93.0,15.4593282072036,8.28049639624993,9.87973619552567,11.437112192266,59.01403,0.5470638636502776,-0.0108159153029386,0.1553654259127677,0.0151120806336878,0.0117730467728587,0.0107226207716098,1_2020
18,2020-02-18,AAP,6.86361,6.86361,6.83525,0.64931,754470000.0,992841000.0,9709002000.0,486896000.0,11248525000.0,207689000.0,418665000.0,3549081000.0,1847085000.0,747320000.0,6770823000.0,1701996000.0,158363000.0,302424000.0,2.27105591487287,-144049000.0,11040836000.0,0.2125817923005983,3.632691187304094,0.0683344993078422,0.0670727939885451,0.0777082958681026,328655000.0,0.3310248065903805,0.0440995591275878,0.043285319630796,0.0501489236483832,0.0446208469178359,0.0143433884897846,0.0140785569663578,0.0163109452444236,0.023389032618339,-0.0405876901654259,-0.0130469286927185,-0.0128060345689768,-0.0148366433542809,-0.0212749616996338,242170.2341269841,247159.1825396825,259506.3015873016,11063.424166666668,10354.681904761905,10792.714761904765,0.0087448736468503,0.3236079212928899,0.012860706329553,0.1870251749581991,-0.0914316520105067,-0.1502540193140736,xxx,174.0,13.7155850495796,4.79956477279779,8.16561389644947,11.635230389794,21.05672,0.1498941742701058,-0.0728412129503541,0.1404474517465446,0.0170125879895331,0.0179594450931779,0.0182120926450112,1_2020
42,2020-01-30,ABC,3.10435,3.10435,3.08704,-0.94554,1867563000.0,2330090000.0,182061411000.0,649353000.0,40016738000.0,773377000.0,3232604000.0,3069081000.0,-5777081000.0,4168603000.0,9386282000.0,8846162000.0,142810000.0,67305000.0,0.688184582467942,61524000.0,39243361000.0,0.6085088663349061,2.414815801349148,0.0475892724886637,0.0466695461284225,0.0102578739214538,935999000.0,0.4017007926732444,0.0165468243150733,0.016227034797289,0.0035666701495573,0.0465318445489056,0.0036390868763763,0.0035687566537782,0.0007844056531013,0.0152147570251991,0.0200463917374614,0.0015677556262319,0.0015374566512642,0.0003379299306869,0.0065546720202951,345269.4404761905,347693.6031746032,344951.7777777777,17461.758293650793,17923.010793650796,17777.95753968254,0.0107176898135055,0.1687634032344844,0.0231389678826291,2.5792030214533628,0.0620207060503761,0.0866760881470103,xxx,197.0,21.633998153281,1.63701480291983,6.72404546426635,10.6391699267531,135.82577,0.1932525642142146,0.0132189743530588,0.1603902221504467,0.0172868265740908,0.0172856340171121,0.014606184834319,1_2020
50,2020-02-06,ABMD,5.42883,5.42883,5.33086,0.53747,256554000.0,275166000.0,841305000.0,245171000.0,1196611000.0,47028000.0,427539000.0,1046863000.0,992388000.0,0.0,1070352000.0,54475000.0,89440000.0,8853000.0,1.95732574679943,80587000.0,1149583000.0,0.2450693166154501,5.455345751467212,0.2231713586578785,0.2144005027531921,0.3049476705832011,-427539000.0,-1.5537493731056888,0.2132695072909046,0.2048878039730539,0.2914175001931523,0.0854362032090158,0.0778021247704602,0.0747444240442382,0.1063110286994609,0.083561295723276,0.0769795092576583,0.0701010714319888,0.0673460297456734,0.0957880911203428,0.075290184911132,235825.59523809524,246542.11111111112,280314.7301587302,10375.017896825397,8314.11619047619,8394.634444444444,0.0089941283930813,0.1360304582973307,0.0101146635959961,0.0304865283510419,-0.0557375817620202,-0.4416783250703111,xxx,94.0,25.829319851053,22.7671380820318,25.34737873794,25.829319851053,0.0,0.6726188219554372,-0.0391816381358727,0.6069589297159184,0.0322122215009593,0.0326951523240814,0.0369786023190542,1_2020
58,2020-01-22,ABT,2.08504,2.03628,2.02145,0.22192,4670000000.0,7684000000.0,31904000000.0,3687000000.0,67887000000.0,2097000000.0,4140000000.0,31301000000.0,-8919000000.0,18139000000.0,57024000000.0,40220000000.0,2416000000.0,434000000.0,1.35609126898373,854000000.0,65790000000.0,0.1491965112935689,2.226990939437292,0.0709834321325429,0.0687907846863169,0.146376629889669,13999000000.0,1.8218375845913584,0.0560419516643866,0.0543108400724733,0.115565446339017,0.0771860323951311,0.0367229062167502,0.0355885515636277,0.0757271815446339,0.042368125701459,0.0272834733714577,0.0129806961544307,0.0125797280775406,0.0267678034102306,0.014976150392817,1513407.503968254,1448818.2142857143,1499093.5555555555,144666.80357142858,151315.5888888889,149311.60634920633,0.0068290686223068,0.202385210038395,0.0093135467617998,0.0495411566075519,0.1280282691613159,0.3352495947659815,xxx,165.0,11.6892813088359,5.33244483933067,6.25255024525763,8.58089165640673,57.95023,0.2487017546006451,0.0437847972680718,0.0995264537841633,0.0116554567711322,0.0117860374798441,0.0083778836890461,1_2020
66,2020-03-19,ACN,7.80484,7.80484,7.69894,0.1762,6545644000.0,7482642000.0,44655801000.0,4971651000.0,33503430000.0,6835497000.0,5440099000.0,15920806000.0,8313995000.0,19880000.0,22325855000.0,7606811000.0,1530641000.0,165370000.0,2.40105962797034,1365475000.0,26667933000.0,0.4111377275748477,0.9575959143863276,0.2454499941934007,0.1953723544126676,0.146579925864503,-5420219000.0,-0.7243723540428635,0.1864280594975246,0.1483922989377505,0.1113327023290882,0.0961409240210577,0.0573963118926389,0.0456860984084316,0.0342764202124601,0.0685591212520192,0.085766700504987,0.0512028810031883,0.040756274805296,0.0305777742067598,0.0611611514990131,652279.5714285715,750313.9285714285,928342.3015873017,127787.23095238097,131259.54761904763,130250.15555555555,0.0104076364596404,0.1304354736012045,0.0131809501123934,0.0980215042217266,-0.2361365979340897,-0.079945495255604,xxx,263.0,34.5114273677476,16.5582059656216,25.5282437300197,33.6260599874672,0.12487,0.6901873332825841,0.2860924457106821,0.5063730532136519,0.017718154531846,0.0222393469509533,0.0299594041074255,1_2020
74,2020-03-12,ADBE,6.6716,6.67771,6.60525,0.59985,3510291000.0,4290062000.0,11661351000.0,3232217000.0,21214000000.0,598000000.0,4171000000.0,10465000000.0,-1852000000.0,4113000000.0,15986000000.0,12317000000.0,1325000000.0,94000000.0,2.71516393442623,1225000000.0,20616000000.0,0.3354315336837076,5.870051839464883,0.170270227008149,0.1654704911850664,0.301019238679978,-58000000.0,-0.0135196181313929,0.1567819654637175,0.1523624493259168,0.2771734595759959,0.1266125179168657,0.0642704695382227,0.0624587536532478,0.1136231985470637,0.0828850243963468,0.1170568561872909,0.0594198680636398,0.0577448854530027,0.1050478628076626,0.0766295508569998,1032614.1507936508,1082052.2777777778,1147908.238095238,146145.87063492063,168452.2031746032,153700.1126984127,0.0057259165158857,0.0627452527107269,0.0056319434498655,0.0185392302487055,-0.0685056610029207,0.0646643408447151,xxx,173.0,31.8164323874062,15.8900238941819,21.4407412071125,23.6010052702462,39.30244,0.558947325589364,0.3602456611499451,0.6710877535635964,0.01907267477977,0.0216007063864465,0.027489657580984,1_2020
82,2020-02-19,ADI,3.27722,3.27722,3.24393,-0.40921,1613223000.0,2427821000.0,5753529000.0,1209680000.0,21376827000.0,1669226000.0,654408000.0,11689517000.0,-4640625000.0,5493762000.0,19606285000.0,16330142000.0,349648000.0,54839000.0,0.939247415812434,294809000.0,19707601000.0,0.1380059586722017,0.9664497198102594,0.0818579085298104,0.0754659706980834,0.2803884363840001,4839354000.0,1.9932911034215453,0.061381392895056,0.0565883795569847,0.2102500917263126,0.0299112444081308,0.0177417839949164,0.0163564031275549,0.0607710502545481,0.017833465136307,0.0252199470688138,0.0149591520550877,0.0137910551458361,0.0512396826365175,0.0150364538718069,958274.4007936508,835423.380952381,833703.1746031746,41272.30111111111,43073.60174603174,42065.77642857143,0.0050348277395316,0.2886817566405045,0.0062698617758596,0.0287558927256778,0.0834503315037826,0.1836725077714787,xxx,86.0,10.3213952646265,5.57516987865207,5.93515157273418,8.07236613232286,46.99734,0.3023631660250749,-0.1370798567685965,-0.038145915249048,0.0177956469700878,0.0171096486785332,0.0170571565788475,1_2020
90,2020-01-29,ADM,2.45252,2.52222,2.51081,0.34149,1654000000.0,2647000000.0,64691000000.0,1379000000.0,43997000000.0,6242000000.0,852000000.0,19225000000.0,13749000000.0,8881000000.0,30205000000.0,5476000000.0,-1813000000.0,262000000.0,-3.20884955752212,-2122000000.0,37755000000.0,0.0860338101430429,0.2649791733418776,0.0438087670507217,0.037593472282201,0.0255676987525312,8029000000.0,3.033245183226294,0.0365249635809826,0.0313430461167806,0.0213167210276545,-0.0943042912873862,-0.0480201297841345,-0.041207355046935,-0.0280255367825508,-0.0600231749710312,-0.1103771131339401,-0.0562044762283141,-0.0482305611746255,-0.0328020899352305,-0.0702532693262704,992594.1547619049,960014.619047619,924286.507936508,23316.27055555556,24669.591428571428,23351.364365079364,0.0195330585911151,0.7444265663058334,0.0181676558290334,0.4829175268581074,0.047520870691492,0.0803633836995862,xxx,279.0,7.4262222105842,3.34315690203937,4.78948879469035,6.2520090491083,46.19506,0.2073409327292652,-0.1137321283784679,0.0003906385344756,0.0126466094684427,0.0130197751868434,0.010080654124672,1_2020
98,2020-01-29,ADP,5.68895,5.68895,5.65784,0.22892,3257700000.0,3705100000.0,14472700000.0,2463100000.0,49059400000.0,40261400000.0,1507600000.0,5364400000.0,1945000000.0,2004600000.0,8537000000.0,3419400000.0,698100000.0,123400000.0,1.6111239326102,-2962400000.0,8798000000.0,0.6072813362165387,0.0809137287824069,0.3702773357581268,0.0664031765573977,0.2250927608531925,497000000.0,0.1341394294351029,0.2799613548533757,0.0502064843842362,0.1701893910604102,0.1301357094922079,0.0793475789952261,0.0142296889077322,0.0482356436601325,0.0817734567178165,-0.5522332413690254,-0.3367128892930211,-0.0603839427306489,-0.2046888279312084,-0.347007145367225,783997.126984127,798170.9761904762,770884.9682539683,71068.40646825396,73552.26238095238,72270.1396031746,0.0088322573566193,0.0727129548248142,0.0116221418440399,0.0494062204549402,0.0476745531746376,0.2521159550777838,xxx,237.0,48.6399494485748,5.60673846563562,28.8999436831237,33.3845029317817,37.36858,-0.0013687553536219,-0.14205921638756,-0.1886249527275533,0.0112848807717978,0.0120140156893312,0.0101045264405653,1_2020
114,2020-02-26,AEE,3.37129,3.37129,3.34993,0.10404,1267000000.0,2272000000.0,5910000000.0,828000000.0,28933000000.0,1993000000.0,16000000.0,8201000000.0,7790000000.0,9797000000.0,26428000000.0,411000000.0,502000000.0,655000000.0,2.02910266774454,119000000.0,26940000000.0,0.1544933544689672,0.635725037631711,0.0470304380103934,0.0437908270832613,0.2143824027072758,9781000000.0,4.305017605633803,0.0307349665924276,0.0286178412193688,0.1401015228426396,0.0612120473113035,0.0186340014847809,0.0173504303044965,0.0849407783417935,0.0189950052974118,0.0145104255578587,0.0044172234595397,0.00411295061003,0.0201353637901861,0.0045028000605418,472967.3412698413,532444.4126984127,547674.3650793651,18896.672539682542,19498.198888888885,19371.03841269841,0.0049748378982222,0.4265129640614147,0.0067318831085415,0.0456657637672199,0.1621256631916179,0.2666620586230435,xxx,150.0,10.5544933078394,2.97072023936739,3.27341235575791,6.55471600540121,119.46104,-0.1403835726040959,-0.1674645773206013,-0.0540722404103822,0.0083780984897093,0.008239095939338,0.0067630171760308,1_2020
122,2020-02-20,AEP,3.89173,3.89173,3.88072,-0.4262,2748700000.0,5352300000.0,15561400000.0,1921100000.0,75892300000.0,11178400000.0,449500000.0,20021800000.0,19969300000.0,29870600000.0,65593200000.0,52500000.0,920200000.0,1715800000.0,1.86260564928172,353400000.0,64713900000.0,0.1372853589587349,0.2458938667430043,0.0424746460961246,0.0362184305917728,0.1766357782718778,29421100000.0,5.496907871382397,0.0296860489013952,0.0253135034779549,0.1234529026951302,0.0459599037049615,0.0142195108006162,0.0121250772476259,0.0591334969861323,0.0140288932389333,0.0176507606708687,0.0054609597010843,0.0046565988907965,0.0227100389425116,0.0053877536086057,673135.7380952381,673941.0555555555,713988.5714285715,44833.11353174603,47824.124285714286,46703.19103174604,0.0032866594359908,0.4212726584303818,0.0063984406935045,0.0472854313257972,0.0852094470225814,0.3685124090994742,xxx,22.0,9.91717192053254,2.65357983787979,3.05342782980456,6.00432050359945,149.19038,-0.2004649503875299,-0.2337693847633649,-0.1959358653176337,0.0082684667943712,0.0078057991573689,0.0069609639125857,1_2020
