,date,12m_volume,6m_volume,3m_volume,12m_avg_mkt_cap,3m_avg_mkt_cap,6m_avg_mkt_cap,Instrument,1yr_vol,6mth_vol,3mth_vol,1yr_mom,6m_mom,3m_mom,p_e,p_b,p_cf,ev,ev_ebit,ev_ebitda,ev_sales,close,200_ma,50_ma,eps_basic,eps_excl_basic,eps_dil,eps_growth,ebit,ebitda,rev,net_inc,tot_assets,oth_assets,cash,book_val,tang_book,debt,lt_cap,intang,bvps,ocf,capex,cfo_ps,fcfe,noa,ebit_bv,ebit_nonop,ebit_op,ebit_tot,ebit_mgn,net_debt,nd_ebitda,ni_op,ni_tot,ni_mgn,ocf_bv,ocf_op,ocf_tot,ocf_mgn,ocf_ce,fcf_bv,fcf_op,fcf_tot,fcf_mgn,fcf_ce,roe,roa,roce,roic,d_e,1yr_ret,3m_ret,6m_ret
504,2018-12-31,478135.02777777775,502294.5714285714,2992230.222222222,19856.584325396827,15924.79365079365,17000.20333333333,AAL,0.3997858769517109,0.45585964705685317,0.5452186259178108,-0.38199807813973474,-0.14956138783860973,-0.22093820164115074,10.534569729713839,3.918988541249828,29.860570236570048,-227185210.74,-0.15217711215754573,-0.1348360203810315,-0.05600108724610531,32.11000061035156,39.40536328184836,34.76485649363539,3.01417,3.01417,2.98498,0.38367,1151000000.0,1457000000.0,5817000000.0,925000000.0,10398000000.0,835000000.0,1380000000.0,4810000000.0,-249000000.0,2932000000.0,8640000000.0,5059000000.0,15.8745874587459,472000000.0,31000000.0,1.53745928338762,868000000.0,9563000000.0,0.2392931392931393,1.378443113772455,0.12035971975321552,0.11069436430082709,0.197868317001891,1552000000.0,1.0652024708304735,0.09672696852452159,0.08895941527216772,0.15901667526216262,0.09812889812889813,0.049356896371431556,0.04539334487401423,0.08114148186350352,0.05462962962962963,0.18045738045738047,0.09076649586949702,0.0834775918445855,0.14921780986762936,0.10046296296296296,19.3150970975151,9.31849090817509,11.4551083591331,12.8615558509213,60.95634,-0.0957193819037846,0.030206796643930778,0.008125611154705226
1164,2018-12-31,10012494.599206349,7016254.253968254,276563.3968253968,10352.675476190478,12252.65746031746,11891.659047619049,AAP,0.3212868334548651,0.30363565853456487,0.3578753058056182,0.5818513425621064,0.16121056001763034,-0.06421572817766197,9.272405714775912,1.356817508646184,-31.167192536653502,1184011477.8600006,-39.46704926200002,2.792479900613209,0.2095966503558153,157.4600067138672,150.0450084482596,164.58612270258322,-10.46074,-10.46074,-10.46129,4.84985,-10159000000.0,-7912000000.0,18687000000.0,-5808000000.0,72464000000.0,6386000000.0,17950000000.0,-7667000000.0,-13766000000.0,39999000000.0,50943000000.0,6099000000.0,-11.8419051023396,3470000000.0,148000000.0,5.28663623676818,3871000000.0,66078000000.0,1.32502934655015,-1.5908236767929846,-0.1537425466872484,-0.1401937513799956,-0.5436399636110665,22049000000.0,-2.7867795753286146,-0.08789612276400617,-0.08015014351954074,-0.310804302456253,-0.4525890178687883,0.052513695935107,0.04788584676529035,0.18569058703911812,0.06811534460082838,-0.5048910916916656,0.058582281546051634,0.053419629057187015,0.20714935516669342,0.07598688730541979,19.3150970975151,-8.47833703141422,-11.9154348784966,10.3269531183169,15770.625,0.018700245617046862,0.10125354073628423,0.01556437584211845
1824,2018-12-31,228131.10714285713,233027.77777777778,45164452.634920634,926937.5853174604,910741.6634920635,966152.2015873016,AAPL,0.28704974319914217,0.32672829485288124,0.40224998088675346,-0.06413281476565946,-0.1418858687386142,-0.2987933845146369,2.6369425625511385,0.3374616834488985,5.398052378355846,6601748538.4,1.322465652724359,1.1304363935616437,0.19586852213024772,39.435001373291016,47.46403808261731,45.110816841101766,9.37155,9.37155,9.32934,2.20044,991122000.0,1239877000.0,10738809000.0,635363000.0,11868488000.0,196834000.0,880233000.0,3501567000.0,1834582000.0,1033369000.0,7076065000.0,1666985000.0,53.5088708568285,329932000.0,70884000.0,4.99125593779311,259638000.0,11671654000.0,0.28305098831466025,5.035319101374762,0.08491701347555368,0.08350869967598232,0.09229347500267487,153136000.0,0.12350902549204477,0.05443641492456853,0.05353360933591541,0.059165127157024586,0.09422410023855034,0.02826780163291338,0.02779899175025496,0.030723332540880464,0.04662647954760167,0.07414908810826695,0.02224517621924022,0.021876249106036083,0.024177541475968144,0.03669242721766971,18.0536857066381,5.30772655847318,8.87527983065304,13.6648676817602,29.51162,0.8895782125846725,0.23527390251220526,0.2956987698281017
2484,2018-12-31,26475386.86904762,20793103.515873015,1873592.2222222222,151523.32063492064,131965.87936507937,138681.19682539682,ABBV,0.3514295203871187,0.29659124612123944,0.3437979664677933,-0.020503386863450546,0.015950352737452267,-0.014842489328234065,29.544574022121175,4.647012010163647,67.69053253219452,2121636673.6999998,1.4868332273029887,1.2303066050712157,0.1682840678686417,92.19000244140625,91.93824261903855,88.2799747839169,5.15892,5.15892,5.10613,0.65523,99938000000.0,110935000000.0,347155000000.0,86802000000.0,329840000000.0,58495000000.0,61696000000.0,64280000000.0,64280000000.0,121791000000.0,222086000000.0,1666985000.0,3.88235943569773,21094000000.0,2093000000.0,1.2569618099678,19001000000.0,271345000000.0,1.5547293092719352,1.708487904949141,0.36830603106746024,0.30298932815910745,0.2878771730206968,60095000000.0,0.5417136160814892,0.3198953361956181,0.26316395828280376,0.25003816738920653,0.32815805849408836,0.07773867217011554,0.06395221925782198,0.06076248361682822,0.09498122348999936,0.29559738643434974,0.07002524461478929,0.05760671840892554,0.05473347640103124,0.08555694640814819,127.124675971354,26.8245197656308,39.0901394242894,47.9076766023009,189.46951,0.014681838093631994,-0.08787433938703137,-0.174132586449952
3144,2018-12-31,1837889.7063492064,1736870.9047619049,308600.22222222225,19326.687896825395,18301.74634920635,18578.021666666667,ABC,0.3032349520252552,0.26593297540289745,0.31873097686754825,-0.18255091230228238,-0.11969183582410903,-0.18959741691145116,19.940393642091088,8.642216203656615,88.88940182304384,3591015793.0,1.439861985966319,1.221433943197279,0.5121243287221905,74.4000015258789,86.69202546777312,82.96103555636597,3.73261,3.73261,3.72214,0.89033,16287000000.0,21360000000.0,53729000000.0,6606000000.0,150501000000.0,4792000000.0,9777000000.0,13733000000.0,-99909000000.0,85530000000.0,118550000000.0,113642000000.0,7.7647872873874,4877000000.0,188000000.0,2.74760563380282,4689000000.0,145709000000.0,0.9635913493045948,2.7614774624373957,0.09081800026079377,0.08792632607092311,0.30313238660686037,75753000000.0,3.546488764044944,0.03489146174910266,0.03378050644181766,0.12295036200189842,0.3551299788829826,0.033470821980797344,0.03240510029833689,0.09716107181990238,0.041138760016870515,0.3414403262215102,0.032180579099437924,0.03115593916319493,0.09341567885247534,0.039552931252636016,161.683876092137,4.27554820024824,5.34670267697306,10.7379268736017,622.80638,0.16480711665364423,0.005863814995655803,0.1599754497580521
3804,2018-12-31,320894.5238095238,320217.42063492065,245972.4126984127,15370.637579365079,15366.48507936508,16557.90746031746,ABMD,0.4753819853179493,0.5570514808772538,0.6545093839824249,0.705799020410582,-0.20537827100624828,-0.27728736287955114,54.719895311826605,29.361742062166226,147.48464591708088,36521014645.66,3.1310883612534295,2.5533814336614697,0.4896694239392355,325.0400085449219,338.31653887980997,332.512072691256,-18.36914,-18.36914,-18.42554,-2.55172,2311542000.0,2719652000.0,196282272000.0,-3746521000.0,47003250000.0,1502442000.0,6641180000.0,-102782000.0,-8651688000.0,6190997000.0,14006804000.0,8548906000.0,-1.37223629095006,-453903000.0,86202000.0,-2.18943636495188,1960790000.0,45500808000.0,-22.489755015469633,1.5385232840934957,0.050802218721038975,0.04917834405067735,0.011776621375159137,-450183000.0,-0.16552963393845976,-0.0823396586715559,-0.07970770106322435,-0.01908741406865313,4.416172092389718,-0.009975712958767678,-0.009656842877886103,-0.0023125012532970884,-0.03240589359285673,-19.07717304586406,0.04309352044913137,0.04171605154962689,0.00998964389407516,0.13998839421184162,-226.455663838077,-8.41036210786232,-31.2861413303669,23.0870712108124,104.34481,-0.4751723115515659,-0.12564605975958298,-0.19551444942127483
4464,2018-12-31,114283.87301587302,106498.04761904762,2037126.0476190476,112831.6905952381,123031.6365079365,119688.76507936508,ABT,0.22466983588416284,0.2328243930220956,0.2886720965487615,0.2818583646159192,0.1961609727672433,-0.009986549561718183,101.65561309738965,4.1223908977776595,17.02783063550983,1437627035.5,1.7383640090689239,1.6672005514322161,0.7824246410689017,72.33000183105469,65.73565132172703,70.04900645639586,4.9953,4.9953,4.93812,0.55065,229557000.0,253654000.0,847522000.0,225525000.0,1494359000.0,11380000.0,583695000.0,1329675000.0,1203634000.0,0.0,1365390000.0,126041000.0,29.371485660075,86475000.0,26109000.0,1.89070118284977,60366000.0,1482979000.0,0.17264143493710868,20.171968365553603,0.1547945048446404,0.15361569743281234,0.27085668572615224,-583695000.0,-2.3011464435806257,0.15207565312792695,0.1509175506019638,0.266099287098152,0.0650346889277455,0.05831168209394739,0.057867620832745006,0.10203274959234096,0.0633335530507767,0.045399063680974676,0.040705903455139955,0.040395915573165485,0.07122646963736634,0.04421154395447455,18.8318767037097,16.6388706594792,18.4104520591502,18.8318767037097,0.0,0.22080210643754516,0.10589238178144833,0.18475300779171677
5124,2018-12-31,1591644.753968254,1731766.880952381,733527.3015873015,101653.4007936508,100302.4384126984,103652.9453968254,ACN,0.23189289933582433,0.22108623322542045,0.292552890680379,-0.06521776354069897,-0.130149667205277,-0.1639316337607727,27.114751592029968,3.048600912391626,111.14632000761809,2074488886.56,2.156702381336549,1.521360311358011,0.42545519264435405,141.00999450683594,157.73347075832794,155.01981697339443,3.58456,3.59695,3.5733,0.36062,7395000000.0,10183000000.0,40233000000.0,6376000000.0,72785000000.0,3739000000.0,8372000000.0,33788000000.0,-3777000000.0,18444000000.0,60323000000.0,37565000000.0,18.8887997683826,2637000000.0,397000000.0,1.47194841426445,2262000000.0,69046000000.0,0.19977506807150466,1.8052955335651244,0.09776091301451206,0.09273888850724737,0.18380433972112445,10072000000.0,0.989099479524698,0.08290125423630623,0.07864257745414577,0.15847687221932244,0.07804545992660115,0.03819193001766938,0.03622999244349797,0.07062510043387434,0.04371466936326111,0.0669468450337398,0.03276076818352982,0.031077831970873118,0.06058171300016069,0.03749813503970293,18.0181875195986,8.23433312792881,9.88202111925154,12.3198207238127,54.58743,0.5121357922233791,0.24367060193210266,0.3485718812913725
5784,2018-12-31,685160.8095238095,703639.0396825396,1648009.492063492,115909.0753174603,116744.88253968254,121873.47698412699,ADBE,0.3540430183028065,0.4175697276043609,0.5441001435582656,0.2887496528636413,-0.07206428055193748,-0.16191889141440352,103.21309392608661,18.236269084067192,243.55365874354942,-1927811564.7,-3.3669800488678994,-3.0839507938590107,-0.7132347821406017,226.24000549316406,234.86706945709827,236.74258044413534,9.09561,9.09561,8.94948,0.50857,7207543000.0,8342344000.0,47949376000.0,5778490000.0,42124884000.0,7240650000.0,10013813000.0,19893964000.0,9532842000.0,70786000.0,27195325000.0,10361122000.0,30.4635401734568,2401150000.0,158212000.0,3.7200945720036,2242376000.0,34884234000.0,0.3622979814379879,0.9954276204484404,0.20661319379981227,0.17109941477821042,0.1503156787692086,-9943027000.0,-1.1918744899515052,0.16564761032161407,0.13717521453590234,0.12051230864818763,0.12069741354714425,0.06883195428628303,0.0570007504353009,0.05007677263620699,0.0882927488456196,0.11271639980850473,0.06428049989574086,0.053231624329220704,0.04676548866871594,0.0824544659789872,32.6861232162918,15.1810800217765,23.2369658293948,31.9040846353095,0.35582,0.4577881433465536,0.19939002614510892,0.3321694100539798
6444,2018-12-31,968213.7420634921,901863.8492063492,1402477.5396825396,34119.04944444445,31968.59857142857,33800.39603174604,ADI,0.2736610969793229,0.28768300204630365,0.3559993665770085,-0.020243000912971154,-0.09603972196917565,-0.0667056636459985,15.127294840550013,3.8033528329239297,30.84079614628389,1533716770.79,1.2948341190082813,1.0436287226388132,0.08582571022922494,85.83000183105469,90.00948723408861,87.27817806864243,11.63463,11.63463,11.56806,0.04783,5144000000.0,5915000000.0,14389000000.0,5582000000.0,25582000000.0,1973000000.0,5768000000.0,13852000000.0,352000000.0,4620000000.0,19437000000.0,13500000000.0,29.0398322851153,1988000000.0,95000000.0,4.13305613305613,1893000000.0,23609000000.0,0.37135431706612765,2.6071971616827168,0.21788301071625227,0.20107888359002424,0.35749530891653347,-1148000000.0,-0.1940828402366864,0.2364352577406921,0.2182002970838871,0.38793522829939536,0.143517181634421,0.08420517599220637,0.07771089046986163,0.13816109528111753,0.10227915830632299,0.1366589662142651,0.08018128679740777,0.07399734188101008,0.13155882966154703,0.09739157277357617,45.1380746371245,23.6600614602098,31.1182963541086,34.1332896357889,33.35258,0.4130949466177283,0.2660367657591485,0.3366309377937369
