,date,12m_volume,6m_volume,3m_volume,12m_avg_mkt_cap,3m_avg_mkt_cap,6m_avg_mkt_cap,Instrument,1yr_vol,6mth_vol,3mth_vol,1yr_mom,6m_mom,3m_mom,p_e,p_b,p_cf,ev,ev_ebit,ev_ebitda,ev_sales,close,200_ma,50_ma,eps_basic,eps_excl_basic,eps_dil,eps_growth,ebit,ebitda,rev,net_inc,tot_assets,oth_assets,cash,book_val,tang_book,debt,lt_cap,intang,bvps,ocf,capex,cfo_ps,fcfe,noa,ebit_bv,ebit_nonop,ebit_op,ebit_tot,ebit_mgn,net_debt,nd_ebitda,ni_op,ni_tot,ni_mgn,ocf_bv,ocf_op,ocf_tot,ocf_mgn,ocf_ce,fcf_bv,fcf_op,fcf_tot,fcf_mgn,fcf_ce,roe,roa,roce,roic,d_e,1yr_ret,3m_ret,6m_ret
525,2019-01-31,478135.02777777775,502294.5714285714,2795668.412698413,18896198095.238094,15886394603.174603,16567702063.492064,AAL,0.4188198541829918,0.4830287958757916,0.5436207401460539,-0.3132580619809813,-0.09048221884300756,0.10026789256753887,11.735333444146004,4.365687301459759,33.2641728660341,16247790000.0,10.88337463996249,9.643177636654995,4.005075428909485,35.77000045776367,38.26561730129459,34.12799347020722,3.01417,3.01417,2.98498,0.38367,1151000000.0,1457000000.0,5817000000.0,925000000.0,10398000000.0,835000000.0,1380000000.0,4810000000.0,-249000000.0,2932000000.0,8640000000.0,5059000000.0,15.8745874587459,472000000.0,31000000.0,1.53745928338762,868000000.0,9563000000.0,0.2392931392931393,1.378443113772455,0.12035971975321552,0.11069436430082709,0.197868317001891,1552000000.0,1.0652024708304735,0.09672696852452159,0.08895941527216772,0.15901667526216262,0.09812889812889813,0.049356896371431556,0.04539334487401423,0.08114148186350352,0.05462962962962963,0.18045738045738047,0.09076649586949702,0.0834775918445855,0.14921780986762936,0.10046296296296296,19.3150970975151,9.31849090817509,11.4551083591331,12.8615558509213,60.95634,-0.24032481620515667,-0.04829296204463096,-0.16109292910027218
544,2019-02-28,478135.02777777775,2611930.103174603,2531721.4444444445,18183288849.20635,15620785714.285715,16310915238.095238,AAL,0.4094794606506518,0.4750274915785626,0.5047047738340513,-0.33646807458009387,-0.09347806672085501,-0.06227970887462353,11.689402790009131,4.348600537417863,33.13398097789298,15772650000.0,10.565108178712572,9.361178704967655,3.887953559455729,35.630001068115234,37.860521972583115,35.055968341036355,3.01417,3.01417,2.98498,0.38367,1151000000.0,1457000000.0,5817000000.0,925000000.0,10398000000.0,835000000.0,1380000000.0,4810000000.0,-249000000.0,2932000000.0,8640000000.0,5059000000.0,15.8745874587459,472000000.0,31000000.0,1.53745928338762,868000000.0,9563000000.0,0.2392931392931393,1.378443113772455,0.12035971975321552,0.11069436430082709,0.197868317001891,1552000000.0,1.0652024708304735,0.09672696852452159,0.08895941527216772,0.15901667526216262,0.09812889812889813,0.049356896371431556,0.04539334487401423,0.08114148186350352,0.05462962962962963,0.18045738045738047,0.09076649586949702,0.0834775918445855,0.14921780986762936,0.10046296296296296,19.3150970975151,9.31849090817509,11.4551083591331,12.8615558509213,60.95634,-0.45816998264982733,-0.20709239164930582,-0.2845227042486169
565,2019-03-29,478135.02777777775,2710141.9285714286,2441174.285714286,17326661190.47619,15318069047.619047,15600215158.730158,AAL,0.41331633351023694,0.4724168633758306,0.38846849497151176,-0.36887505755799244,-0.22186924787465567,-0.006036700394443484,10.419742468613425,3.8762713983553887,29.535088742485808,14034800000.0,9.401031549333512,8.329752507567214,3.4595740485111417,31.760000228881836,36.69370511950075,33.06510633366139,3.01417,3.01417,2.98498,0.38367,1151000000.0,1457000000.0,5817000000.0,925000000.0,10398000000.0,835000000.0,1380000000.0,4810000000.0,-249000000.0,2932000000.0,8640000000.0,5059000000.0,15.8745874587459,472000000.0,31000000.0,1.53745928338762,868000000.0,9563000000.0,0.2392931392931393,1.378443113772455,0.12035971975321552,0.11069436430082709,0.197868317001891,1552000000.0,1.0652024708304735,0.09672696852452159,0.08895941527216772,0.15901667526216262,0.09812889812889813,0.049356896371431556,0.04539334487401423,0.08114148186350352,0.05462962962962963,0.18045738045738047,0.09076649586949702,0.0834775918445855,0.14921780986762936,0.10046296296296296,19.3150970975151,9.31849090817509,11.4551083591331,12.8615558509213,60.95634,-0.6091235074866901,0.02972650693414014,-0.14410477744846306
1185,2019-01-31,10012494.599206349,7016254.253968254,281379.38095238095,10643902896.825397,12086745873.015873,12116075158.730158,AAP,0.3209303990702605,0.3209482385306481,0.36484760480077494,0.33704482822810244,0.12807194503453134,-0.03401935259551758,9.374869163937268,1.3718108346604745,-31.511601328310732,12788690000.0,-426.2896666666667,30.162004716981134,2.2638856434767214,159.1999969482422,152.02105238946965,162.1173865254386,-10.46074,-10.46074,-10.46129,4.84985,-10159000000.0,-7912000000.0,18687000000.0,-5808000000.0,72464000000.0,6386000000.0,17950000000.0,-7667000000.0,-13766000000.0,39999000000.0,50943000000.0,6099000000.0,-11.8419051023396,3470000000.0,148000000.0,5.28663623676818,3871000000.0,66078000000.0,1.32502934655015,-1.5908236767929846,-0.1537425466872484,-0.1401937513799956,-0.5436399636110665,22049000000.0,-2.7867795753286146,-0.08789612276400617,-0.08015014351954074,-0.310804302456253,-0.4525890178687883,0.052513695935107,0.04788584676529035,0.18569058703911812,0.06811534460082838,-0.5048910916916656,0.058582281546051634,0.053419629057187015,0.20714935516669342,0.07598688730541979,19.3150970975151,-8.47833703141422,-11.9154348784966,10.3269531183169,15770.625,-0.17116101240706383,0.04799591867134834,-0.05739086072514654
1204,2019-02-28,10012494.599206349,271161.21428571426,283946.6666666667,10913794801.587301,11761178253.968254,12112799603.174603,AAP,0.30306664003717165,0.31878732095827794,0.3020063314549134,0.47589854869377923,-0.0004970884749495585,-0.0893418207897313,9.526798687005787,1.3940424586122975,-32.02227966175906,12778800000.0,-425.96,30.13867924528302,2.262134891131174,161.77999877929688,153.9430587676445,162.6320886674238,-10.46074,-10.46074,-10.46129,4.84985,-10159000000.0,-7912000000.0,18687000000.0,-5808000000.0,72464000000.0,6386000000.0,17950000000.0,-7667000000.0,-13766000000.0,39999000000.0,50943000000.0,6099000000.0,-11.8419051023396,3470000000.0,148000000.0,5.28663623676818,3871000000.0,66078000000.0,1.32502934655015,-1.5908236767929846,-0.1537425466872484,-0.1401937513799956,-0.5436399636110665,22049000000.0,-2.7867795753286146,-0.08789612276400617,-0.08015014351954074,-0.310804302456253,-0.4525890178687883,0.052513695935107,0.04788584676529035,0.18569058703911812,0.06811534460082838,-0.5048910916916656,0.058582281546051634,0.053419629057187015,0.20714935516669342,0.07598688730541979,19.3150970975151,-8.47833703141422,-11.9154348784966,10.3269531183169,15770.625,-0.17676437286744928,-0.014412771189748486,-0.15401550430375976
1225,2019-03-29,10012494.599206349,269908.4603174603,262834.38095238095,11169950873.015873,11691634126.984127,11965811269.84127,AAP,0.30151625051144115,0.32841413997579144,0.2982044467942716,0.47259839405467874,0.00784220395224522,0.10280111817476878,10.042063176684891,1.4694403545505843,-33.754230144850844,13413990000.0,-447.133,31.636768867924527,2.3745778013807755,170.52999877929688,155.3191759698785,162.3287250038573,-10.46074,-10.46074,-10.46129,4.84985,-10159000000.0,-7912000000.0,18687000000.0,-5808000000.0,72464000000.0,6386000000.0,17950000000.0,-7667000000.0,-13766000000.0,39999000000.0,50943000000.0,6099000000.0,-11.8419051023396,3470000000.0,148000000.0,5.28663623676818,3871000000.0,66078000000.0,1.32502934655015,-1.5908236767929846,-0.1537425466872484,-0.1401937513799956,-0.5436399636110665,22049000000.0,-2.7867795753286146,-0.08789612276400617,-0.08015014351954074,-0.310804302456253,-0.4525890178687883,0.052513695935107,0.04788584676529035,0.18569058703911812,0.06811534460082838,-0.5048910916916656,0.058582281546051634,0.053419629057187015,0.20714935516669342,0.07598688730541979,19.3150970975151,-8.47833703141422,-11.9154348784966,10.3269531183169,15770.625,-0.4318596172618844,-0.09575939600413153,-0.05115676954958348
1845,2019-01-31,228131.10714285713,233027.77777777778,47442294.603174604,915173128571.4286,794520847619.0476,926187195238.0952,AAPL,0.3166363355420328,0.3785475936262374,0.46045044743115127,0.011791307134641604,-0.1192048328123817,-0.2130572448912148,2.7823805709698655,0.3560740551612941,5.695776719567325,791411600000.0,158.53597756410255,135.51568493150685,23.48053997923157,41.61000061035156,45.784468977783405,41.50572379618886,9.37155,9.37155,9.32934,2.20044,991122000.0,1239877000.0,10738809000.0,635363000.0,11868488000.0,196834000.0,880233000.0,3501567000.0,1834582000.0,1033369000.0,7076065000.0,1666985000.0,53.5088708568285,329932000.0,70884000.0,4.99125593779311,259638000.0,11671654000.0,0.28305098831466025,5.035319101374762,0.08491701347555368,0.08350869967598232,0.09229347500267487,153136000.0,0.12350902549204477,0.05443641492456853,0.05353360933591541,0.059165127157024586,0.09422410023855034,0.02826780163291338,0.02779899175025496,0.030723332540880464,0.04662647954760167,0.07414908810826695,0.02224517621924022,0.021876249106036083,0.024177541475968144,0.03669242721766971,18.0536857066381,5.30772655847318,8.87527983065304,13.6648676817602,29.51162,0.8875294715829911,0.2619982298218524,0.26249698693081247
1864,2019-02-28,228131.10714285713,42012762.222222224,41557438.73015873,908741194047.619,769302414285.7142,887940561111.1111,AAPL,0.30425631244689,0.36877292575589543,0.3952233901302618,-0.014594043362513465,-0.1993239247663896,-0.004165455447989075,2.8945516210907987,0.3704291010184246,5.925400683504626,823051100000.0,164.87401842948717,140.93340753424658,24.419258270286306,43.287498474121094,45.293409345133114,42.297125674209056,9.37155,9.37155,9.32934,2.20044,991122000.0,1239877000.0,10738809000.0,635363000.0,11868488000.0,196834000.0,880233000.0,3501567000.0,1834582000.0,1033369000.0,7076065000.0,1666985000.0,53.5088708568285,329932000.0,70884000.0,4.99125593779311,259638000.0,11671654000.0,0.28305098831466025,5.035319101374762,0.08491701347555368,0.08350869967598232,0.09229347500267487,153136000.0,0.12350902549204477,0.05443641492456853,0.05353360933591541,0.059165127157024586,0.09422410023855034,0.02826780163291338,0.02779899175025496,0.030723332540880464,0.04662647954760167,0.07414908810826695,0.02224517621924022,0.021876249106036083,0.024177541475968144,0.03669242721766971,18.0536857066381,5.30772655847318,8.87527983065304,13.6648676817602,29.51162,0.5994108118406489,0.0337084372977301,0.1961038743339234
1885,2019-03-29,228131.10714285713,40545916.79365079,36006129.96825397,908329908333.3334,799977257142.8572,852560765079.3651,AAPL,0.3018638815210968,0.3708593430096723,0.32299704812042973,0.15835185564595955,-0.13152047061922523,0.22167579989287223,3.175397579981608,0.4063702517370894,6.5003169588426335,902267700000.0,180.7427283653846,154.49789383561645,26.769550511793504,47.48749923706055,45.41046544804525,44.49517733866599,9.37155,9.37155,9.32934,2.20044,991122000.0,1239877000.0,10738809000.0,635363000.0,11868488000.0,196834000.0,880233000.0,3501567000.0,1834582000.0,1033369000.0,7076065000.0,1666985000.0,53.5088708568285,329932000.0,70884000.0,4.99125593779311,259638000.0,11671654000.0,0.28305098831466025,5.035319101374762,0.08491701347555368,0.08350869967598232,0.09229347500267487,153136000.0,0.12350902549204477,0.05443641492456853,0.05353360933591541,0.059165127157024586,0.09422410023855034,0.02826780163291338,0.02779899175025496,0.030723332540880464,0.04662647954760167,0.07414908810826695,0.02224517621924022,0.021876249106036083,0.024177541475968144,0.03669242721766971,18.0536857066381,5.30772655847318,8.87527983065304,13.6648676817602,29.51162,0.35901653040775305,0.04597086047058219,0.16081750254692184
2505,2019-01-31,26475386.86904762,20793103.515873015,2064060.9365079366,147388629761.90475,131367761904.7619,135512198412.69841,ABBV,0.3341120756559621,0.31489102335706226,0.3691606177021536,-0.276469619163048,-0.10935494451039052,-0.0010475214901047858,25.730923228824576,4.047169852150124,58.95295341202217,122894998000.0,86.12424962332247,71.26504252301277,9.747790675244014,80.29000091552734,90.72364639369324,86.3766378529718,5.15892,5.15892,5.10613,0.65523,99938000000.0,110935000000.0,347155000000.0,86802000000.0,329840000000.0,58495000000.0,61696000000.0,64280000000.0,64280000000.0,121791000000.0,222086000000.0,1666985000.0,3.88235943569773,21094000000.0,2093000000.0,1.2569618099678,19001000000.0,271345000000.0,1.5547293092719352,1.708487904949141,0.36830603106746024,0.30298932815910745,0.2878771730206968,60095000000.0,0.5417136160814892,0.3198953361956181,0.26316395828280376,0.25003816738920653,0.32815805849408836,0.07773867217011554,0.06395221925782198,0.06076248361682822,0.09498122348999936,0.29559738643434974,0.07002524461478929,0.05760671840892554,0.05473347640103124,0.08555694640814819,127.124675971354,26.8245197656308,39.0901394242894,47.9076766023009,189.46951,0.06742877653276125,-0.009709488059756133,-0.15694213278198788
2524,2019-02-28,26475386.86904762,1756873.6825396826,1857821.2857142857,142039008333.33334,126678139682.53969,131029352380.95238,ABBV,0.31966809752887804,0.3112397140344777,0.328069314338719,-0.30030266944260275,-0.17292454005715885,-0.06989931553026363,25.3944236945521,3.994242455870596,58.181988406580395,119007198000.0,83.39969725638599,69.01056319651512,9.439417989585857,79.23999786376953,88.84373335880522,82.91368588962966,5.15892,5.15892,5.10613,0.65523,99938000000.0,110935000000.0,347155000000.0,86802000000.0,329840000000.0,58495000000.0,61696000000.0,64280000000.0,64280000000.0,121791000000.0,222086000000.0,1666985000.0,3.88235943569773,21094000000.0,2093000000.0,1.2569618099678,19001000000.0,271345000000.0,1.5547293092719352,1.708487904949141,0.36830603106746024,0.30298932815910745,0.2878771730206968,60095000000.0,0.5417136160814892,0.3198953361956181,0.26316395828280376,0.25003816738920653,0.32815805849408836,0.07773867217011554,0.06395221925782198,0.06076248361682822,0.09498122348999936,0.29559738643434974,0.07002524461478929,0.05760671840892554,0.05473347640103124,0.08555694640814819,127.124675971354,26.8245197656308,39.0901394242894,47.9076766023009,189.46951,0.14418219654489284,-0.007584202080821223,-0.14226574893872013
2545,2019-03-29,26475386.86904762,1807625.7698412698,1758746.142857143,138714435714.2857,121952182539.68254,126931843650.79366,ABBV,0.2869208412817567,0.30626802776382056,0.26834440545584126,-0.10728811082692236,-0.1245366331671639,-0.09266566161341516,25.827064206453283,4.062291690677055,59.17322512651634,121246798000.0,84.96919864045692,70.3092750385914,9.617058677584213,80.58999633789062,87.11260464973725,81.15011647435405,5.15892,5.15892,5.10613,0.65523,99938000000.0,110935000000.0,347155000000.0,86802000000.0,329840000000.0,58495000000.0,61696000000.0,64280000000.0,64280000000.0,121791000000.0,222086000000.0,1666985000.0,3.88235943569773,21094000000.0,2093000000.0,1.2569618099678,19001000000.0,271345000000.0,1.5547293092719352,1.708487904949141,0.36830603106746024,0.30298932815910745,0.2878771730206968,60095000000.0,0.5417136160814892,0.3198953361956181,0.26316395828280376,0.25003816738920653,0.32815805849408836,0.07773867217011554,0.06395221925782198,0.06076248361682822,0.09498122348999936,0.29559738643434974,0.07002524461478929,0.05760671840892554,0.05473347640103124,0.08555694640814819,127.124675971354,26.8245197656308,39.0901394242894,47.9076766023009,189.46951,-0.012412108475602479,-0.08569061254871191,-0.04455970588143199
3165,2019-01-31,1837889.7063492064,1736870.9047619049,321773.34920634923,18854949047.61905,17256655873.015873,18206384603.174603,ABC,0.31022183984465623,0.2883870106430735,0.3142767968592385,-0.17223482456892103,0.02791049166992443,-0.02609903703136962,22.34449783083418,9.684160938959018,99.60631078147891,21189560000.0,8.496214915797916,7.207333333333334,3.0218996006845407,83.37000274658203,84.97676055857862,80.15845535756942,3.73261,3.73261,3.72214,0.89033,16287000000.0,21360000000.0,53729000000.0,6606000000.0,150501000000.0,4792000000.0,9777000000.0,13733000000.0,-99909000000.0,85530000000.0,118550000000.0,113642000000.0,7.7647872873874,4877000000.0,188000000.0,2.74760563380282,4689000000.0,145709000000.0,0.9635913493045948,2.7614774624373957,0.09081800026079377,0.08792632607092311,0.30313238660686037,75753000000.0,3.546488764044944,0.03489146174910266,0.03378050644181766,0.12295036200189842,0.3551299788829826,0.033470821980797344,0.03240510029833689,0.09716107181990238,0.041138760016870515,0.3414403262215102,0.032180579099437924,0.03115593916319493,0.09341567885247534,0.039552931252636016,161.683876092137,4.27554820024824,5.34670267697306,10.7379268736017,622.80638,0.046084810811387156,-0.0713903130351553,0.1107551745866251
