,Instrument,eps_basic,eps_excl_basic,eps_dil,eps_growth,ebit,ebitda,rev,net_inc,tot_assets,oth_assets,cash,book_val,tang_book,debt,lt_cap,intang,ocf,capex,cfo_ps,fcfe,noa,ebit_bv,ebit_nonop,ebit_op,ebit_tot,ebit_mgn,net_debt,nd_ebitda,ni_op,ni_tot,ni_mgn,ocf_bv,ocf_op,ocf_tot,ocf_mgn,ocf_ce,fcf_bv,fcf_op,fcf_tot,fcf_mgn,fcf_ce,12m_volume,6m_volume,3m_volume,12m_avg_mkt_cap,3m_avg_mkt_cap,6m_avg_mkt_cap,e_p,b_p,ebit_ev,rev_ev,90 days,1_yr,fwd_ret,Unnamed: 0,roe,roa,roce,roic,d_e,1yr_ret,3m_ret,6m_ret,1yr_vol,6mth_vol,3mth_vol
2019-08-14,A,3.38443,3.44418,3.40123,-0.12532,987000000.0,1205000000.0,5090000000.0,1072000000.0,8625000000.0,778000000.0,1765000000.0,4747000000.0,1129000000.0,1798000000.0,7003000000.0,3618000000.0,242000000.0,48000000.0,0.765822784810127,194000000.0,7847000000.0,0.2079207920792079,1.268637532133676,0.1257805530776092,0.1144347826086956,0.1939096267190569,33000000.0,0.0273858921161825,0.1366127182362686,0.1242898550724637,0.2106090373280943,0.0509795660417105,0.030839811392889,0.0280579710144927,0.0475442043222003,0.0345566185920319,0.0408679165788919,0.0247228240091754,0.0224927536231884,0.0381139489194499,0.0277024132514636,577598.123015873,550873.0555555555,617948.3650793651,22787.346984126983,22206.49349206349,23568.774523809523,0.0087082998992275,0.2164308880713788,0.0118819461389339,0.0579984650613096,-0.1351878188764111,-0.0086676989481359,xxx,95.0,34.8834711631404,19.1351478732179,22.6530896917283,18.5649144106529,37.87655,0.519328822156838,0.17724924836688527,0.30865637594386675,0.01728797826180606,0.016903556248723917,0.013462532984428018
2019-11-25,A,3.40109,3.40109,3.35842,0.01666,993000000.0,1231000000.0,5163000000.0,1071000000.0,9452000000.0,797000000.0,1382000000.0,4748000000.0,48000000.0,2407000000.0,7372000000.0,4700000000.0,314000000.0,30000000.0,1.00641025641026,884000000.0,8655000000.0,0.2091406908171861,1.245922208281054,0.1147313691507799,0.1050571307659754,0.1923300406740267,1025000000.0,0.8326563769293257,0.1237435008665511,0.1133093525179856,0.2074375363160953,0.0661331086773378,0.0362796071634893,0.0332204824375793,0.0608173542514042,0.0425935973955507,0.1861836562763268,0.1021374927787406,0.0935251798561151,0.1712182839434437,0.1199131850244167,547434.123015873,530582.1349206349,485702.873015873,23271.079682539683,23437.458253968256,22875.61341269841,0.0082756820426673,0.2025409192710544,0.011403032089247,0.0558707701290347,0.2262948886586244,0.2933124194188523,xxx,94.0,22.9951690821256,11.9046295781693,14.5299145299145,17.1125972738189,50.69503,0.4411257690879422,-0.033223135274729865,0.08515015031210371,0.01643588473342516,0.01424283983351865,0.012497984463371902
2020-02-18,A,2.45166,2.45166,2.42259,-0.94943,952000000.0,1215000000.0,5236000000.0,764000000.0,9501000000.0,796000000.0,1226000000.0,4848000000.0,200000000.0,2861000000.0,7609000000.0,4648000000.0,-59000000.0,34000000.0,-0.188498402555911,-37000000.0,8705000000.0,0.1963696369636963,1.1959798994974875,0.1093624353819643,0.1001999789495842,0.1818181818181818,1635000000.0,1.345679012345679,0.0877656519241815,0.0804125881486159,0.1459129106187929,-0.0121699669966996,-0.0067777139574956,-0.0062098726449847,-0.0112681436210847,-0.0077539755552635,-0.0076320132013201,-0.004250430786904,-0.0038943269129565,-0.0070664629488158,-0.0048626626363516,531218.3253968254,502261.7301587302,533608.3968253968,24107.793293650797,26316.54031746032,24827.975714285712,0.0076782026192144,0.1889539405987394,0.0106258063962433,0.0497214457920768,0.0586724729307239,0.0885154982476066,xxx,93.0,15.4593282072036,8.28049639624993,9.87973619552567,11.437112192266,59.01403,0.5470638636502776,-0.010815915302938683,0.1553654259127677,0.015112080633687894,0.011773046772858701,0.010722620771609863
2020-05-21,A,2.20439,2.20439,2.17933,-0.24727,829000000.0,1115000000.0,5236000000.0,683000000.0,9455000000.0,819000000.0,1324000000.0,4768000000.0,265000000.0,2887000000.0,7510000000.0,4503000000.0,313000000.0,33000000.0,1.00320512820513,305000000.0,8636000000.0,0.1738674496644295,1.0122100122100122,0.0959935155164427,0.0876784769962982,0.1583269671504965,1563000000.0,1.4017937219730945,0.0790875405280222,0.0722369116869381,0.1304430863254392,0.0656459731543624,0.036243631310792,0.0331041776837652,0.0597784568372803,0.0416777629826897,0.0639681208053691,0.0353172765169059,0.032258064516129,0.0582505729564553,0.040612516644474,584664.8174603175,630458.6984126985,716938.1904761905,23899.239722222224,23335.141746031743,24863.319047619047,0.0042548040942899,0.200860454669056,0.0105925197950042,0.0489311175605048,-0.0452234596901819,0.0719636939848629,xxx,92.0,13.8077428484787,7.39297505006224,8.86207343973012,10.3275429965866,60.5495,0.6499951838001903,0.2134404463793087,0.3172001596443996,0.02263519952914787,0.028717871233054776,0.039404692291374895
2020-08-18,A,2.23622,2.23622,2.21272,0.03183,825000000.0,1133000000.0,5223000000.0,691000000.0,9546000000.0,840000000.0,1358000000.0,4981000000.0,499000000.0,2722000000.0,8232000000.0,4482000000.0,290000000.0,25000000.0,0.92948717948718,104000000.0,8706000000.0,0.1656293916884159,0.9821428571428572,0.094762232942798,0.0864236329352608,0.1579551981619758,1364000000.0,1.203883495145631,0.0793705490466345,0.0723863398282003,0.1322994447635458,0.0582212407147159,0.0333103606708017,0.030379216425728,0.0555236454145127,0.0352283770651117,0.0208793414976912,0.0119457845164254,0.0108946155457783,0.0199119280107218,0.0126336248785228,551625.7301587302,596475.9761904762,474479.9523809524,25384.648293650796,28275.17238095238,25805.157063492064,0.0066903065214634,0.1674593808211538,0.0081649640183764,0.0405355103431995,0.2144334124409634,0.5053309323273925,xxx,91.0,14.2064144736842,7.60552528754609,9.07121759107319,10.6981466781861,54.64766,,0.1288455019317878,0.30921698165682243,0.022536349643860972,0.0296904671735048,0.014816111098304831
2020-11-23,A,2.3248,2.3248,2.30247,0.08858,856000000.0,1164000000.0,5339000000.0,719000000.0,9627000000.0,817000000.0,1441000000.0,4873000000.0,440000000.0,2359000000.0,8160000000.0,4433000000.0,377000000.0,27000000.0,1.20833333333333,385000000.0,8810000000.0,0.1756618099733224,1.047735618115055,0.0971623155505107,0.0889165887607769,0.1603296497471436,918000000.0,0.788659793814433,0.0816118047673098,0.0746857795782694,0.1346694137478928,0.0773650728504001,0.0427922814982973,0.0391606938817907,0.0706124742461135,0.0462009803921568,0.0790067720090293,0.0437003405221339,0.0399916900384335,0.0721108821876756,0.0471813725490196,525184.626984127,417164.3571428572,380162.0476190476,27604.83734126984,31911.165555555555,30269.75904761905,0.0070531427472274,0.1548196603929697,0.0101255410773919,0.0457810287127201,0.1487054899771176,0.4100865315424287,xxx,90.0,14.9464712607837,7.53708265632371,9.25830543394283,10.9210495685353,48.4096,,0.08992275963148355,0.19162038129471104,0.02293407571830889,0.014493060279089413,0.015729301462948948
2021-02-16,A,2.6305,2.6305,2.60512,0.3057,965000000.0,1270000000.0,5530000000.0,810000000.0,9674000000.0,894000000.0,1329000000.0,4804000000.0,399000000.0,2499000000.0,7987000000.0,4405000000.0,238000000.0,41000000.0,0.770226537216828,331000000.0,8780000000.0,0.2008742714404662,1.0794183445190155,0.1099088838268792,0.0997519123423609,0.174502712477396,1170000000.0,0.9212598425196852,0.092255125284738,0.0837295844531734,0.1464737793851717,0.049542048293089,0.0271070615034168,0.024602026049204,0.0430379746835443,0.0297984224364592,0.0689009159034138,0.0376993166287015,0.0342154227827165,0.0598553345388788,0.0414423438086891,534532.2857142857,465500.6111111111,567466.5873015873,30191.721984126987,36978.81238095238,34383.12920634921,0.0078477025939421,0.1309040391017293,0.0093745118578191,0.0408781531152225,0.1421426305435305,0.5212636406531557,xxx,89.0,16.7840861997513,8.44850065189048,10.3872787894332,11.6727057643371,52.01915,,0.018428947902976223,,0.023181983916219912,0.013986171820451056,0.013572103199664752
2021-05-25,A,3.01417,3.01417,2.98498,0.38367,1151000000.0,1457000000.0,5817000000.0,925000000.0,10398000000.0,835000000.0,1380000000.0,4810000000.0,-249000000.0,2932000000.0,8640000000.0,5059000000.0,472000000.0,31000000.0,1.53745928338762,868000000.0,9563000000.0,0.2392931392931393,1.378443113772455,0.1203597197532155,0.110694364300827,0.197868317001891,1552000000.0,1.0652024708304737,0.0967269685245215,0.0889594152721677,0.1590166752621626,0.0981288981288981,0.0493568963714315,0.0453933448740142,0.0811414818635035,0.0546296296296296,0.1804573804573804,0.090766495869497,0.0834775918445855,0.1492178098676293,0.1004629629629629,466554.6111111111,518264.27777777775,466305.7460317461,34386.92642857142,39084.25317460317,38206.85880952381,0.0053045478566987,0.1181244221792642,0.0076173757337921,0.0360760807268106,0.0428505882336762,0.661593698143081,xxx,88.0,19.3150970975151,9.31849090817509,11.4551083591331,12.8615558509213,60.95634,,,,0.013934890353338317,0.013432703198190508,0.013578107434241265
2019-07-25,AAL,3.40817,3.40817,3.40318,0.28813,3429000000.0,5654000000.0,45041000000.0,1543000000.0,61967000000.0,2060000000.0,5407000000.0,-22000000.0,-6218000000.0,25291000000.0,41844000000.0,6196000000.0,736000000.0,1018000000.0,1.65175375403681,1153000000.0,59907000000.0,-155.86363636363637,1.6645631067961164,0.0572387200160248,0.0553359045943808,0.0761306365311604,19884000000.0,3.516802263883976,0.0257565893802059,0.0249003501863895,0.0342576763393352,-33.45454545454545,0.0122857095164171,0.0118772895250697,0.0163406673919317,0.0175891406175317,-52.40909090909091,0.0192464987397132,0.0186066777478335,0.0255988987811105,0.0275547270815409,2286570.515873016,2063777.880952381,1950756.3333333333,15662.422976190475,14240.172698412698,14747.62523809524,0.0456360584583814,-0.0015166061723329,0.0381505440880926,0.3477747769006002,-0.0392800951843614,-0.1615806482984521,xxx,167.0,,2.69310317744286,3.96673393575588,9.91100355312951,,-0.6365806349961176,-0.10358349292716684,-0.1213409935127685,0.026160727676737276,0.02129110484195815,0.024282611092458873
2019-10-24,AAL,3.56212,3.56212,3.5578,0.15395,3577000000.0,5841000000.0,45393000000.0,1596000000.0,61175000000.0,1931000000.0,5168000000.0,160000000.0,-6026000000.0,25233000000.0,41615000000.0,6186000000.0,828000000.0,806000000.0,1.8716051726827,63000000.0,59244000000.0,22.35625,1.8524080787156916,0.0603774221862129,0.0584715978749489,0.078800696142577,20065000000.0,3.4351994521486047,0.026939436905003,0.0260890886800163,0.0351596061066684,5.175,0.0139760988454527,0.0135349407437678,0.0182406979049633,0.0198966718731226,0.39375,0.0010633988251974,0.0010298324478953,0.0013878791884211,0.0015138772077375,2305854.071428572,2110473.6666666665,2267848.6825396824,14382.903492063491,12230.536349206348,13213.997936507936,0.0353902669014083,0.0133233945981772,0.0338280738138683,0.3713605411953785,-0.0680944779265737,-0.0805919529871017,xxx,166.0,,2.80467445742905,4.09745577777207,9.97819293552811,15770.625,-0.5685971586964482,-0.10932892467599709,-0.6569320209149134,0.02571041632262426,0.023344294829941502,0.02253670365750921
