,date,12m_volume,6m_volume,3m_volume,12m_avg_mkt_cap,3m_avg_mkt_cap,6m_avg_mkt_cap,Instrument,1yr_vol,6mth_vol,3mth_vol,1yr_mom,6m_mom,3m_mom,p_e,p_b,p_cf,ev,ev_ebit,ev_ebitda,ev_sales,close,200_ma,50_ma,eps_basic,eps_excl_basic,eps_dil,eps_growth,ebit,ebitda,rev,net_inc,tot_assets,oth_assets,cash,book_val,tang_book,debt,lt_cap,intang,bvps,ocf,capex,cfo_ps,fcfe,noa,ebit_bv,ebit_nonop,ebit_op,ebit_tot,ebit_mgn,net_debt,nd_ebitda,ni_op,ni_tot,ni_mgn,ocf_bv,ocf_op,ocf_tot,ocf_mgn,ocf_ce,fcf_bv,fcf_op,fcf_tot,fcf_mgn,fcf_ce,roe,roa,roce,roic,d_e,1yr_ret,3m_ret,6m_ret
586,2019-04-30,478135.02777777775,2450361.0714285714,2083571.6666666667,16834.43373015873,15234.910476190476,15560.65253968254,AAL,0.3987088538371671,0.42554839915199805,0.26373860463121807,-0.20419247264888418,0.061717037600447666,-0.05557516236682891,11.21369011934666,4.171629616622201,31.785558405428898,-227184795.54999995,-0.15217683404782634,-0.13483577396284643,-0.056000984901893106,34.18000030517578,36.15005942539023,33.50521519872694,3.01417,3.01417,2.98498,0.38367,1151000000.0,1457000000.0,5817000000.0,925000000.0,10398000000.0,835000000.0,1380000000.0,4810000000.0,-249000000.0,2932000000.0,8640000000.0,5059000000.0,15.8745874587459,472000000.0,31000000.0,1.53745928338762,868000000.0,9563000000.0,0.2392931392931393,1.378443113772455,0.12035971975321552,0.11069436430082709,0.197868317001891,1552000000.0,1.0652024708304735,0.09672696852452159,0.08895941527216772,0.15901667526216262,0.09812889812889813,0.049356896371431556,0.04539334487401423,0.08114148186350352,0.05462962962962963,0.18045738045738047,0.09076649586949702,0.0834775918445855,0.14921780986762936,0.10046296296296296,19.3150970975151,9.31849090817509,11.4551083591331,12.8615558509213,60.95634,-0.625531482577528,-0.09892822981876126,-0.07661978833780225
608,2019-05-31,478135.02777777775,2265595.587301587,1997050.761904762,16249.106666666667,14435.356507936509,14986.866587301587,AAL,0.4001827375524815,0.4125129999868951,0.29100299538638436,-0.3641969608314606,-0.28485156215911467,-0.2116458598663562,8.933551026632129,3.3233900391101194,25.32243221479701,-227187887.14999998,-0.15217890491660524,-0.13483760884918986,-0.05600174698037862,27.229999542236328,35.240513290276866,32.10770788561498,3.01417,3.01417,2.98498,0.38367,1151000000.0,1457000000.0,5817000000.0,925000000.0,10398000000.0,835000000.0,1380000000.0,4810000000.0,-249000000.0,2932000000.0,8640000000.0,5059000000.0,15.8745874587459,472000000.0,31000000.0,1.53745928338762,868000000.0,9563000000.0,0.2392931392931393,1.378443113772455,0.12035971975321552,0.11069436430082709,0.197868317001891,1552000000.0,1.0652024708304735,0.09672696852452159,0.08895941527216772,0.15901667526216262,0.09812889812889813,0.049356896371431556,0.04539334487401423,0.08114148186350352,0.05462962962962963,0.18045738045738047,0.09076649586949702,0.0834775918445855,0.14921780986762936,0.10046296296296296,19.3150970975151,9.31849090817509,11.4551083591331,12.8615558509213,60.95634,-0.5877137798345076,-0.030019015235191904,0.07036373140281338
628,2019-06-28,478135.02777777775,2187840.26984127,1934506.253968254,15885.09138888889,14371.43619047619,14849.010873015872,AAL,0.41230362527881836,0.36535865744138324,0.34378433008939874,-0.13827494373421467,0.023510356523561704,0.02972650693414014,10.698608495354934,3.9800129645876843,30.32554329276712,-227185493.92999995,-0.15217730184875072,-0.13483618845628817,-0.056001157052356525,32.61000061035156,34.54952530193175,31.81385102244204,3.01417,3.01417,2.98498,0.38367,1151000000.0,1457000000.0,5817000000.0,925000000.0,10398000000.0,835000000.0,1380000000.0,4810000000.0,-249000000.0,2932000000.0,8640000000.0,5059000000.0,15.8745874587459,472000000.0,31000000.0,1.53745928338762,868000000.0,9563000000.0,0.2392931392931393,1.378443113772455,0.12035971975321552,0.11069436430082709,0.197868317001891,1552000000.0,1.0652024708304735,0.09672696852452159,0.08895941527216772,0.15901667526216262,0.09812889812889813,0.049356896371431556,0.04539334487401423,0.08114148186350352,0.05462962962962963,0.18045738045738047,0.09076649586949702,0.0834775918445855,0.14921780986762936,0.10046296296296296,19.3150970975151,9.31849090817509,11.4551083591331,12.8615558509213,60.95634,-0.5872512312988326,-0.16881306173244037,-0.12197033582252748
1246,2019-04-30,10012494.599206349,251224.07936507938,222548.4126984127,11538.810039682541,11967.969047619046,12027.35746031746,AAP,0.28649053034945554,0.31639511911281887,0.26516449310909146,0.4317989291169195,0.020069845342455928,0.07073048407676863,9.794147851124409,1.4331632691070348,-32.920916232344005,1184011928.0599995,-39.46706426866665,2.792480962405659,0.20959673005133642,166.32000732421875,158.92729787309668,168.91569176515569,-10.46074,-10.46074,-10.46129,4.84985,-10159000000.0,-7912000000.0,18687000000.0,-5808000000.0,72464000000.0,6386000000.0,17950000000.0,-7667000000.0,-13766000000.0,39999000000.0,50943000000.0,6099000000.0,-11.8419051023396,3470000000.0,148000000.0,5.28663623676818,3871000000.0,66078000000.0,1.32502934655015,-1.5908236767929846,-0.1537425466872484,-0.1401937513799956,-0.5436399636110665,22049000000.0,-2.7867795753286146,-0.08789612276400617,-0.08015014351954074,-0.310804302456253,-0.4525890178687883,0.052513695935107,0.04788584676529035,0.18569058703911812,0.06811534460082838,-0.5048910916916656,0.058582281546051634,0.053419629057187015,0.20714935516669342,0.07598688730541979,19.3150970975151,-8.47833703141422,-11.9154348784966,10.3269531183169,15770.625,-0.2459816758194412,-0.0869451159584329,0.001322564267382198
1268,2019-05-31,10012494.599206349,255038.69047619047,224272.50793650793,11731.617857142857,11844.540158730159,11765.945952380955,AAP,0.28313860887705083,0.2788236071676244,0.25623027822468036,0.20779666159365795,-0.13473379899621007,-0.03463665489730117,9.127542388601288,1.335619870906796,-30.680265700483066,1184011119.2199993,-39.467037307333314,2.7924790547641494,0.20959658686847218,155.0,158.9761729733264,163.0391206219295,-10.46074,-10.46074,-10.46129,4.84985,-10159000000.0,-7912000000.0,18687000000.0,-5808000000.0,72464000000.0,6386000000.0,17950000000.0,-7667000000.0,-13766000000.0,39999000000.0,50943000000.0,6099000000.0,-11.8419051023396,3470000000.0,148000000.0,5.28663623676818,3871000000.0,66078000000.0,1.32502934655015,-1.5908236767929846,-0.1537425466872484,-0.1401937513799956,-0.5436399636110665,22049000000.0,-2.7867795753286146,-0.08789612276400617,-0.08015014351954074,-0.310804302456253,-0.4525890178687883,0.052513695935107,0.04788584676529035,0.18569058703911812,0.06811534460082838,-0.5048910916916656,0.058582281546051634,0.053419629057187015,0.20714935516669342,0.07598688730541979,19.3150970975151,-8.47833703141422,-11.9154348784966,10.3269531183169,15770.625,-0.0945311338727991,-0.10887821455086233,0.025187010557038647
1288,2019-06-28,10012494.599206349,240958.74603174604,219083.11111111112,11797.191746031745,11630.985873015872,11673.228253968255,AAP,0.28444573504575493,0.26520834328574217,0.22704381443183688,0.14876070070978709,-0.0028024508143279503,-0.09575939600413153,9.076899214245115,1.3282093295895216,-30.510039589333623,1184011057.5300007,-39.46703525100002,2.7924789092688695,0.2095965759479555,154.13999938964844,157.8948965516887,157.47802169341085,-10.46074,-10.46074,-10.46129,4.84985,-10159000000.0,-7912000000.0,18687000000.0,-5808000000.0,72464000000.0,6386000000.0,17950000000.0,-7667000000.0,-13766000000.0,39999000000.0,50943000000.0,6099000000.0,-11.8419051023396,3470000000.0,148000000.0,5.28663623676818,3871000000.0,66078000000.0,1.32502934655015,-1.5908236767929846,-0.1537425466872484,-0.1401937513799956,-0.5436399636110665,22049000000.0,-2.7867795753286146,-0.08789612276400617,-0.08015014351954074,-0.310804302456253,-0.4525890178687883,0.052513695935107,0.04788584676529035,0.18569058703911812,0.06811534460082838,-0.5048910916916656,0.058582281546051634,0.053419629057187015,0.20714935516669342,0.07598688730541979,19.3150970975151,-8.47833703141422,-11.9154348784966,10.3269531183169,15770.625,-0.06899613593906251,0.04932606018514063,0.028104371445015763
1906,2019-04-30,228131.10714285713,39296909.96825397,31270510.53968254,914596.7857142857,872879.1936507937,833700.0206349206,AAPL,0.29635468912084595,0.35239021676384524,0.21796084521626538,0.2550861987604227,-0.0799189868186514,0.3028874152431955,3.3546040368413883,0.4293041273078589,6.867168271573834,6601923296.7,1.3225006603966345,1.130466317928082,0.1958737070672007,50.16749954223633,46.31462338311675,47.81682235820942,9.37155,9.37155,9.32934,2.20044,991122000.0,1239877000.0,10738809000.0,635363000.0,11868488000.0,196834000.0,880233000.0,3501567000.0,1834582000.0,1033369000.0,7076065000.0,1666985000.0,53.5088708568285,329932000.0,70884000.0,4.99125593779311,259638000.0,11671654000.0,0.28305098831466025,5.035319101374762,0.08491701347555368,0.08350869967598232,0.09229347500267487,153136000.0,0.12350902549204477,0.05443641492456853,0.05353360933591541,0.059165127157024586,0.09422410023855034,0.02826780163291338,0.02779899175025496,0.030723332540880464,0.04662647954760167,0.07414908810826695,0.02224517621924022,0.021876249106036083,0.024177541475968144,0.03669242721766971,18.0536857066381,5.30772655847318,8.87527983065304,13.6648676817602,29.51162,0.4526143465564456,0.04442130894006491,0.25060546658720284
1928,2019-05-31,228131.10714285713,38151192.06349207,34821516.38095238,909742.9186507936,896914.7619047619,832916.857936508,AAPL,0.3053710823709436,0.33221776144011417,0.2567367468022677,-0.05208025417491802,0.012958764941385814,0.0044246741850690885,2.9266485207481394,0.3745366890810852,5.991105848263897,6601805509.5,1.322477065204327,1.1304461488869864,0.19587021241655542,43.76750183105469,46.5760612844006,47.406993480409106,9.37155,9.37155,9.32934,2.20044,991122000.0,1239877000.0,10738809000.0,635363000.0,11868488000.0,196834000.0,880233000.0,3501567000.0,1834582000.0,1033369000.0,7076065000.0,1666985000.0,53.5088708568285,329932000.0,70884000.0,4.99125593779311,259638000.0,11671654000.0,0.28305098831466025,5.035319101374762,0.08491701347555368,0.08350869967598232,0.09229347500267487,153136000.0,0.12350902549204477,0.05443641492456853,0.05353360933591541,0.059165127157024586,0.09422410023855034,0.02826780163291338,0.02779899175025496,0.030723332540880464,0.04662647954760167,0.07414908810826695,0.02224517621924022,0.021876249106036083,0.024177541475968144,0.03669242721766971,18.0536857066381,5.30772655847318,8.87527983065304,13.6648676817602,29.51162,0.8603477529989951,0.19840121667288657,0.5403257750336103
1948,2019-06-28,228131.10714285713,35031149.23809524,34056168.50793651,907465.8468253969,901242.5666666667,853724.7293650794,AAPL,0.3100912807979592,0.2918164217331064,0.2579336940436435,0.09107699827744797,0.27783728763003435,0.04597086047058219,3.308632236445262,0.4234209043005877,6.773059969789085,6601910643.7,1.3224981257411859,1.1304641513184932,0.195873331662958,49.47999954223633,46.893918846114865,48.050066448121264,9.37155,9.37155,9.32934,2.20044,991122000.0,1239877000.0,10738809000.0,635363000.0,11868488000.0,196834000.0,880233000.0,3501567000.0,1834582000.0,1033369000.0,7076065000.0,1666985000.0,53.5088708568285,329932000.0,70884000.0,4.99125593779311,259638000.0,11671654000.0,0.28305098831466025,5.035319101374762,0.08491701347555368,0.08350869967598232,0.09229347500267487,153136000.0,0.12350902549204477,0.05443641492456853,0.05353360933591541,0.059165127157024586,0.09422410023855034,0.02826780163291338,0.02779899175025496,0.030723332540880464,0.04662647954760167,0.07414908810826695,0.02224517621924022,0.021876249106036083,0.024177541475968144,0.03669242721766971,18.0536857066381,5.30772655847318,8.87527983065304,13.6648676817602,29.51162,0.8497255641421511,0.10979908371890024,0.47420394044384917
2566,2019-04-30,26475386.86904762,1845867.7142857143,1666857.5238095238,135712.848015873,118458.18412698412,124912.97301587302,ABBV,0.2759865183980991,0.2846247088273522,0.16996630448002784,-0.1578965729916998,-0.0036795792672741356,0.03837138150047248,25.442495405880855,4.001803567421115,58.292127064769915,2121615364.8000002,1.4868182941238306,1.2302942483464563,0.16828237768840576,79.38999938964844,85.8960509446,80.74208041995895,5.15892,5.15892,5.10613,0.65523,99938000000.0,110935000000.0,347155000000.0,86802000000.0,329840000000.0,58495000000.0,61696000000.0,64280000000.0,64280000000.0,121791000000.0,222086000000.0,1666985000.0,3.88235943569773,21094000000.0,2093000000.0,1.2569618099678,19001000000.0,271345000000.0,1.5547293092719352,1.708487904949141,0.36830603106746024,0.30298932815910745,0.2878771730206968,60095000000.0,0.5417136160814892,0.3198953361956181,0.26316395828280376,0.25003816738920653,0.32815805849408836,0.07773867217011554,0.06395221925782198,0.06076248361682822,0.09498122348999936,0.29559738643434974,0.07002524461478929,0.05760671840892554,0.05473347640103124,0.08555694640814819,127.124675971354,26.8245197656308,39.0901394242894,47.9076766023009,189.46951,0.11786100173857883,-0.14089433241459326,0.016299569049207374
