Date,Instrument,e_p,b_p,ebit_ev,rev_ev,90_days,1_yr,fwd_ret,Timeframe,quartiles,GICS Sector,x0_Communication Services,x0_Consumer Discretionary,x0_Consumer Staples,x0_Energy,x0_Financials,x0_Health Care,x0_Industrials,x0_Information Technology,x0_Materials,x0_Real Estate,x0_Utilities
2016-07-19,DFS,0.0272507261798249,0.4905583382238591,0.0244585652511018,0.060356548548376,0.0897105001286331,-0.021879592605237,-0.0094675976223822,3-2016,1.0,Financials,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-19,CMA,0.0142990807166059,1.068127446927824,0.0166328711960792,0.0490627909150678,0.0810351861317459,-0.0723104420508514,0.1230071607744336,3-2016,1.0,Financials,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-19,CTAS,0.0130844489834859,0.1865145604018141,0.0173414177170563,0.1059566432383701,0.0768210279810872,0.133412751012387,0.1643401039489116,3-2016,1.0,Industrials,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-07-19,IEX,0.01215748601916,0.2402210370604323,0.0165835462400582,0.0793723032997393,0.0400368832067525,0.1679243324402923,0.0020616377491278,3-2016,1.0,Industrials,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-07-19,UAL,0.0426794736181869,0.5649949364693321,0.0730965827083199,0.4581824490509502,-0.1757106097673733,-0.1615560061329264,0.1082549732572575,3-2016,1.0,Industrials,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-07-19,ISRG,0.0073291342389967,0.2058314854165951,0.0108657329949117,0.0291478289827477,0.077263425959327,0.2219029109467021,0.0741628269316023,3-2016,1.0,Health Care,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-07-19,RF,0.024026578830037,1.5366806112724494,0.0209060403682231,0.0636805475154827,-0.0045533858973278,-0.1476520078923456,0.161915476331798,3-2016,1.0,Financials,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-19,GPC,0.0126923308667254,0.2147313910215183,0.0191953267167558,0.249472842997468,0.0365583812194878,0.1680941700285487,-0.0703819137347206,3-2016,0.0,Consumer Discretionary,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-19,PM,0.0112994989574009,-0.0795717941161669,0.0148244590804001,0.0358037880223685,0.0163525729589377,0.2218354363755028,-0.0233320221950752,3-2016,0.0,Consumer Staples,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-19,JNJ,0.0119804938607619,0.2172285042709535,0.0180059138618213,0.0582505338691022,0.1194910643382445,0.2874246117000922,-0.0724159282103497,3-2016,0.0,Health Care,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-07-19,GWW,0.0124630163730656,0.1554073980455431,0.0189695679208053,0.1623090081315087,-0.0491356544624042,-0.0092246907107553,-0.0493984919136301,3-2016,0.0,Industrials,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-07-19,GS,0.0264747241933611,1.2202190659279208,0.0085263692175483,0.0300151908260857,-0.0035553217100688,-0.2314360164411143,0.0736946056296481,3-2016,1.0,Financials,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
