Instrument,Original Announcement Date Time,ebit_ev,rev_ev
SHW,2021-04-27T11:00:23Z,0.009461145755002485,0.06238648156817953
SHW,2021-01-28T12:00:15Z,0.007894314277663772,0.05999999649437375
SHW,2020-10-27T11:00:11Z,0.013461143717478322,0.07219209543468481
SHW,2020-07-28T11:00:19Z,0.013842616076972488,0.07513723699408316
SHW,2020-04-29T11:00:18Z,0.010088552164194416,0.08090156499567779
SHW,2020-01-30T12:03:10Z,0.007721743853673369,0.06594742326431942
SHW,2019-10-22T11:56:07Z,0.013067075767173426,0.08184124458860188
SHW,2019-07-23T11:00:10Z,0.014859920801656623,0.09449900759094856
SHW,2019-04-23T11:00:14Z,0.008549235868281175,0.08137802532752249
SHW,2019-01-31T12:00:08Z,0.006226758332189884,0.08830203588901098
SHW,2018-10-25T11:00:09Z,0.013017483938888975,0.09099332489120722
SHW,2018-07-24T11:29:55Z,0.013915389139717613,0.09874178791692599
SHW,2018-04-24T17:00:00Z,0.008970112990065272,0.08345547083183569
SHW,2018-01-25T17:00:00Z,0.00783129973062878,0.08178157353932787
SHW,2017-10-24T16:00:00Z,0.012517239641453856,0.10200104035861511
SHW,2017-07-20T17:00:00Z,0.01348770609385164,0.08475569839128845
SHW,2017-04-20T17:00:00Z,0.011617037885243342,0.0925898356105767
SHW,2017-01-26T12:00:00Z,0.013766821125327466,0.10689620958180739
SHW,2016-10-25T16:00:00Z,0.02151963512925236,0.12162821492750892
SHW,2016-07-21T17:00:00Z,0.020287398510093427,0.1123716325702773
DTE,2021-04-27T14:18:43Z,0.013184608316813267,0.0841409632110144
DTE,2021-02-19T18:45:54Z,0.012213398255634167,0.07707802968238991
DTE,2020-10-27T15:56:50Z,0.0164475699803774,0.07978407653701533
DTE,2020-07-28T15:00:04Z,0.011447086453179623,0.06585261538655449
DTE,2020-04-28T00:00:00Z,0.01563770973997307,0.08246834294448954
DTE,2020-02-05T20:18:55Z,0.012784386285853756,0.07581164611500754
DTE,2019-10-28T14:34:20Z,0.010704510804487876,0.07649627210631707
DTE,2019-07-24T15:08:00Z,0.007199609532899233,0.07383484452624357
DTE,2019-04-24T15:10:52Z,0.019544834361569355,0.09488659069972204
DTE,2019-02-07T17:59:26Z,0.013278670855315765,0.10732392105619641
DTE,2018-10-24T16:04:36Z,0.014940837377965456,0.10476267628928441
DTE,2018-07-25T17:17:27Z,0.011943670250692226,0.09798747557092459
DTE,2018-04-25T23:00:00Z,0.018220515572286326,0.11666755511379906
DTE,2018-02-16T23:00:00Z,0.007857280072184362,0.10132554224361301
DTE,2017-10-25T17:00:00Z,0.014578301848922452,0.10006298247792304
DTE,2017-07-26T17:00:00Z,0.010984820246374519,0.08939807601084046
DTE,2017-04-26T12:15:00Z,0.02084475249953928,0.1042564858140222
DTE,2017-02-09T12:00:00Z,0.01021633773654607,0.09794285751364165
DTE,2016-10-26T17:00:00Z,0.02118987578926226,0.10831214385732639
DTE,2016-07-26T17:00:00Z,0.01183643247949938,0.08274576797976183
LOW,2021-05-19T10:01:49Z,0.02096653886635836,0.1552591910837489
LOW,2021-02-24T11:04:02Z,0.011690424719859326,0.14576072221305267
LOW,2020-11-18T13:47:21Z,0.018453091495519047,0.16955107832517893
LOW,2020-08-19T12:51:39Z,0.03440940901094512,0.22469401693777175
LOW,2020-05-20T10:04:19Z,0.02467508087633401,0.20773736253396308
LOW,2020-02-26T11:02:48Z,-0.0014858136741453271,0.14883209847204476
LOW,2019-11-20T11:02:49Z,0.015418320602175802,0.16682872347892522
LOW,2019-08-21T10:03:46Z,0.025470944191254723,0.22465800859782317
LOW,2019-05-22T10:02:18Z,0.013547181183180938,0.1705752600218687
LOW,2019-02-27T11:24:58Z,0.0005230172698303322,0.16701329022520833
LOW,2018-11-20T11:00:08Z,0.013349365933138136,0.18900748595577288
LOW,2018-08-22T10:00:05Z,0.025642369543250772,0.22401414262627442
LOW,2018-05-23T17:00:00Z,0.017430978308806248,0.2071196327452953
LOW,2018-04-02T23:00:00Z,0.010893365220078789,0.15399799335757366
LOW,2017-11-21T17:00:00Z,0.01929583908040702,0.20917338162794163
LOW,2017-08-23T11:00:00Z,0.02952679166112475,0.24206257503516695
LOW,2017-05-24T11:00:00Z,0.017684174567918022,0.1919865957598827
LOW,2017-03-01T11:00:00Z,0.016051100258423587,0.2001189308680552
LOW,2016-11-16T11:00:00Z,0.01288023029636598,0.21589131483972754
LOW,2016-08-17T17:00:00Z,0.023647368222382174,0.21053190821096954
WBA,2021-07-01T11:00:00Z,0.023630466166440676,0.5515396184115063
WBA,2021-03-31T11:00:01Z,0.02522281196573702,0.5612889025287806
WBA,2021-01-07T12:00:17Z,-0.0030401312588735547,0.7309804345425308
WBA,2020-10-15T11:00:00Z,0.02111714692327691,0.6987965590439804
WBA,2020-07-09T11:00:00Z,0.01967987577490833,0.5517633869153431
WBA,2020-04-02T11:00:00Z,0.02659912239229786,0.5398381472053405
WBA,2020-01-08T12:00:01Z,0.019066300610375515,0.4842586513755065
WBA,2019-10-28T11:00:00Z,0.01939829739904506,0.5416527877361644
WBA,2019-06-27T11:00:00Z,0.021010132826358836,0.5581885595979866
WBA,2019-04-02T11:00:00Z,0.02265087420355378,0.4060692546730555
WBA,2018-12-20T12:07:30Z,0.015741197004508555,0.3536850201950516
WBA,2018-10-11T11:00:00Z,0.026003915557811903,0.4061760598245426
WBA,2018-06-28T11:07:34Z,0.0208235658139306,0.45250399281993237
WBA,2018-03-28T17:00:00Z,0.027798564967202285,0.3975471692429565
