Date,Instrument,e_p,b_p,ebit_ev,rev_ev,90 days,1_yr,fwd_ret
2021-04-27,SHW,0.0062214017429061,0.0467622791647586,0.0094611457550024,0.0623864815681795,0.13820164166188054,0.5134294962608077,xxx
2021-04-27,DTE,0.0153918679203212,0.4866466653296542,0.0131846083168132,0.0841409632110144,0.14357120009175173,0.3283194470533961,xxx
2021-05-19,LOW,0.0164267246899981,0.0031617182037409,0.0209665388663583,0.1552591910837489,0.17850144033527116,0.6527279276191564,xxx
2021-07-01,WBA,0.0262967054563736,0.4855334062584078,0.0236304661664406,0.5515396184115063,-0.10510938500104527,0.30131184603368455,xxx
2021-05-10,MAR,-0.0002281200675387,0.0048527359821888,0.0012802719283704,0.0092733209946829,0.06576760278496607,0.7089054529734156,xxx
2021-05-05,EMR,0.010368740122666,0.168746162780644,0.0134028444558947,0.0749848532627143,0.09134451319397496,0.8436253518641581,xxx
2021-05-06,PENN,0.0055467365501952,0.1665300981185553,0.0118192527229332,0.0604669554432889,-0.2907723263271498,3.6166116004564204,xxx
2021-05-03,WEC,0.017278921910826,0.3647204079710945,0.0158784100867115,0.0606430437170079,0.1386713937048536,0.1333113544389959,xxx
2021-05-03,LEG,0.0143948987593096,0.2394817614163089,0.0164796686070748,0.148523497258281,0.17554616078762608,0.5541611244133016,xxx
2021-05-07,REG,0.0083746235781689,0.6198350094917743,0.008998967779381,0.0207802846806879,0.254771685400663,0.6425600888191711,xxx
2021-04-16,MS,0.0274117796599906,0.6781283281079895,0.017197550448793,0.0482953169827888,0.055506293964340925,1.1073787653633111,xxx
2021-04-15,BLK,0.0104187136072808,0.3074346016894061,0.0152312467220815,0.0301502739822699,0.10650107172830836,0.8243928656092123,xxx
2021-05-10,WYNN,-0.0193806912753675,0.0161184793090623,-0.0080791157235716,0.0313859753630457,0.15677615726168992,0.5864984650717173,xxx
2021-04-28,HOLX,0.0327685506696636,0.2005758810468976,0.0377670698621223,0.0736563249873152,-0.0015170405062862047,0.4790602736965366,xxx
2021-05-03,BRK-B,0.0199226589530052,0.7621118791204812,0.0185080929454145,0.1143134426026233,0.12025996209824896,0.5688676452013788,xxx
2021-05-04,DVN,0.0143466803923375,0.5679517597971339,0.0375447308362588,0.1118042049610308,0.09245430144210531,1.231243740171323,xxx
2021-04-22,ALLE,0.0094755201763939,0.0638457040033504,0.0110559953890555,0.0558267461717911,0.2376301940950145,0.44194049014209447,xxx
2021-05-04,PEAK,0.0083833092720891,0.39563555911453,0.0041969558515357,0.0194736424645468,0.14876665021238744,0.421459622173729,xxx
2021-03-03,DLTR,0.0210291799688883,0.3047014415818262,0.0278664124226756,0.2631464945380585,0.015246624838678224,0.02433137131732699,xxx
2021-06-25,PAYX,0.0072159935941022,0.0808849776251462,0.0095500733028089,0.0284155404546138,0.11411199588948029,0.47142306370540576,xxx
2021-04-22,AAL,-0.0815455826023097,-0.5183037230202805,-0.071667620447214,0.0978017782609581,0.10883973877543784,0.6711073532338134,xxx
2021-04-27,TER,0.0095786408036313,0.1084017900663437,0.0107566503211067,0.0381016066912247,0.008332770541085166,1.161156969921357,xxx
2021-04-29,WDC,0.0090176048829287,0.4554119339099406,0.010448927408627,0.147533149110888,0.3509970596763543,0.5436196707240872,xxx
2021-05-06,PWR,0.0073158278563527,0.3565727862808496,0.0088710413345742,0.2012686829892882,0.16601319523512448,1.9798199741079672,xxx
2021-04-30,XOM,0.0115502520838198,0.6641352639580742,0.0126940174340552,0.1897574263285062,0.27574102684887203,0.43651718619284563,xxx
2021-04-20,CMA,0.0342757247962131,0.7752509416006452,0.0438917373317814,0.0527521254286644,0.06346573618776774,1.423811875820026,xxx
2021-04-28,DISCK,0.0053975154396069,0.5506993347108453,0.0142372886373373,0.0811234895417262,-0.3052174112071162,0.6785712997738831,xxx
2021-04-21,NDAQ,0.0122629888374886,0.2605679373120078,0.0159963629434453,0.0555167890390163,0.13216647949258054,0.5458386137463151,xxx
2021-04-29,DPZ,0.008162228954558,-0.2242985867584859,0.0104166229730335,0.0542050338309077,0.230306769318962,0.13517722265947119,xxx
2021-04-28,HES,0.0115463988667461,0.2573197461732,0.0195340408545513,0.0643673776769763,0.36156034327552056,0.6678406351258979,xxx
2021-04-27,BXP,0.0057974950701736,0.3654528314043599,0.0078109624912099,0.0234944197688889,0.17706635881269017,0.16293948884867815,xxx
2021-05-04,BEN,0.0243917910263212,0.7061119356739988,0.0386838684447996,0.1164791757244228,0.26232422096770347,0.7824804986856413,xxx
2021-05-05,APA,0.0573489187099227,-0.1859405663326876,0.0443649214636099,0.1130882398615997,0.04326293647885904,0.7781703814318721,xxx
2021-05-20,AMAT,0.0109210852303681,0.0984786279457186,0.0144104934805248,0.0463360452812729,0.15099450613507348,1.423349414443948,xxx
2021-05-05,FLT,0.0082219736601201,0.1471117838710178,0.0104647367545598,0.023502658648422,0.09576165699644235,0.16201657217083776,xxx
2021-04-19,ZION,0.0349148784480963,0.8191653169653683,0.0358837909274886,0.0625756748193644,0.14278579957214843,0.9840960209464653,xxx
2021-04-23,RF,0.0309358463837394,0.8165249617180486,0.0365752979707547,0.0635956882091737,0.17156001888199945,1.2621153121586164,xxx
2021-04-29,DISH,0.0330857769892243,0.7172452399428141,0.0275805121305595,0.1432624324881468,0.39646626103480465,0.9293361242431359,xxx
2021-05-05,PEG,0.0213076204623441,0.5352224355950247,0.0188103146007845,0.0614045185103577,0.14937514147899966,0.293760289210369,xxx
