Date,Instrument,e_p,b_p,ebit_ev,rev_ev,90 days,1_yr,fwd_ret,Timeframe,quartiles,GICS Sector,x0_Communication Services,x0_Consumer Discretionary,x0_Consumer Staples,x0_Energy,x0_Financials,x0_Health Care,x0_Industrials,x0_Information Technology,x0_Materials,x0_Real Estate,x0_Utilities
2019-06-26,GIS,0.0180316725745325,0.2230873977149073,0.0157327881824622,0.0894469188237064,0.0727837358627569,0.1720593332328996,xxx,2-2019,xxx,Consumer Staples,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27,NKE,0.0081570533181004,0.074559921128036,0.0101032174471203,0.0848237151537291,-0.046780460982832,0.1794438935016722,xxx,2-2019,xxx,Consumer Discretionary,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-27,CAG,0.0090299608403083,0.5271355638050651,0.014651261045214,0.105822762198323,-0.0082882310078422,-0.2618345737407394,xxx,2-2019,xxx,Consumer Staples,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-09,PEP,0.0109371092963761,0.0749850363159899,0.0155462141526132,0.0769544618105134,0.0448354451203676,0.2043429089477879,xxx,3-2019,xxx,Consumer Staples,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-11,FAST,0.0109694533060779,0.13423372552506,0.0144913823701861,0.0721091186740462,-0.1078452021190786,0.1456381194336311,xxx,3-2019,xxx,Industrials,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2019-07-11,DAL,0.0388413009886571,0.3757081629935385,0.0435599748221557,0.2777557702800328,0.0460320568763614,0.2171801147467382,xxx,3-2019,xxx,Industrials,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2019-07-15,C,0.0274974796624332,1.10767356936169,0.012781919145433,0.0388698782699773,0.0711128071175419,0.0991118038484195,xxx,3-2019,xxx,Financials,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-15,JBHT,0.0134442042511841,0.2148283897913804,0.0170801821505199,0.200055634954022,-0.1199722279844766,-0.0818831489954706,xxx,3-2019,xxx,Industrials,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2019-07-16,CTAS,0.009722310450189,0.1294446177738557,0.0121512143839425,0.0691223270495814,0.1504902472352332,0.2503969577014775,xxx,3-2019,xxx,Industrials,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2019-07-16,JNJ,0.0151624057583761,0.1643743238849466,0.0142865638243746,0.0536254701271983,-0.0334258516318578,0.0537309815403437,xxx,3-2019,xxx,Health Care,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-07-16,GS,0.0293651565051213,1.0646405626645217,0.0086338222972269,0.0365795014208851,0.0829442183661519,-0.0521659111689343,xxx,3-2019,xxx,Financials,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-16,WFC,0.0274977035451503,0.8276630088442061,0.0133280173735929,0.0363935904174104,-0.0161773962257342,-0.1534249584438471,xxx,3-2019,xxx,Financials,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-16,SCHW,0.0165318437265413,0.3453049252780513,0.0311554531993125,0.0755948253598207,-0.0719039449849097,-0.2025588092225108,xxx,3-2019,xxx,Financials,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
