Instrument,Original Announcement Date Time,e_p,b_p,ebit_ev,rev_ev
SHW,2021-04-27T11:00:23Z,0.0062214017429061,0.0467622791647586,0.0094611457550024,0.0623864815681795
SHW,2021-01-28T12:00:15Z,0.0060975758016623,0.0540961344094406,0.0078943142776637,0.0599999964943737
SHW,2020-10-27T11:00:11Z,0.0111534150916094,0.0664859213869771,0.0134611437174783,0.0721920954346848
SHW,2020-07-28T11:00:19Z,0.0113260884522529,0.0735540018482523,0.0138426160769724,0.0751372369940831
SHW,2020-04-29T11:00:18Z,0.0077101139054888,0.0788291440675886,0.0100885521641944,0.0809015649956777
SHW,2020-01-30T12:03:10Z,0.0046155530749105,0.0765471679649381,0.0077217438536733,0.0659474232643194
SHW,2019-10-22T11:56:07Z,0.0113565757328053,0.0792555561091969,0.0130670757671734,0.0818412445886018
SHW,2019-07-23T11:00:10Z,0.0111328245202685,0.0885770568316233,0.0148599208016566,0.0944990075909485
SHW,2019-04-23T11:00:14Z,0.0061434475017735,0.0866782055988044,0.0085492358682811,0.0813780253275224
SHW,2019-01-31T12:00:08Z,0.0027413926495656,0.1012737842159849,0.0062267583321898,0.0883020358890109
SHW,2018-10-25T11:00:09Z,0.008328484238427,0.0935080769596253,0.0130174839388889,0.0909933248912072
SHW,2018-07-24T11:29:55Z,0.0105859411246472,0.0982806501987428,0.0139153891397176,0.0987417879169259
SHW,2018-04-24T17:00:00Z,0.0067864462566281,0.1001183353395906,0.0089701129900652,0.0834554708318356
SHW,2018-01-25T17:00:00Z,0.0222477851787197,0.0951343511105501,0.0078312997306287,0.0817815735393278
SHW,2017-10-24T16:00:00Z,0.0094665870901501,0.0819561571216068,0.0125172396414538,0.1020010403586151
SHW,2017-07-20T17:00:00Z,0.0097339698270226,0.0729415554103938,0.0134877060938516,0.0847556983912884
SHW,2017-04-20T17:00:00Z,0.0082787454714176,0.0714963996094217,0.0116170378852433,0.0925898356105767
SHW,2017-01-26T12:00:00Z,0.0081315998880988,0.0752338601457928,0.0137668211253274,0.1068962095818073
