,Instrument,Original Announcement Date Time,Revenue from Business Activities - Total
113,EMR,2018-02-06T17:00:00Z,3816000000.0
114,EMR,2017-11-07T17:00:00Z,4435000000.0
115,EMR,2017-08-01T16:00:00Z,4039000000.0
116,EMR,2017-05-02T17:00:00Z,3574000000.0
117,EMR,2017-02-07T11:36:00Z,3216000000.0
118,EMR,2016-11-01T17:00:00Z,3932000000.0
119,EMR,2016-08-02T16:00:00Z,3674000000.0
120,PENN,2021-05-06T11:00:01Z,1274900000.0
121,PENN,2021-02-04T12:00:01Z,1027400000.0
122,PENN,2020-10-29T11:00:00Z,1129700000.0
123,PENN,2020-08-06T11:00:00Z,305500000.0
124,PENN,2020-05-07T11:00:00Z,1116100000.0
125,PENN,2020-02-06T12:00:00Z,1341200000.0
126,PENN,2019-10-31T11:04:15Z,1354500000.0
127,PENN,2019-08-01T11:00:00Z,1323094000.0
128,PENN,2019-05-02T11:01:52Z,1282571000.0
129,PENN,2019-02-07T12:00:00Z,1155269000.0
130,PENN,2018-11-01T11:00:00Z,789651000.0
131,PENN,2018-07-26T21:00:12Z,826913000.0
132,PENN,2018-04-26T17:00:00Z,816085000.0
133,PENN,2018-02-08T17:00:00Z,769036000.0
134,PENN,2017-10-26T16:00:00Z,806247000.0
135,PENN,2017-07-27T17:00:00Z,796463000.0
136,PENN,2017-04-27T12:00:00Z,776224000.0
137,PENN,2017-02-02T17:00:00Z,742910000.0
138,PENN,2016-10-27T16:00:00Z,765597000.0
139,PENN,2016-07-28T12:00:00Z,769422000.0
140,WEC,2021-05-03T11:00:05Z,2691400000.0
141,WEC,2021-02-04T12:00:19Z,1933400000.0
142,WEC,2020-11-03T12:28:13Z,1651000000.0
143,WEC,2020-08-04T11:03:07Z,1548700000.0
144,WEC,2020-05-04T11:29:46Z,2108600000.0
145,WEC,2020-01-30T12:00:14Z,1947500000.0
146,WEC,2019-11-06T12:00:23Z,1608000000.0
147,WEC,2019-08-05T11:00:08Z,1590200000.0
148,WEC,2019-04-25T11:00:18Z,2377400000.0
149,WEC,2019-02-12T12:00:03Z,2076800000.0
150,WEC,2018-10-31T11:00:06Z,1643700000.0
151,WEC,2018-07-31T11:00:13Z,1672500000.0
152,WEC,2018-05-01T17:00:00Z,2286500000.0
153,WEC,2018-01-31T17:00:00Z,2055000000.0
154,WEC,2017-10-26T17:00:00Z,1657500000.0
155,WEC,2017-07-26T17:00:00Z,1631500000.0
156,WEC,2017-05-02T00:07:18Z,2304500000.0
157,WEC,2017-02-01T17:00:00Z,1963000000.0
158,WEC,2016-10-26T12:00:00Z,1712500000.0
159,WEC,2016-07-27T12:00:00Z,1602000000.0
160,LEG,2021-05-03T20:51:18Z,1150900000.0
161,LEG,2021-02-08T21:10:40Z,1182000000.0
162,LEG,2020-11-02T21:51:20Z,1207600000.0
163,LEG,2020-08-03T20:52:49Z,845100000.0
164,LEG,2020-05-04T20:12:40Z,1045500000.0
165,LEG,2020-02-03T21:20:31Z,1144900000.0
166,LEG,2019-10-28T20:53:43Z,1239300000.0
167,LEG,2019-07-29T20:53:16Z,1213200000.0
168,LEG,2019-04-29T20:07:17Z,1155100000.0
169,LEG,2019-02-04T21:22:37Z,1046700000.0
170,LEG,2018-10-25T20:09:55Z,1091500000.0
171,LEG,2018-07-26T16:00:00Z,1102500000.0
172,LEG,2018-04-26T17:00:00Z,1028800000.0
173,LEG,2018-02-05T17:00:00Z,984500000.0
174,LEG,2017-10-26T17:00:00Z,1009700000.0
175,LEG,2017-07-27T17:00:00Z,989300000.0
176,LEG,2017-04-27T07:23:00Z,960300000.0
177,LEG,2017-01-30T07:48:00Z,903700000.0
178,LEG,2016-10-27T17:00:00Z,948900000.0
179,LEG,2016-07-28T22:20:00Z,958900000.0
180,REG,2021-05-07T10:10:52Z,274703000.0
181,REG,2021-02-12T11:14:27Z,258460000.0
182,REG,2020-11-05T21:15:04Z,242944000.0
183,REG,2020-08-03T20:15:11Z,231113000.0
184,REG,2020-05-08T10:19:48Z,283658000.0
185,REG,2020-02-13T11:13:36Z,288732000.0
186,REG,2019-10-31T13:26:21Z,282276000.0
187,REG,2019-08-02T13:27:28Z,275872000.0
188,REG,2019-05-03T10:11:48Z,286257000.0
189,REG,2019-02-13T22:08:46Z,284560000.0
190,REG,2018-10-25T20:40:32Z,278310000.0
191,REG,2018-08-02T17:00:00Z,281412000.0
192,REG,2018-05-01T17:00:00Z,276693000.0
193,REG,2018-02-09T17:00:00Z,264750000.0
194,REG,2017-11-02T17:00:00Z,262141000.0
195,REG,2017-08-04T20:15:00Z,261305000.0
196,REG,2017-05-09T17:00:00Z,196131000.0
197,REG,2017-02-09T17:00:00Z,159561000.0
198,REG,2016-11-02T17:00:00Z,152768000.0
199,REG,2016-08-03T16:00:00Z,152412000.0
200,MS,2021-04-16T11:30:00Z,15218000000.0
201,MS,2021-01-20T12:30:00Z,13238000000.0
202,MS,2020-10-15T11:30:00Z,11530000000.0
203,MS,2020-07-16T11:20:02Z,13456000000.0
204,MS,2020-04-16T11:15:00Z,11186000000.0
205,MS,2020-01-16T13:17:09Z,12743000000.0
206,MS,2019-10-17T11:33:42Z,12527000000.0
207,MS,2019-07-18T11:30:00Z,13091000000.0
208,MS,2019-04-17T11:17:55Z,12969000000.0
209,MS,2019-01-17T12:52:33Z,11072000000.0
210,MS,2018-10-16T10:55:00Z,12004000000.0
211,MS,2018-07-18T10:57:37Z,12389000000.0
212,MS,2018-04-18T17:00:00Z,12335000000.0
213,MS,2018-01-18T17:00:00Z,10554000000.0
214,MS,2017-10-17T11:55:00Z,10232000000.0
215,MS,2017-07-19T11:55:00Z,10333000000.0
216,MS,2017-04-19T17:00:00Z,10430000000.0
217,MS,2017-01-17T13:16:00Z,9526000000.0
218,MS,2016-10-19T17:00:00Z,9149000000.0
219,MS,2016-07-20T17:00:00Z,9179000000.0
220,BLK,2021-04-15T12:05:01Z,3573000000.0
221,BLK,2021-01-14T12:52:37Z,3690000000.0
222,BLK,2020-10-13T11:49:45Z,3656000000.0
223,BLK,2020-07-17T11:44:46Z,2973000000.0
224,BLK,2020-04-16T10:47:54Z,2988000000.0
225,BLK,2020-01-15T13:47:52Z,3294000000.0
226,BLK,2019-10-15T11:35:01Z,3026000000.0
227,BLK,2019-07-19T11:56:35Z,2856000000.0
228,BLK,2019-04-16T12:03:16Z,2700000000.0
229,BLK,2019-01-16T13:30:23Z,2790000000.0
230,BLK,2018-10-16T12:06:08Z,2919000000.0
231,BLK,2018-07-16T17:00:00Z,2926000000.0
232,BLK,2018-04-12T17:00:00Z,2890000000.0
233,BLK,2018-01-12T17:00:00Z,3094000000.0
234,BLK,2017-10-11T12:10:25Z,2872000000.0
235,BLK,2017-07-17T21:00:01Z,2616000000.0
236,BLK,2017-04-19T11:30:00Z,2485000000.0
237,BLK,2017-01-13T11:30:00Z,2591000000.0
238,BLK,2016-10-18T13:50:00Z,2515000000.0
239,BLK,2016-08-08T16:00:00Z,2491000000.0
240,WYNN,2021-05-10T20:02:00Z,725783000.0
241,WYNN,2021-02-04T21:02:00Z,685995000.0
242,WYNN,2020-11-05T21:03:00Z,370452000.0
243,WYNN,2020-08-04T20:05:00Z,85698000.0
244,WYNN,2020-05-06T20:04:00Z,953716000.0
245,WYNN,2020-02-06T21:03:00Z,1653459000.0
246,WYNN,2019-11-06T21:02:00Z,1647762000.0
247,WYNN,2019-08-06T20:03:00Z,1658332000.0
248,WYNN,2019-05-09T20:02:00Z,1651546000.0
249,WYNN,2019-01-30T21:02:00Z,1687586000.0
250,WYNN,2018-11-07T21:13:23Z,1709072000.0
251,WYNN,2018-08-01T20:02:00Z,1605424000.0
252,WYNN,2018-04-24T17:00:00Z,1715578000.0
253,WYNN,2018-01-22T17:00:00Z,1622164000.0
254,WYNN,2017-10-26T16:00:00Z,1551347000.0
255,WYNN,2017-07-25T17:00:00Z,1472892000.0
256,WYNN,2017-04-25T17:00:00Z,1423757000.0
257,WYNN,2017-01-26T17:00:00Z,1300433000.0
258,WYNN,2016-11-02T16:00:00Z,1109822000.0
259,WYNN,2016-07-28T17:00:00Z,1058364000.0
260,HOLX,2021-04-28T20:01:00Z,1537600000.0
261,HOLX,2021-01-27T21:01:00Z,1609800000.0
262,HOLX,2020-11-04T21:01:00Z,1346900000.0
263,HOLX,2020-07-29T20:01:00Z,822900000.0
264,HOLX,2020-04-29T20:01:00Z,756100000.0
265,HOLX,2020-01-29T21:02:00Z,850500000.0
266,HOLX,2019-11-06T21:02:54Z,865900000.0
267,HOLX,2019-07-31T20:01:00Z,852400000.0
268,HOLX,2019-05-01T20:02:00Z,818400000.0
269,HOLX,2019-01-30T21:01:00Z,830700000.0
270,HOLX,2018-11-07T21:01:00Z,813400000.0
271,HOLX,2018-07-31T20:02:04Z,824000000.0
272,HOLX,2018-05-02T17:00:00Z,789300000.0
273,HOLX,2018-02-08T17:00:00Z,791100000.0
274,HOLX,2017-11-08T17:00:00Z,802900000.0
275,HOLX,2017-08-02T21:01:00Z,806100000.0
276,HOLX,2017-05-10T17:00:00Z,715400000.0
277,HOLX,2017-02-01T17:00:00Z,734400000.0
278,HOLX,2016-11-02T21:01:00Z,726900000.0
279,HOLX,2016-07-27T17:00:00Z,717400000.0
280,BRK-B,2021-05-03T12:45:13Z,64599000000.0
281,BRK-B,2021-03-01T15:40:18Z,64381000000.0
282,BRK-B,2020-11-09T11:25:58Z,63024000000.0
283,BRK-B,2020-08-10T10:56:04Z,56840000000.0
284,BRK-B,2020-05-04T10:15:26Z,61265000000.0
285,BRK-B,2020-02-24T11:28:53Z,65368000000.0
286,BRK-B,2019-11-04T11:36:59Z,64972000000.0
287,BRK-B,2019-08-05T10:22:03Z,63598000000.0
288,BRK-B,2019-05-06T08:06:00Z,60678000000.0
289,BRK-B,2019-02-25T11:31:49Z,63714000000.0
290,BRK-B,2018-11-05T11:14:53Z,63450000000.0
291,BRK-B,2018-08-06T17:00:00Z,62200000000.0
292,BRK-B,2018-05-07T23:00:00Z,58473000000.0
293,BRK-B,2018-02-26T05:00:00Z,58800000000.0
294,BRK-B,2017-11-03T23:00:00Z,59507000000.0
295,BRK-B,2017-08-04T23:00:00Z,57256000000.0
296,BRK-B,2017-05-05T17:00:00Z,64370000000.0
297,BRK-B,2017-02-27T17:00:00Z,56590000000.0
298,BRK-B,2016-11-04T17:00:00Z,58385000000.0
299,BRK-B,2016-08-05T17:00:00Z,54234000000.0
300,DVN,2021-05-04T20:20:11Z,2290000000.0
301,DVN,2021-02-17T11:14:15Z,1397000000.0
302,DVN,2020-10-29T21:20:11Z,1154000000.0
303,DVN,2020-08-04T21:04:41Z,755000000.0
