,Instrument,Income Available to Common Shares,Original Announcement Date Time
116,EMR,292000000.0,2017-05-02T17:00:00Z
117,EMR,309000000.0,2017-02-07T11:36:00Z
118,EMR,438000000.0,2016-11-01T17:00:00Z
119,EMR,479000000.0,2016-08-02T16:00:00Z
120,PENN,91000000.0,2021-05-06T11:00:01Z
121,PENN,11100000.0,2021-02-04T12:00:01Z
122,PENN,141900000.0,2020-10-29T11:00:00Z
123,PENN,-213900000.0,2020-08-06T11:00:00Z
124,PENN,-608600000.0,2020-05-07T11:00:00Z
125,PENN,-92500000.0,2020-02-06T12:00:00Z
126,PENN,43900000.0,2019-10-31T11:04:15Z
127,PENN,51547000.0,2019-08-01T11:00:00Z
128,PENN,40992000.0,2019-05-02T11:01:52Z
129,PENN,-42031000.0,2019-02-07T12:00:00Z
130,PENN,36125000.0,2018-11-01T11:00:00Z
131,PENN,53988000.0,2018-07-26T21:00:12Z
132,PENN,45437000.0,2018-04-26T17:00:00Z
133,PENN,-338060000.0,2018-02-08T17:00:00Z
134,PENN,789340000.0,2017-10-26T16:00:00Z
135,PENN,17079000.0,2017-07-27T17:00:00Z
136,PENN,5104000.0,2017-04-27T12:00:00Z
137,PENN,5638000.0,2017-02-02T17:00:00Z
138,PENN,42877000.0,2016-10-27T16:00:00Z
139,PENN,30884000.0,2016-07-28T12:00:00Z
140,WEC,510100000.0,2021-05-03T11:00:05Z
141,WEC,239000000.0,2021-02-04T12:00:19Z
142,WEC,266800000.0,2020-11-03T12:28:13Z
143,WEC,241600000.0,2020-08-04T11:03:07Z
144,WEC,452500000.0,2020-05-04T11:29:46Z
145,WEC,243900000.0,2020-01-30T12:00:14Z
146,WEC,234300000.0,2019-11-06T12:00:23Z
147,WEC,235700000.0,2019-08-05T11:00:08Z
148,WEC,420100000.0,2019-04-25T11:00:18Z
149,WEC,205000000.0,2019-02-12T12:00:03Z
150,WEC,233200000.0,2018-10-31T11:00:06Z
151,WEC,231000000.0,2018-07-31T11:00:13Z
152,WEC,390100000.0,2018-05-01T17:00:00Z
153,WEC,432600000.0,2018-01-31T17:00:00Z
154,WEC,215400000.0,2017-10-26T17:00:00Z
155,WEC,199100000.0,2017-07-26T17:00:00Z
156,WEC,356600000.0,2017-05-02T00:07:18Z
157,WEC,194400000.0,2017-02-01T17:00:00Z
158,WEC,217000000.0,2016-10-26T12:00:00Z
159,WEC,181400000.0,2016-07-27T12:00:00Z
160,LEG,87500000.0,2021-05-03T20:51:18Z
161,LEG,103200000.0,2021-02-08T21:10:40Z
162,LEG,104800000.0,2020-11-02T21:51:20Z
163,LEG,-6100000.0,2020-08-03T20:52:49Z
164,LEG,45700000.0,2020-05-04T20:12:40Z
165,LEG,86800000.0,2020-02-03T21:20:31Z
166,LEG,99600000.0,2019-10-28T20:53:43Z
167,LEG,86200000.0,2019-07-29T20:53:16Z
168,LEG,61200000.0,2019-04-29T20:07:17Z
169,LEG,53000000.0,2019-02-04T21:22:37Z
170,LEG,90000000.0,2018-10-25T20:09:55Z
171,LEG,85000000.0,2018-07-26T16:00:00Z
172,LEG,77900000.0,2018-04-26T17:00:00Z
173,LEG,36300000.0,2018-02-05T17:00:00Z
174,LEG,82600000.0,2017-10-26T17:00:00Z
175,LEG,87600000.0,2017-07-27T17:00:00Z
176,LEG,86100000.0,2017-04-27T07:23:00Z
177,LEG,81600000.0,2017-01-30T07:48:00Z
178,LEG,93500000.0,2016-10-27T17:00:00Z
179,LEG,121200000.0,2016-07-28T22:20:00Z
180,REG,80656000.0,2021-05-07T10:10:52Z
181,REG,38487000.0,2021-02-12T11:14:27Z
182,REG,12688000.0,2020-11-05T21:15:04Z
183,REG,19046000.0,2020-08-03T20:15:11Z
184,REG,-25332000.0,2020-05-08T10:19:48Z
185,REG,40291000.0,2020-02-13T11:13:36Z
186,REG,56965000.0,2019-10-31T13:26:21Z
187,REG,51728000.0,2019-08-02T13:27:28Z
188,REG,90446000.0,2019-05-03T10:11:48Z
189,REG,78905000.0,2019-02-13T22:08:46Z
190,REG,69722000.0,2018-10-25T20:40:32Z
191,REG,47841000.0,2018-08-02T17:00:00Z
192,REG,52660000.0,2018-05-01T17:00:00Z
193,REG,85139000.0,2018-02-09T17:00:00Z
194,REG,59666000.0,2017-11-02T17:00:00Z
195,REG,48368000.0,2017-08-04T20:15:00Z
196,REG,-33223000.0,2017-05-09T17:00:00Z
197,REG,55868000.0,2017-02-09T17:00:00Z
198,REG,5305000.0,2016-11-02T17:00:00Z
199,REG,34810000.0,2016-08-03T16:00:00Z
200,MS,3982000000.0,2021-04-16T11:30:00Z
201,MS,3266000000.0,2021-01-20T12:30:00Z
202,MS,2597000000.0,2020-10-15T11:30:00Z
203,MS,3047000000.0,2020-07-16T11:20:02Z
204,MS,1590000000.0,2020-04-16T11:15:00Z
205,MS,2085000000.0,2020-01-16T13:17:09Z
206,MS,2060000000.0,2019-10-17T11:33:42Z
207,MS,2031000000.0,2019-07-18T11:30:00Z
208,MS,2336000000.0,2019-04-17T11:17:55Z
209,MS,1361000000.0,2019-01-17T12:52:33Z
210,MS,2019000000.0,2018-10-16T10:55:00Z
211,MS,2267000000.0,2018-07-18T10:57:37Z
212,MS,2575000000.0,2018-04-18T17:00:00Z
213,MS,473000000.0,2018-01-18T17:00:00Z
214,MS,1688000000.0,2017-10-17T11:55:00Z
215,MS,1587000000.0,2017-07-19T11:55:00Z
216,MS,1840000000.0,2017-04-19T17:00:00Z
217,MS,1509000000.0,2017-01-17T13:16:00Z
218,MS,1518000000.0,2016-10-19T17:00:00Z
219,MS,1425000000.0,2016-07-20T17:00:00Z
220,BLK,1199000000.0,2021-04-15T12:05:01Z
221,BLK,1548000000.0,2021-01-14T12:52:37Z
222,BLK,1364000000.0,2020-10-13T11:49:45Z
223,BLK,1214000000.0,2020-07-17T11:44:46Z
224,BLK,806000000.0,2020-04-16T10:47:54Z
225,BLK,1301000000.0,2020-01-15T13:47:52Z
226,BLK,1119000000.0,2019-10-15T11:35:01Z
227,BLK,1003000000.0,2019-07-19T11:56:35Z
228,BLK,1053000000.0,2019-04-16T12:03:16Z
229,BLK,927000000.0,2019-01-16T13:30:23Z
230,BLK,1216000000.0,2018-10-16T12:06:08Z
231,BLK,1073000000.0,2018-07-16T17:00:00Z
232,BLK,1089000000.0,2018-04-12T17:00:00Z
233,BLK,2295000000.0,2018-01-12T17:00:00Z
234,BLK,947000000.0,2017-10-11T12:10:25Z
235,BLK,857000000.0,2017-07-17T21:00:01Z
236,BLK,859000000.0,2017-04-19T11:30:00Z
237,BLK,851000000.0,2017-01-13T11:30:00Z
238,BLK,875000000.0,2016-10-18T13:50:00Z
239,BLK,789000000.0,2016-08-08T16:00:00Z
240,WYNN,-280978000.0,2021-05-10T20:02:00Z
241,WYNN,-269502000.0,2021-02-04T21:02:00Z
242,WYNN,-758142000.0,2020-11-05T21:03:00Z
243,WYNN,-637564000.0,2020-08-04T20:05:00Z
244,WYNN,-402037000.0,2020-05-06T20:04:00Z
245,WYNN,-72942000.0,2020-02-06T21:03:00Z
246,WYNN,-3496000.0,2019-11-06T21:02:00Z
247,WYNN,94551000.0,2019-08-06T20:03:00Z
248,WYNN,104872000.0,2019-05-09T20:02:00Z
249,WYNN,464866000.0,2019-01-30T21:02:00Z
250,WYNN,156115000.0,2018-11-07T21:13:23Z
251,WYNN,155756000.0,2018-08-01T20:02:00Z
252,WYNN,-204307000.0,2018-04-24T17:00:00Z
253,WYNN,491682000.0,2018-01-22T17:00:00Z
254,WYNN,79767000.0,2017-10-26T16:00:00Z
255,WYNN,74916000.0,2017-07-25T17:00:00Z
256,WYNN,100816000.0,2017-04-25T17:00:00Z
257,WYNN,113800000.0,2017-01-26T17:00:00Z
258,WYNN,-17437000.0,2016-11-02T16:00:00Z
259,WYNN,70391000.0,2016-07-28T17:00:00Z
260,HOLX,619900000.0,2021-04-28T20:01:00Z
261,HOLX,654400000.0,2021-01-27T21:01:00Z
262,HOLX,494900000.0,2020-11-04T21:01:00Z
263,HOLX,137900000.0,2020-07-29T20:01:00Z
264,HOLX,96300000.0,2020-04-29T20:01:00Z
265,HOLX,386100000.0,2020-01-29T21:02:00Z
266,HOLX,-123500000.0,2019-11-06T21:02:54Z
267,HOLX,93900000.0,2019-07-31T20:01:00Z
268,HOLX,-272600000.0,2019-05-01T20:02:00Z
269,HOLX,98600000.0,2019-01-30T21:01:00Z
270,HOLX,50500000.0,2018-11-07T21:01:00Z
271,HOLX,112900000.0,2018-07-31T20:02:04Z
272,HOLX,-681400000.0,2018-05-02T17:00:00Z
273,HOLX,406700000.0,2018-02-08T17:00:00Z
274,HOLX,82700000.0,2017-11-08T17:00:00Z
275,HOLX,59500000.0,2017-08-02T21:01:00Z
276,HOLX,526800000.0,2017-05-10T17:00:00Z
277,HOLX,86500000.0,2017-02-01T17:00:00Z
278,HOLX,92100000.0,2016-11-02T21:01:00Z
279,HOLX,84800000.0,2016-07-27T17:00:00Z
280,BRK-B,11711000000.0,2021-05-03T12:45:13Z
281,BRK-B,35835000000.0,2021-03-01T15:40:18Z
282,BRK-B,30137000000.0,2020-11-09T11:25:58Z
283,BRK-B,26295000000.0,2020-08-10T10:56:04Z
284,BRK-B,-49746000000.0,2020-05-04T10:15:26Z
285,BRK-B,29159000000.0,2020-02-24T11:28:53Z
286,BRK-B,16524000000.0,2019-11-04T11:36:59Z
287,BRK-B,14073000000.0,2019-08-05T10:22:03Z
288,BRK-B,21661000000.0,2019-05-06T08:06:00Z
289,BRK-B,-25392000000.0,2019-02-25T11:31:49Z
290,BRK-B,18540000000.0,2018-11-05T11:14:53Z
291,BRK-B,12011000000.0,2018-08-06T17:00:00Z
292,BRK-B,-1138000000.0,2018-05-07T23:00:00Z
293,BRK-B,32551000000.0,2018-02-26T05:00:00Z
294,BRK-B,4067000000.0,2017-11-03T23:00:00Z
295,BRK-B,4262000000.0,2017-08-04T23:00:00Z
296,BRK-B,4060000000.0,2017-05-05T17:00:00Z
297,BRK-B,6286000000.0,2017-02-27T17:00:00Z
298,BRK-B,7198000000.0,2016-11-04T17:00:00Z
299,BRK-B,5001000000.0,2016-08-05T17:00:00Z
300,DVN,211000000.0,2021-05-04T20:20:11Z
301,DVN,-103000000.0,2021-02-17T11:14:15Z
302,DVN,-94000000.0,2020-10-29T21:20:11Z
303,DVN,-670000000.0,2020-08-04T21:04:41Z
304,DVN,-1817000000.0,2020-05-05T21:01:44Z
305,DVN,-643000000.0,2020-02-18T21:51:15Z
306,DVN,108000000.0,2019-11-05T21:29:13Z
307,DVN,493000000.0,2019-08-06T20:23:42Z
308,DVN,-317000000.0,2019-04-30T21:23:34Z
309,DVN,1142000000.0,2019-02-19T22:23:35Z
310,DVN,2536000000.0,2018-11-06T21:52:42Z
311,DVN,-426000000.0,2018-07-31T20:05:00Z
312,DVN,-197000000.0,2018-05-01T17:00:00Z
313,DVN,190000000.0,2018-02-20T17:00:00Z
314,DVN,191000000.0,2017-10-31T17:00:00Z
