,Instrument,GICS Sector
235,HWM,Industrials
236,HPQ,Information Technology
237,HUM,Health Care
238,HBAN,Financials
239,HII,Industrials
240,IEX,Industrials
241,IDXX,Health Care
242,INFO,Industrials
243,ITW,Industrials
244,ILMN,Health Care
245,INCY,Health Care
246,IR,Industrials
247,INTC,Information Technology
248,ICE,Financials
249,IBM,Information Technology
250,IP,Materials
251,IPG,Communication Services
252,IFF,Materials
253,INTU,Information Technology
254,ISRG,Health Care
255,IVZ,Financials
256,IPGP,Information Technology
257,IQV,Health Care
258,IRM,Real Estate
259,JKHY,Information Technology
260,J,Industrials
261,JBHT,Industrials
262,SJM,Consumer Staples
263,JNJ,Health Care
264,JCI,Industrials
265,JPM,Financials
266,JNPR,Information Technology
267,KSU,Industrials
268,K,Consumer Staples
269,KEY,Financials
270,KEYS,Information Technology
271,KMB,Consumer Staples
272,KIM,Real Estate
273,KMI,Energy
274,KLAC,Information Technology
275,KHC,Consumer Staples
276,KR,Consumer Staples
277,LB,Consumer Discretionary
278,LHX,Industrials
279,LH,Health Care
280,LRCX,Information Technology
281,LW,Consumer Staples
282,LVS,Consumer Discretionary
283,LEG,Consumer Discretionary
284,LDOS,Industrials
285,LEN,Consumer Discretionary
286,LLY,Health Care
287,LNC,Financials
288,LIN,Materials
289,LYV,Communication Services
290,LKQ,Consumer Discretionary
291,LMT,Industrials
292,L,Financials
293,LOW,Consumer Discretionary
294,LUMN,Communication Services
295,LYB,Materials
296,MTB,Financials
297,MRO,Energy
298,MPC,Energy
299,MKTX,Financials
300,MAR,Consumer Discretionary
301,MMC,Financials
302,MLM,Materials
303,MAS,Industrials
304,MA,Information Technology
305,MKC,Consumer Staples
306,MXIM,Information Technology
307,MCD,Consumer Discretionary
308,MCK,Health Care
309,MDT,Health Care
310,MRK,Health Care
311,MET,Financials
312,MTD,Health Care
313,MGM,Consumer Discretionary
314,MCHP,Information Technology
315,MU,Information Technology
316,MSFT,Information Technology
317,MAA,Real Estate
318,MHK,Consumer Discretionary
319,TAP,Consumer Staples
320,MDLZ,Consumer Staples
321,MPWR,Information Technology
322,MNST,Consumer Staples
323,MCO,Financials
324,MS,Financials
325,MOS,Materials
326,MSI,Information Technology
327,MSCI,Financials
328,NDAQ,Financials
329,NTAP,Information Technology
330,NFLX,Communication Services
