Instrument,Original Announcement Date Time,e_p,b_p
SHW,2021-04-27T11:00:23Z,0.00622140174290614,0.04676227916475863
SHW,2021-01-28T12:00:15Z,0.006097575801662334,0.05409613440944067
SHW,2020-10-27T11:00:11Z,0.011153415091609453,0.06648592138697712
SHW,2020-07-28T11:00:19Z,0.011326088452252919,0.07355400184825235
SHW,2020-04-29T11:00:18Z,0.007710113905488815,0.07882914406758863
SHW,2020-01-30T12:03:10Z,0.004615553074910592,0.07654716796493811
SHW,2019-10-22T11:56:07Z,0.01135657573280533,0.0792555561091969
SHW,2019-07-23T11:00:10Z,0.011132824520268573,0.08857705683162338
SHW,2019-04-23T11:00:14Z,0.0061434475017735244,0.08667820559880443
SHW,2019-01-31T12:00:08Z,0.002741392649565674,0.10127378421598497
SHW,2018-10-25T11:00:09Z,0.008328484238427088,0.09350807695962536
SHW,2018-07-24T11:29:55Z,0.010585941124647268,0.09828065019874285
SHW,2018-04-24T17:00:00Z,0.006786446256628179,0.10011833533959062
SHW,2018-01-25T17:00:00Z,0.02224778517871971,0.09513435111055013
SHW,2017-10-24T16:00:00Z,0.009466587090150113,0.08195615712160689
SHW,2017-07-20T17:00:00Z,0.009733969827022649,0.07294155541039381
SHW,2017-04-20T17:00:00Z,0.008278745471417649,0.07149639960942178
SHW,2017-01-26T12:00:00Z,0.00813159988809887,0.07523386014579289
SHW,2016-10-25T16:00:00Z,0.015045719429849048,0.062161219052375934
SHW,2016-07-21T17:00:00Z,0.01395958749468164,0.04603037210342026
DTE,2021-04-27T14:18:43Z,0.015391867920321281,0.4866466653296542
DTE,2021-02-19T18:45:54Z,0.01170209270959148,0.5287218251515423
DTE,2020-10-27T15:56:50Z,0.021331924422776687,0.5534174834986887
DTE,2020-07-28T15:00:04Z,0.013375210355648265,0.5661045711538637
DTE,2020-04-28T00:00:00Z,0.018532336849310813,0.6462810803320131
DTE,2020-02-05T20:18:55Z,0.010701966723751866,0.4678402831446883
DTE,2019-10-28T14:34:20Z,0.013041124669725325,0.4404455312982704
DTE,2019-07-24T15:08:00Z,0.007768082558504683,0.44371970482535544
DTE,2019-04-24T15:10:52Z,0.017502273910635947,0.46140369596914016
DTE,2019-02-07T17:59:26Z,0.009518432050050348,0.5101580570490336
DTE,2018-10-24T16:04:36Z,0.01678694707436492,0.5145476540181464
DTE,2018-07-25T17:17:27Z,0.012442109508610745,0.5234193418921546
DTE,2018-04-25T23:00:00Z,0.01918986857593792,0.5270817235524283
DTE,2018-02-16T23:00:00Z,0.014615966221714481,0.48441488049110853
DTE,2017-10-25T17:00:00Z,0.013966991949145854,0.4866639982875245
DTE,2017-07-26T17:00:00Z,0.009326565720327354,0.4788690919001977
DTE,2017-04-26T12:15:00Z,0.021782745933396797,0.5019312433875944
DTE,2017-02-09T12:00:00Z,0.007411119360287467,0.5097831798133615
DTE,2016-10-26T17:00:00Z,0.020109858341855354,0.5432041617193473
DTE,2016-07-26T17:00:00Z,0.008546240809478495,0.49354540674738306
LOW,2021-05-19T10:01:49Z,0.01642672468999811,0.0031617182037409854
LOW,2021-02-24T11:04:02Z,0.0079669667620813,0.011754138847136374
LOW,2020-11-18T13:47:21Z,0.005766565308203041,0.03408885413688097
LOW,2020-08-19T12:51:39Z,0.02504726086684091,0.03874498165339454
LOW,2020-05-20T10:04:19Z,0.016902958150638452,0.021759547026628346
LOW,2020-02-26T11:02:48Z,0.005701772345378145,0.02213365170292461
LOW,2019-11-20T11:02:49Z,0.011998900208507598,0.028196268367601987
LOW,2019-08-21T10:03:46Z,0.021496019269230532,0.033981731060340484
LOW,2019-05-22T10:02:18Z,0.011662769099413106,0.03618477546088285
LOW,2019-02-27T11:24:58Z,-0.010528994787235388,0.04673283435406304
LOW,2018-11-20T11:00:08Z,0.008024819932675165,0.0689265584663214
LOW,2018-08-22T10:00:05Z,0.01901328866266011,0.0725516975305862
LOW,2018-05-23T17:00:00Z,0.014161598738154701,0.08259734492456727
LOW,2018-04-02T23:00:00Z,0.006566081688823512,0.06973344983446743
LOW,2017-11-21T17:00:00Z,0.013406741667346702,0.08848449500448824
LOW,2017-08-23T11:00:00Z,0.02135666146483557,0.08367337428827297
LOW,2017-05-24T11:00:00Z,0.008137730442360679,0.07501631179449486
LOW,2017-03-01T11:00:00Z,0.010086100827926074,0.10092375229685281
LOW,2016-11-16T11:00:00Z,0.006413271574897318,0.11255632745411544
LOW,2016-08-17T17:00:00Z,0.015937742179373805,0.09481722176076687
WBA,2021-07-01T11:00:00Z,0.026296705456373654,0.4855334062584078
WBA,2021-03-31T11:00:01Z,0.024774520732875963,0.5097611181206086
WBA,2021-01-07T12:00:17Z,-0.009379689445732996,0.6108065948476191
WBA,2020-10-15T11:00:00Z,0.011321684987193837,0.6264260985675775
WBA,2020-07-09T11:00:00Z,-0.04534372607668936,0.5505227445271119
WBA,2020-04-02T11:00:00Z,0.02333668866897086,0.5851193642064692
WBA,2020-01-08T12:00:01Z,0.015884816529223952,0.44479366141771354
WBA,2019-10-28T11:00:00Z,0.014643564224692473,0.508544813126654
WBA,2019-06-27T11:00:00Z,0.023002125964610494,0.5415710301501903
WBA,2019-04-02T11:00:00Z,0.01721164482416727,0.36879969056628314
WBA,2018-12-20T12:07:30Z,0.014058329911623731,0.32058750730790037
WBA,2018-10-11T11:00:00Z,0.022222302398773822,0.3822324196328775
WBA,2018-06-28T11:07:34Z,0.02167432599259597,0.44795760486635006
WBA,2018-03-28T17:00:00Z,0.019746518061036094,0.40041957120803734
WBA,2018-01-04T16:00:00Z,0.011393554855334755,0.359833719663794
WBA,2017-10-25T17:00:00Z,0.009195891142797391,0.3149306061447296
WBA,2017-06-29T17:00:00Z,0.013402658481178277,0.3529443627573625
WBA,2017-04-05T12:00:00Z,0.011368584078356305,0.3224709598905085
WBA,2017-01-05T12:08:00Z,0.011527793058133904,0.32073295202066104
WBA,2016-10-20T12:00:00Z,0.011791123875089566,0.3420570693084235
MAR,2021-05-10T11:00:09Z,-0.00022812006753879425,0.004852735982188896
MAR,2021-02-18T13:11:16Z,-0.0038330438317186093,0.010050053949018305
MAR,2020-11-06T12:00:07Z,0.0033305479349331666,0.007626954770996951
MAR,2020-08-10T11:00:09Z,-0.008417732278872984,-0.0028418839744913066
MAR,2020-05-11T11:00:19Z,0.0012780877089559899,-0.0008245727154554773
MAR,2020-02-26T22:20:53Z,0.0056354411233986235,0.014199695733868218
MAR,2019-11-04T21:30:07Z,0.009447698629343493,0.02045780736793242
MAR,2019-08-05T20:30:08Z,0.004966284544780929,0.02654393463589807
MAR,2019-05-10T10:16:48Z,0.008903753176298372,0.03806057691095011
MAR,2019-02-28T23:36:25Z,0.011233192460264543,0.0600813779425207
MAR,2018-11-05T21:30:07Z,0.01097945377469261,0.05072813235066725
MAR,2018-08-06T20:45:58Z,0.014910095499053122,0.06350761816013481
MAR,2018-05-08T17:00:00Z,0.00864120674651743,0.07336796013828847
MAR,2018-02-14T17:00:00Z,0.0023037462076813506,0.07238613084135613
MAR,2017-11-07T17:00:00Z,0.011811107231229122,0.1098798264480532
MAR,2017-08-07T21:22:00Z,0.012866210086154194,0.12895152481031025
MAR,2017-05-09T17:00:00Z,0.010300896937683468,0.14349066138530503
MAR,2017-02-15T17:00:00Z,0.0075577194063474636,0.16592911008116132
MAR,2016-11-07T17:00:00Z,0.002665507256295241,0.22241754120029286
MAR,2016-07-27T21:30:00Z,0.014618636949664988,-0.20489765635522345
EMR,2021-05-05T10:55:00Z,0.010368740122666077,0.168746162780644
EMR,2021-02-02T12:00:00Z,0.009258405474228952,0.18506408245677874
EMR,2020-11-03T11:57:40Z,0.01845136058504543,0.21450025687041055
EMR,2020-08-04T10:55:00Z,0.010765920253402098,0.21129804888318754
EMR,2020-04-21T10:55:00Z,0.018159658707402354,0.26403511509389455
