Symbols
SHW
DTE
LOW
WBA
MAR
EMR
PENN
WEC
LEG
REG
MS
BLK
WYNN
HOLX
BRK-B
DVN
ALLE
PEAK
DLTR
PAYX
AAL
TER
WDC
PWR
XOM
CMA
DISCK
NDAQ
DPZ
HES
BXP
BEN
APA
AMAT
FLT
ZION
RF
DISH
PEG
ALL
SLB
PGR
NOV
PTC
SWKS
EL
NOC
PKG
CSX
MSCI
CERN
MGM
ANSS
UNH
ALGN
NLSN
TTWO
BIO
CAG
XLNX
INCY
ADBE
NTRS
SPGI
CVX
AIZ
PRGO
CNC
AKAM
COG
BIIB
K
EQIX
DD
MPWR
WFC
SJM
ZBRA
CPRT
BFb
NOW
TT
IBM
PAYC
DXC
NFLX
GL
APTV
GIS
NRG
SEE
ROST
BMY
ALB
APD
DOW
REGN
OXY
VTR
PNW
AFL
AON
LMT
ZTS
ABC
CDNS
EA
ORLY
FITB
CHRW
ECL
PHM
EXR
VRSN
TXT
EBAY
BAC
PYPL
CMCSA
EQR
SBUX
EW
TMO
NXPI
HPE
ENPH
HAS
IR
KHC
HAL
BR
QCOM
ATVI
DGX
TDG
LNC
IPG
JNPR
TMUS
CTLT
ESS
WLTW
JBHT
AMGN
TAP
EFX
UAL
DISCA
GRMN
NI
ILMN
CSCO
FRC
MDLZ
VNO
LHX
NKE
MRO
ANTM
PPL
CCI
FAST
RJF
FCX
LNT
NWSA
TSLA
FFIV
MCD
ADSK
HST
XEL
IDXX
LB
PCAR
PSA
CZR
PVH
KO
HRL
TEL
JPM
GE
CDW
BDX
MMC
WELL
MSFT
VFC
GPN
MRK
PG
FANG
UNP
FB
PXD
RE
CTXS
TSN
KSU
WMT
NVR
IFF
KLAC
MTB
HBAN
DLR
TRMB
MTD
CB
PEP
ABMD
MCK
EVRG
MMM
MAA
WM
AJG
WHR
RTX
HSY
CMG
ORCL
COST
VIAC
TDY
ED
STX
APH
WAB
PNC
FE
CCL
HLT
MCHP
AZO
WAT
WRK
CINF
FTV
TJX
NSC
LRCX
KMX
MHK
KEY
BA
FOXA
J
AVY
LLY
SIVB
CTVA
LUV
GILD
ES
V
ITW
GPS
PBCT
ABT
CPRI
AXP
SPG
JNJ
ULTA
ZBH
LW
UNM
GS
ADP
CMS
WY
CBOE
O
ROP
FDX
AMCR
GNRC
XRAY
MLM
KMI
HBI
AEP
AVB
INTC
DRI
LKQ
ABBV
ATO
PRU
KEYS
SRE
C
L
ALK
TGT
LDOS
ICE
INFO
MSI
STZ
AIG
SCHW
IQV
DE
DFS
BBY
DG
EXC
MNST
AMD
CRL
KMB
WRB
TFX
F
HWM
D
CFG
ANET
MCO
MPC
DHI
TFC
AES
ODFL
MOS
ETR
NCLH
COF
QRVO
A
JKHY
AVGO
MET
CAH
DRE
ARE
BK
NUE
DUK
UPS
SO
SYK
OGN
BSX
UA
CME
SWK
PH
RL
CARR
PNR
POOL
ROK
VRSK
STT
FOX
IT
SYY
USB
AWK
MAS
VRTX
SNA
PKI
NLOK
OKE
CMI
GPC
ADI
FMC
PM
CLX
ISRG
NVDA
BWA
HCA
AEE
TYL
BKNG
AAP
GWW
LEN
MXIM
MO
OTIS
IVZ
MDT
PFE
SYF
XYL
GOOGL
KR
INTU
PSX
MKC
DAL
CHTR
CE
HSIC
AME
ETN
MKTX
NWS
STE
IPGP
DHR
HPQ
UAA
PLD
HII
LUMN
NTAP
CAT
CPB
NEM
PFG
WST
HON
YUM
AMP
UDR
AMT
HD
LVS
IP
TROW
GD
TSCO
FBHS
COO
DOV
GLW
CNP
BKR
RCL
EOG
VTRS
URI
DXCM
GM
VZ
MU
RMD
NEE
VLO
FRT
LIN
AOS
SBAC
RHI
T
KIM
HIG
IEX
CBRE
IRM
TWTR
DIS
MA
EXPD
BAX
ROL
CTSH
FISV
PPG
LYV
TPR
EMN
BLL
VMC
ACN
OMC
ADM
EIX
NWL
LH
UHS
WU
DVA
RSG
HUM
WMB
LYB
AMZN
CRM
TRV
AAPL
CVS
CL
ETSY
JCI
CHD
EXPE
COP
SNPS
CF
ALXN
CI
FIS
FTNT
TXN
CTAS
