,key,Date,Ticker,Quantity,Basis,Purchase Price,Current Value,Last,% Gain,model
0,Positions_2020-07-20,2020-07-20,AMD,5404,305958.25747500005,1188.950975,306254.8622999999,1190.4834500000002,-0.09694290569167165,75percent_confidence_no_holding_15m_cnn
1,Positions_2020-07-20,2020-07-20,BABA,1692,433770.79174999986,6388.8492,433576.9627250001,6385.678724999999,0.044684664962749136,75percent_confidence_no_holding_15m_cnn
2,Positions_2020-07-20,2020-07-20,BAC,19174,440440.4210982961,620.3949418187252,440550.8895120355,620.4789255339249,-0.025081352311824887,75percent_confidence_no_holding_15m_cnn
3,Positions_2020-07-20,2020-07-20,F,54710,366230.399675,160.75037500000002,366137.4725,160.59509999999997,0.025373965427906663,75percent_confidence_no_holding_15m_cnn
4,Positions_2020-07-20,2020-07-20,JNJ,1229,179156.38099886998,2477.94274599225,179041.42895876005,2476.408722844,0.06416296169247468,75percent_confidence_no_holding_15m_cnn
5,Positions_2020-07-20,2020-07-20,JPM,3110,295631.2539404141,2567.1352775748,295592.8619096178,2566.781540869925,0.012986458733509027,75percent_confidence_no_holding_15m_cnn
6,Positions_2020-07-20,2020-07-20,MRNA,3509,312197.82794999995,1659.1223000000002,312905.50555,1654.9855500000003,-0.2266760165011115,75percent_confidence_no_holding_15m_cnn
7,Positions_2020-07-20,2020-07-20,MSFT,2306,474599.3473224014,7631.253917368251,474886.7622124268,7637.22858754625,-0.06055947856796113,75percent_confidence_no_holding_15m_cnn
8,Positions_2020-07-20,2020-07-20,NVDA,2946,305734.8219002923,2697.2596986709996,305932.3945055405,2698.8709706237496,-0.06462221215764055,75percent_confidence_no_holding_15m_cnn
9,Positions_2020-07-20,2020-07-20,QQQ,2038,535663.7396369756,9718.210511504001,535859.1701205735,9723.17965508925,-0.03648379928243004,75percent_confidence_no_holding_15m_cnn
10,Positions_2020-07-20,2020-07-20,SPY,1749,556432.3770390453,10176.325690195501,556499.6156520088,10177.638706616,-0.01208387860556694,75percent_confidence_no_holding_15m_cnn
11,Positions_2020-07-20,2020-07-20,TSLA,951,298275.55283,7239.692585000001,298494.83542,7248.754215000001,-0.07351678269287984,75percent_confidence_no_holding_15m_cnn
12,Positions_2020-07-21,2020-07-21,AMD,9213,527452.353525,1658.74895,527214.04275,1658.3700999999999,0.04518147912458306,75percent_confidence_no_holding_15m_cnn
13,Positions_2020-07-21,2020-07-21,BABA,1304,338938.6426,5714.8306,338912.922975,5714.22915,0.0075882834730001975,75percent_confidence_no_holding_15m_cnn
14,Positions_2020-07-21,2020-07-21,BAC,18500,436834.5627767856,545.0459260385251,436863.499555459,545.13355271565,-0.006624196237929703,75percent_confidence_no_holding_15m_cnn
15,Positions_2020-07-21,2020-07-21,F,64091,431610.86947500013,161.528925,431381.6267405,161.43141849999998,0.05311329039951971,75percent_confidence_no_holding_15m_cnn
16,Positions_2020-07-21,2020-07-21,JNJ,1000,146725.465711296,1613.1714007472503,146626.433031257,1612.3946095597503,0.06749522283600341,75percent_confidence_no_holding_15m_cnn
17,Positions_2020-07-21,2020-07-21,JPM,2944,283908.89749976824,2124.5081226716497,283875.9815796534,2124.5062260904997,0.011593831825883529,75percent_confidence_no_holding_15m_cnn
18,Positions_2020-07-21,2020-07-21,MRNA,4004,324734.829725,1543.18475,324460.0322,1541.8360999999995,0.08462212853259769,75percent_confidence_no_holding_15m_cnn
19,Positions_2020-07-21,2020-07-21,MSFT,2163,455357.1488197049,5659.100090661251,455291.22704509203,5657.480923822251,0.014476938548944865,75percent_confidence_no_holding_15m_cnn
20,Positions_2020-07-21,2020-07-21,NVDA,2486,259921.2340147237,1457.763441251,259762.18933596325,1457.5197374362501,0.06118956743312871,75percent_confidence_no_holding_15m_cnn
21,Positions_2020-07-21,2020-07-21,QQQ,1142,302433.2795249855,6079.452982016252,302359.1999511455,6078.368954840001,0.024494517916934206,75percent_confidence_no_holding_15m_cnn
22,Positions_2020-07-21,2020-07-21,SPY,1632,524709.6880208941,8675.246990455,524597.6797079883,8674.787881747,0.021346720951210863,75percent_confidence_no_holding_15m_cnn
23,Positions_2020-07-21,2020-07-21,TSLA,1910,622446.3426250002,9736.238865000001,622790.6689149999,9733.763804999999,-0.05531822848338394,75percent_confidence_no_holding_15m_cnn
24,Positions_2020-07-22,2020-07-22,AMD,5962,360574.370275,1331.3297000000002,361340.46892500005,1334.4986250000002,-0.2124661964786283,75percent_confidence_no_holding_15m_cnn
25,Positions_2020-07-22,2020-07-22,BABA,1690,428633.04052499996,6330.163125000002,428474.995075,6327.177075000001,0.03687197090695532,75percent_confidence_no_holding_15m_cnn
26,Positions_2020-07-22,2020-07-22,BAC,11579,273698.0491783777,519.914306565275,273720.9801800704,519.9446727296249,-0.008378211595405352,75percent_confidence_no_holding_15m_cnn
27,Positions_2020-07-22,2020-07-22,F,71063,483243.0643500001,169.97035000000002,483295.34369999997,170.05405,-0.010818437729710903,75percent_confidence_no_holding_15m_cnn
28,Positions_2020-07-22,2020-07-22,JNJ,1613,234742.17557326375,2620.5200879110002,234826.82498693027,2621.6480926745,-0.03606059007495819,75percent_confidence_no_holding_15m_cnn
29,Positions_2020-07-22,2020-07-22,JPM,2778,266903.9708644271,2112.2315283862,266886.049947296,2111.6571317556,0.0067143688694785274,75percent_confidence_no_holding_15m_cnn
30,Positions_2020-07-22,2020-07-22,MRNA,6019,490303.44922500016,2038.3955,491062.72799999994,2039.967025,-0.15485895035002042,75percent_confidence_no_holding_15m_cnn
31,Positions_2020-07-22,2020-07-22,MSFT,1544,321066.9248043985,5198.795712674999,320607.87706587143,5188.384699664752,0.14297571722989744,75percent_confidence_no_holding_15m_cnn
32,Positions_2020-07-22,2020-07-22,NVDA,4418,460239.90319257195,2604.9009724955,460029.7915928645,2605.0250437505,0.045652625565484266,75percent_confidence_no_holding_15m_cnn
33,Positions_2020-07-22,2020-07-22,QQQ,1361,358108.767947971,7103.91852390625,358115.9215279858,7103.99702868325,-0.0019975997951013178,75percent_confidence_no_holding_15m_cnn
34,Positions_2020-07-22,2020-07-22,SPY,1861,595974.4866354192,10900.294382281,595872.3782975462,10901.17989066375,0.017133004879028413,75percent_confidence_no_holding_15m_cnn
35,Positions_2020-07-22,2020-07-22,TSLA,1302,418649.81526,7711.76015,419234.00265000004,7731.098229999999,-0.13954082116033645,75percent_confidence_no_holding_15m_cnn
