,key,cash,model
64,cash_2021-01-21,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
65,cash_2021-01-22,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
66,cash_2021-01-25,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
67,cash_2021-01-26,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
68,cash_2021-01-27,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
69,cash_2021-01-28,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
70,cash_2021-01-29,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
71,cash_2021-02-01,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
72,cash_2021-02-02,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
73,cash_2021-02-03,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
74,cash_2021-02-04,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
75,cash_2021-02-05,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
76,cash_2021-02-08,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
77,cash_2021-02-09,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
78,cash_2021-02-10,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
79,cash_2021-02-11,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
80,cash_2021-02-12,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
81,cash_2021-02-16,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
82,cash_2021-02-17,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
83,cash_2021-02-18,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
84,cash_2021-02-19,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
85,cash_2021-02-22,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
86,cash_2021-02-23,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
87,cash_2021-02-24,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
88,cash_2021-02-25,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
89,cash_2021-02-26,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
90,cash_2021-03-01,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
91,cash_2021-03-02,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
92,cash_2021-03-03,129.9710718122152,RF Reg_target_120_rebal_60_2018-01-01
