Instrument,USLIAWHMP, USUNINSCE, USCNORCGD, USNAPMNO, USNOEXCHD, USBPPRVTO, S&PCOMP, USBCILCIQ, FRTCM10, FRFEDFD, USAVGEXPQ
Field,X,X,X,X,X,X,X,X,X,X,X
Dates,,,,,,,,,,,
2017-06-15,42.0,241.5,128809.0,60.3,35329.0,1329.0,2432.46,-0.807,2.16,1.16,0.3
2017-07-15,42.0,244.1,127991.0,61.6,36006.0,1264.0,2459.27,-0.534,2.33,1.16,0.6
2017-08-15,42.0,253.8,129190.0,60.9,35995.0,1314.0,2464.61,-0.099,2.27,1.16,0.7
2017-09-15,41.9,262.9,129276.0,64.2,37478.0,1257.0,2500.23,-0.389,2.2,1.16,0.4
2017-10-15,42.0,237.1,130330.0,64.0,37210.0,1346.0,2553.17,-0.838,2.28,1.16,1.0
2017-11-15,42.0,239.0,131045.0,64.0,37111.0,1302.0,2564.62,-1.418,2.33,1.16,1.0
2017-12-15,41.8,238.2,132751.0,65.7,37198.0,1309.0,2675.81,-1.072,2.35,1.41,0.7
2018-01-15,41.8,234.3,132228.0,66.2,36902.0,1352.0,2786.24,-0.714,2.55,1.42,0.6
2018-02-15,42.2,221.3,133018.0,64.1,37282.0,1332.0,2731.2,0.286,2.9,1.42,0.8
2018-03-15,42.2,225.8,133417.0,61.7,36885.0,1407.0,2747.33,0.411,2.82,1.43,0.6
2018-04-15,42.3,221.9,133856.0,63.2,37628.0,1391.0,2656.3,-0.064,2.82,1.69,0.6
2018-05-15,42.0,223.9,132830.0,63.2,38306.0,1331.0,2711.45,-0.994,3.08,1.7,0.9
2018-06-15,42.1,221.7,133738.0,63.5,38781.0,1320.0,2779.66,-0.614,2.93,1.9,0.6
2018-07-15,42.2,216.5,133093.0,59.8,39556.0,1328.0,2801.31,-0.657,2.83,1.91,0.5
2018-08-15,42.1,213.0,132805.0,63.6,38302.0,1264.0,2818.37,-0.856,2.86,1.91,0.7
2018-09-15,42.1,213.1,134121.0,61.9,37986.0,1289.0,2904.98,-1.072,2.99,1.92,0.9
2018-10-15,42.1,215.5,132346.0,59.3,38323.0,1275.0,2750.79,-0.902,3.16,2.18,1.1
2018-11-15,42.0,226.0,130872.0,60.7,36655.0,1318.0,2730.2,-0.853,3.11,2.2,0.7
2018-12-15,42.1,216.4,130919.0,52.4,36956.0,1338.0,2599.95,0.007,2.89,2.19,0.3
2019-01-15,41.9,222.9,129471.0,56.7,37304.0,1295.0,2610.3,-0.5,2.72,2.4,-0.5
2019-02-15,41.7,222.5,129780.0,54.9,36911.0,1304.0,2775.6,-0.882,2.66,2.4,0.4
2019-03-15,41.7,217.0,129046.0,56.5,37589.0,1316.0,2822.48,-0.974,2.59,2.4,0.5
2019-04-15,41.6,215.6,128183.0,53.5,37182.0,1337.0,2905.58,-1.631,2.55,2.41,0.5
2019-05-15,41.5,217.0,128270.0,52.5,36835.0,1337.0,2850.96,-1.277,2.37,2.4,0.9
2019-06-15,41.6,221.6,130351.0,50.7,37303.0,1276.0,2886.98,-1.686,2.09,2.36,0.3
2019-07-15,41.5,213.6,129436.0,51.2,37063.0,1369.0,3014.3,-1.524,2.09,2.4,0.9
2019-08-15,41.5,216.7,129815.0,46.3,36933.0,1479.0,2847.6,-0.542,1.52,2.13,0.3
2019-09-15,41.5,213.2,129678.0,48.7,36663.0,1439.0,3007.39,-0.779,1.9,2.14,0.1
2019-10-15,41.4,214.9,127340.0,48.5,36919.0,1509.0,2995.68,-0.271,1.77,1.9,0.1
2019-11-15,41.4,215.9,128535.0,47.0,36623.0,1509.0,3120.46,-0.84,1.84,1.55,0.3
2019-12-15,41.4,225.9,128435.0,47.5,36522.0,1453.0,3168.8,-1.154,1.82,1.55,0.6
2020-01-15,41.4,209.9,127313.0,51.8,36884.0,1550.0,3289.29,-1.254,1.79,1.54,0.6
2020-02-15,41.7,214.0,126811.0,49.5,36330.0,1478.0,3380.16,-1.194,1.59,1.58,1.0
2020-03-15,41.3,2666.7,120603.0,43.2,35872.0,1382.0,2711.02,2.25,0.94,1.1,-0.7
2020-04-15,38.5,4180.7,102341.0,27.3,33448.0,1094.0,2783.36,2.604,0.63,0.05,-0.8
2020-05-15,39.4,2288.3,107871.0,31.9,34244.0,1246.0,2863.7,1.986,0.64,0.05,-0.6
2020-06-15,39.9,1499.2,121398.0,56.7,35922.0,1296.0,3066.59,1.476,0.71,0.09,-0.2
2020-07-15,40.7,1339.0,128225.0,60.9,36915.0,1542.0,3226.56,0.832,0.64,0.1,-0.8
2020-08-15,41.1,990.2,126846.0,66.2,37746.0,1522.0,3372.85,-0.079,0.71,0.1,-0.8
2020-09-15,41.2,826.2,126752.0,60.9,38158.0,1589.0,3401.2,-0.239,0.68,0.09,0.0
2020-10-15,41.3,790.8,127577.0,66.9,38724.0,1595.0,3483.34,-0.532,0.74,0.09,0.0
2020-11-15,41.3,735.5,128221.0,65.7,39202.0,1696.0,3585.15,-1.66,0.89,0.09,-0.8
2020-12-15,41.3,804.9,129266.0,67.5,39722.0,1758.0,3694.62,-1.704,0.92,0.09,-0.7
2021-01-15,41.6,865.7,128236.0,61.1,40014.0,1883.0,3768.25,-1.245,1.11,0.09,-0.2
2021-02-15,41.4,804.5,124399.0,64.8,39774.0,1726.0,3934.83,-1.346,1.2,0.08,-0.1
2021-03-15,41.7,721.6,124634.0,68.0,40396.0,1755.0,3968.94,-1.461,1.62,0.07,0.8
2021-04-15,41.6,562.2,121030.0,64.3,41039.0,1733.0,4170.42,-1.722,1.56,0.07,0.7
2021-05-15,41.6,427.7,121285.0,67.0,40742.0,1681.0,4173.85,-1.79,1.63,0.06,0.4
2021-06-15,,,,66.0,,,4246.59,,1.51,0.06,
2021-07-15,,,,,,,,,,,
