,key,Date,Ticker,Quantity,Basis,Purchase Price,Current Value,Last,% Gain,model
0,Positions_2020-10-19,2020-10-19,PEAK,2552,66423.25831922457,26.0279225388811,66423.25831922457,26.0279225388811,0.0,RF Reg_target_7_rebal_7_2018-01-01
1,Positions_2020-10-19,2020-10-19,MRO,1418,5673.771824786225,4.001249523826675,5673.771824786225,4.001249523826675,0.0,RF Reg_target_7_rebal_7_2018-01-01
2,Positions_2020-10-19,2020-10-19,T,167,4380.724863816919,26.23188541207736,4380.724863816919,26.23188541207736,0.0,RF Reg_target_7_rebal_7_2018-01-01
3,Positions_2020-10-19,2020-10-19,WFC,155,3485.689083946419,22.48831667062206,3485.689083946419,22.48831667062206,0.0,RF Reg_target_7_rebal_7_2018-01-01
4,Positions_2020-10-19,2020-10-19,KIM,254,2736.62332672327,10.774107585524686,2736.62332672327,10.774107585524686,0.0,RF Reg_target_7_rebal_7_2018-01-01
5,Positions_2020-10-19,2020-10-19,MO,70,2614.054123883591,37.34363034119416,2614.054123883591,37.34363034119416,0.0,RF Reg_target_7_rebal_7_2018-01-01
6,Positions_2020-10-19,2020-10-19,CCL,174,2472.9749751091003,14.212499856948853,2472.9749751091003,14.212499856948853,0.0,RF Reg_target_7_rebal_7_2018-01-01
7,Positions_2020-10-19,2020-10-19,GILD,40,2369.4266525241874,59.23566631310469,2369.4266525241874,59.23566631310469,0.0,RF Reg_target_7_rebal_7_2018-01-01
8,Positions_2020-10-19,2020-10-19,XOM,59,1888.3282960186802,32.00556433929967,1888.3282960186802,32.00556433929967,0.0,RF Reg_target_7_rebal_7_2018-01-01
9,Positions_2020-10-19,2020-10-19,C,42,1761.1924206414578,41.93315287241566,1761.1924206414578,41.93315287241566,0.0,RF Reg_target_7_rebal_7_2018-01-01
10,Positions_2020-10-19,2020-10-19,HAL,140,1703.0191510409634,12.164422507435452,1703.0191510409634,12.164422507435452,0.0,RF Reg_target_7_rebal_7_2018-01-01
11,Positions_2020-10-19,2020-10-19,INTC,28,1504.311726557052,53.725418805609,1504.311726557052,53.725418805609,0.0,RF Reg_target_7_rebal_7_2018-01-01
12,Positions_2020-10-19,2020-10-19,MRK,20,1477.6465082667871,73.88232541333936,1477.6465082667871,73.88232541333936,0.0,RF Reg_target_7_rebal_7_2018-01-01
